Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	7.4129934	0.0	7.4129934	7.4129934	25.0	0.013566621	0.099568866	0.36533967	-0.18486716	25	-1.3828278e-06	21.370771	-0.17408404	-1.213934	153.37773	-0.015345459	0.92	4.0	22.740730047225952
1	12.230334	0.0	12.230334	12.230334	25.0	0.110659316	0.10769438	0.32824042	-0.10898263	50	-8.2969666e-07	41.663586	-0.16196309	-2.008316	151.75444	-0.05651428	0.56	4.0	44.11453580856323
2	8.647092	0.0	8.647092	8.647092	25.0	0.26660922	0.16225585	0.9555408	0.020912439	75	3.33786e-07	22.825796	-0.12769355	-1.449686	151.92352	0.0071575926	0.44	4.0	65.4913432598114
3	11.548902	0.0	11.548902	11.548902	25.0	0.41572642	0.12932114	0.6595218	0.07822339	100	-5.531311e-07	44.29278	-0.13804077	-2.6186638	151.85922	-0.025977172	0.44	4.0	87.22688269615173
4	12.92001	0.0	12.92001	12.92001	25.0	0.65743774	0.18014528	1.2021394	0.44337937	125	1.0108947e-06	56.19478	-0.1375436	-3.8460388	154.32263	0.018430786	0.32	3.0	109.11766147613525
5	4.429433	0.0	4.429433	4.429433	25.0	0.805538	0.23529443	1.8924164	0.7108481	150	-1.3542175e-06	7.1951604	-0.05093395	-1.2312951	155.47874	0.024481202	0.04	2.0	130.9665925502777
6	6.9409776	0.0	6.9409776	6.9409776	25.0	1.1309571	0.23607348	1.6174769	0.8322999	175	3.9100647e-07	9.342882	-0.10455256	-1.5263553	155.42885	-0.037298582	0.2	4.0	152.49623656272888
7	6.074645	0.0	6.074645	6.074645	25.0	1.3619374	0.17794345	1.6962703	1.2109339	200	-5.7220458e-08	15.7683115	-0.1082132	-2.3367615	155.34018	0.0073583983	0.24	4.0	174.01499795913696
8	11.761915	0.0	11.761915	11.761915	25.0	1.8228753	0.26981148	2.4013498	1.5252053	225	-8.72612e-07	37.48607	-0.13830511	-5.1101685	156.21758	-0.025651244	0.44	4.0	195.85211873054504
9	8.450632	0.0	8.450632	8.450632	25.0	2.3157196	0.3420278	3.1157656	1.9476943	250	3.0517577e-07	31.091143	-0.09569512	-6.0836105	157.56284	0.024886474	0.2	3.0	217.74444484710693
10	9.512914	0.0	9.512914	9.512914	25.0	3.1026306	0.4444739	4.0247498	2.5023756	275	1.4305115e-07	30.60703	-0.08264552	-7.4471684	156.82397	0.026460571	0.04	2.0	239.3137092590332
11	6.552332	0.0	6.552332	6.552332	25.0	3.6409345	0.5201583	4.821381	3.192717	300	-1.4781952e-07	6.2603064	-0.1079537	-2.4196227	156.0792	-0.009242553	0.24	4.0	261.0120418071747
12	10.638524	0.0	10.638524	10.638524	25.0	4.6213007	0.7297094	6.097294	3.890717	325	-7.05719e-07	38.521164	-0.07011603	-9.674145	154.45233	0.038773194	0.12	2.0	283.09833550453186
13	13.05553	0.0	13.05553	13.05553	25.0	6.2236834	0.8206436	7.647188	4.71713	350	-1.2540818e-06	30.971607	-0.13699228	-10.030481	154.557	0.021450195	0.48	4.0	304.8536901473999
