Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	8.609445	0.0	8.609445	8.609445	25.0	-0.020636998	0.09726057	0.1623443	-0.3622389	25	-9.536743e-09	42.072254	-0.07736257	-2.1497116	9.425937	-0.01710619	0.08	4.0	19.1204731464386
1	10.234501	0.0	10.234501	10.234501	25.0	0.1560616	0.06739764	0.3751234	0.09459212	50	9.536743e-08	33.626553	-0.069436386	-1.7891312	9.686692	-0.001238327	0.0	4.0	37.46579122543335
2	9.150906	0.0	9.150906	9.150906	25.0	0.25176236	0.11073645	0.477104	0.0012698676	75	-3.8146972e-08	23.111488	-0.04195668	-1.6895542	10.506309	-0.024281826	0.04	4.0	55.813451051712036
3	12.138301	0.0	12.138301	12.138301	25.0	0.51294017	0.14562513	0.8408499	0.3135643	100	3.8146972e-08	37.164845	-0.06509501	-2.6766548	9.832062	-0.0031399918	0.08	4.0	74.26181769371033
4	12.220004	0.0	12.220004	12.220004	25.0	0.80853903	0.26973465	1.3782955	0.5209692	125	-4.7683717e-08	25.459614	-0.07367351	-3.1056652	10.599364	-0.0517976	0.2	4.0	92.8352415561676
5	8.032421	0.0	8.032421	8.032421	25.0	0.8774995	0.25466093	1.3729575	0.2354793	150	1.3828277e-07	21.202337	-0.019605692	-2.3176003	9.596896	-0.011992149	0.0	4.0	111.14039158821106
6	11.284089	0.0	11.284089	11.284089	25.0	1.4505669	0.44288683	2.388506	0.97761136	175	1.7166138e-07	52.93031	-0.04526172	-5.8069305	9.781826	0.010243969	0.04	4.0	129.44100213050842
7	11.099672	0.0	11.099672	11.099672	25.0	1.4723434	0.52948487	2.7671237	0.34340295	200	-2.8610229e-08	41.895397	-0.046370402	-5.9197845	11.063145	0.010074845	0.04	4.0	147.81558418273926
8	12.134138	0.0	12.134138	12.134138	25.0	2.3634381	0.49005324	3.8721328	1.778876	225	-3.8146972e-08	58.634434	-0.04240163	-9.356953	9.80783	0.0047452543	0.04	4.0	166.26778483390808
9	11.676871	0.0	11.676871	11.676871	25.0	2.9344835	0.61065793	4.4312797	1.921428	250	0.0	29.085857	-0.036596827	-7.1631527	10.4645815	0.0012002945	0.0	4.0	184.6382122039795
