Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	2.758844	0.0	2.758844	2.758844	25.0	25	0.06370147	0.23823194	1.0221057	-0.25302246	0.06461793	0.24393325	1.1212981	-0.3606975	-0.10567163	0.025204647	26.564461708068848
2	5.887219	0.0	5.887219	5.887219	25.0	50	0.13876873	0.2640103	0.99156654	-0.1743655	0.13825494	0.25640735	1.0036091	-0.15271482	-0.5197697	0.027317574	51.04595947265625
3	10.249855	0.0	10.249855	10.249855	25.0	75	0.21277818	0.29142973	1.0621983	-0.2125916	0.21290398	0.28334203	1.1395793	-0.18939173	-1.2054042	0.044322368	75.42358899116516
4	9.266134	0.0	9.266134	9.266134	25.0	100	0.2757468	0.33479452	1.2256953	-0.21623415	0.2715234	0.3218492	1.1875744	-0.25983927	-1.5581807	0.048030507	99.71008896827698
5	11.213549	0.0	11.213549	11.213549	25.0	125	0.32895416	0.35873604	1.4026569	-0.20632903	0.3312157	0.3538104	1.333808	-0.2385728	-1.8027327	0.045903966	123.97223830223083
6	13.472492	0.0	13.472492	13.472492	25.0	150	0.3991671	0.37026295	1.4975121	-0.17147702	0.39654696	0.36849976	1.4689621	-0.13164161	-1.9296218	0.04289971	147.85870122909546
7	12.624675	0.0	12.624675	12.624675	25.0	175	0.48979434	0.37978914	1.5962175	-0.11975324	0.4921413	0.37108442	1.5859172	-0.11336625	-2.1012933	0.07108409	172.5413088798523
8	11.396637	0.0	11.396637	11.396637	25.0	200	0.604932	0.42656282	1.7271848	-0.12568605	0.60474133	0.4202803	1.7093062	-0.13185945	-2.2418375	0.054326717	196.6779489517212
9	8.563971	0.0	8.563971	8.563971	25.0	225	0.70230925	0.45520958	1.891496	-0.095286	0.701044	0.44941947	1.8933145	-0.21422867	-2.6821377	0.05543842	220.63344359397888
10	9.291495	0.0	9.291495	9.291495	25.0	250	0.83930117	0.469958	2.124713	0.04365796	0.8368605	0.46562746	2.1616402	0.0024335561	-2.9181592	0.068664	244.7803156375885
11	12.074033	0.0	12.074033	12.074033	25.0	275	0.92929333	0.47097093	3.4476492	-0.052510314	0.93174726	0.46505606	3.5295374	-0.18998504	-1.2344848	0.15831098	268.9547519683838
12	18.986443	0.0	18.986443	18.986443	25.0	300	1.0942589	0.4754448	2.3307831	0.28283036	1.0919008	0.47891307	2.3164792	0.27766752	-1.5041866	0.061491057	292.9137008190155
13	18.021688	0.0	18.021688	18.021688	25.0	325	1.2216249	0.46924806	2.4172251	0.45596877	1.2218581	0.46787232	2.4006655	0.48296377	-1.5774211	0.06754327	317.5979428291321
14	10.666245	0.0	10.666245	10.666245	25.0	350	1.2806996	0.44867843	2.4104562	0.5435314	1.2833166	0.45282072	2.384685	0.5191934	-1.4876382	0.09707321	341.2463049888611
15	15.753234	0.0	15.753234	15.753234	25.0	375	1.3554959	0.42613378	2.4485734	0.6485243	1.352597	0.4246866	2.453744	0.63641006	-1.5110842	0.105165005	364.8278441429138
16	16.105501	0.0	16.105501	16.105501	25.0	400	1.44521	0.4227857	2.4947097	0.6905227	1.4469839	0.42374715	2.4918368	0.6993821	-1.62807	0.1125034	388.3498375415802
17	20.168196	0.0	20.168196	20.168196	25.0	425	1.4839821	0.42687365	2.5711842	0.7619981	1.4826549	0.42486686	2.5588117	0.7763293	-1.6728033	0.110124245	411.721884727478
18	17.054237	0.0	17.054237	17.054237	25.0	450	1.5380614	0.41501883	2.5949605	0.7551669	1.5401946	0.4134973	2.6106207	0.79289186	-1.7475783	0.117797285	435.23712515830994
19	13.601019	0.0	13.601019	13.601019	25.0	475	1.5833516	0.3933606	2.5855987	0.8190698	1.5813502	0.3931759	2.6065361	0.8194328	-1.7439725	0.12629752	458.91229128837585
20	18.481556	0.0	18.481556	18.481556	25.0	500	1.6221062	0.40750697	2.6929724	0.7910891	1.6241581	0.4085458	2.6800573	0.7786472	-1.7841716	0.14165327	482.7004323005676
