Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	12.835297	0.0	12.835297	12.835297	25.0	25	0.49379814	0.44212672	1.7744632	-0.6387541	0.4943785	0.42424697	1.5358187	-0.6211418	-0.4542728	0.1182924	20.89384698867798
2	16.286772	0.0	16.286772	16.286772	25.0	50	0.5870198	0.36987135	1.5254564	-0.23569316	0.5810674	0.379044	1.5470178	-0.18799548	-2.6682425	0.06780714	41.20296859741211
3	15.731766	0.0	15.731766	15.731766	25.0	75	0.640071	0.3249019	1.3471994	-0.08950976	0.64099187	0.32221714	1.4019443	-0.11549065	-4.9171476	0.028635245	61.21977186203003
4	14.579181	0.0	14.579181	14.579181	25.0	100	0.65523845	0.32752094	1.4459898	-0.107189104	0.6586113	0.32359666	1.4744599	-0.05300526	-5.2711215	0.029674435	80.97926139831543
5	16.842869	0.0	16.842869	16.842869	25.0	125	0.72001857	0.3123078	1.3829615	-0.074529245	0.716538	0.3078827	1.3782288	-0.05626069	-5.1590776	0.024352496	100.39102339744568
6	14.908925	0.0	14.908925	14.908925	25.0	150	0.7478587	0.33720836	2.1225178	-0.19746959	0.74932194	0.3357664	2.079958	-0.1076156	-5.072743	0.029828496	120.39758396148682
7	15.126487	0.0	15.126487	15.126487	25.0	175	0.7915167	0.32081032	1.7560439	0.008493414	0.7884186	0.31944537	1.7382473	0.013713872	-5.02097	0.023864193	140.48685693740845
8	16.500237	0.0	16.500237	16.500237	25.0	200	0.85274845	0.33349276	1.9138238	0.086504616	0.8529227	0.3325736	1.8836054	0.09900069	-4.8785944	0.022514272	160.4152638912201
9	17.781013	0.0	17.781013	17.781013	25.0	225	0.9362617	0.35568085	1.9767442	0.07029754	0.9387331	0.35128453	1.9571761	0.108741306	-4.91566	0.0272876	180.89073848724365
10	16.115286	0.0	16.115286	16.115286	25.0	250	1.0138475	0.35032135	1.9900705	0.10823544	1.0107427	0.35132274	2.018542	0.15245028	-5.033836	0.028489416	200.73744559288025
11	3.2190976	0.0	3.2190976	3.2190976	25.0	275	1.0044141	0.47598973	4.802473	-0.8804154	1.015941	0.38846594	2.112377	-0.3128084	-0.57367855	0.18252355	220.15215945243835
12	1.3195375	0.0	1.3195375	1.3195375	25.0	300	0.8799751	0.39960557	1.9347279	0.05354598	0.88033456	0.39473674	1.9688988	0.1452511	-0.39965433	0.037849963	239.77770066261292
13	2.7605586	0.0	2.7605586	2.7605586	25.0	325	0.74407154	0.3662552	1.8844124	0.056573853	0.7433225	0.365386	1.7839425	0.15399356	-0.39411148	0.030588914	259.43044567108154
14	0.95656395	0.0	0.95656395	0.95656395	25.0	350	0.6527602	0.36797	1.7079414	-0.030128397	0.6514084	0.3623715	1.7248524	0.0653989	-0.28654465	0.024228992	278.97018218040466
15	1.5304729	0.0	1.5304729	1.5304729	25.0	375	0.5722844	0.36725834	1.6735332	0.054764595	0.5735478	0.36678445	1.6928327	0.061282128	-0.19306493	0.023156703	298.93482089042664
