Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	4.6795335	0.0	4.6795335	4.6795335	25.0	25	0.14034848	0.18575333	0.9036376	-0.15657133	0.13009234	0.17934486	0.80039674	-0.28492942	-0.098653145	0.09904335	22.28701138496399
2	5.4208584	0.0	5.4208584	5.4208584	25.0	50	0.16611417	0.22918355	1.0148251	-0.22971354	0.1591995	0.21833214	0.9900486	-0.23551011	-0.20676495	0.04509343	43.871498346328735
3	7.490677	0.0	7.490677	7.490677	25.0	75	0.2164583	0.23075154	1.0689211	-0.1418246	0.21503182	0.22349948	1.0009806	-0.13825716	-0.37195283	0.082949705	65.41952586174011
4	2.0482101	0.0	2.0482101	2.0482101	25.0	100	0.1941899	0.22325931	1.0660222	-0.23861274	0.19126143	0.21600531	1.002058	-0.20084219	-0.42528817	0.05839281	86.97281527519226
5	4.175754	0.0	4.175754	4.175754	25.0	125	0.18996431	0.22618341	1.0555879	-0.1355766	0.19175649	0.21662846	1.0410498	-0.15888204	-0.5910224	0.048411727	108.55033564567566
6	0.592088	0.0	0.592088	0.592088	25.0	150	0.17352189	0.21418649	0.9660778	-0.18922609	0.17271486	0.20809971	0.96401954	-0.16276643	-0.6977921	0.03589667	129.98557019233704
7	7.617857	0.0	7.617857	7.617857	25.0	175	0.20010224	0.22622098	1.0585207	-0.31930718	0.20136406	0.21763325	1.029992	-0.10880266	-0.96397597	0.060082708	151.41671299934387
8	2.3368576	0.0	2.3368576	2.3368576	25.0	200	0.20604138	0.22392514	1.1723678	-0.1324768	0.20587964	0.21811868	1.1200422	-0.11941459	-1.107854	0.046421364	172.75136876106262
9	0.092289045	0.0	0.092289045	0.092289045	25.0	225	0.19903867	0.20859714	1.2329354	-0.1185139	0.19939205	0.20821561	1.1953251	-0.11476883	-1.1369004	0.03627198	194.11307501792908
10	5.286894	0.0	5.286894	5.286894	25.0	250	0.24215801	0.23514447	1.2515175	-0.10024232	0.24157867	0.23373365	1.2259257	-0.09788671	-1.2574209	0.037852343	215.39937138557434
