Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	14.889311	0.0	14.889311	14.889311	25.0	25	0.54576004	0.53227836	2.4390635	-0.561451	0.53166723	0.57488275	2.777998	-1.222359	-0.35468954	0.22328307	21.19569230079651
2	16.56015	0.0	16.56015	16.56015	25.0	50	0.59109885	0.49409807	2.146594	-0.78037375	0.593662	0.48016837	2.0846086	-0.23600446	-1.343789	0.122091964	41.9194130897522
3	16.192703	0.0	16.192703	16.192703	25.0	75	0.611659	0.4028481	1.7141738	-0.49067038	0.6076087	0.40302956	1.689346	-0.38432643	-3.1413195	0.07878308	62.99340057373047
4	11.882211	0.0	11.882211	11.882211	25.0	100	0.607862	0.3874874	1.8250022	-0.19502178	0.6022247	0.39766654	1.797324	-0.3330561	-5.2932787	0.059603862	83.8814070224762
5	11.37619	0.0	11.37619	11.37619	25.0	125	0.5948574	0.37139392	1.8726196	-0.21297206	0.5958179	0.3764085	1.9106989	-0.31478345	-6.5586977	0.06874459	104.58029913902283
6	12.972272	0.0	12.972272	12.972272	25.0	150	0.5988478	0.37576634	1.9040072	-0.3127497	0.60159737	0.37370363	1.8672494	-0.21075694	-6.9425726	0.06439485	125.12057113647461
7	14.429171	0.0	14.429171	14.429171	25.0	175	0.61485374	0.3681407	1.8491287	-0.14937124	0.61107904	0.36696684	1.8624964	-0.24200693	-7.2357306	0.05738254	145.77360892295837
8	13.17962	0.0	13.17962	13.17962	25.0	200	0.61158717	0.35589454	1.9036644	-0.14101452	0.6117843	0.3535544	1.854283	-0.3173364	-7.2691445	0.050582785	166.2233624458313
9	13.201103	0.0	13.201103	13.201103	25.0	225	0.61498094	0.35795927	1.8987448	-0.4827474	0.6151805	0.35985154	1.8454134	-0.08403571	-7.153198	0.048590854	186.8953502178192
10	15.515644	0.0	15.515644	15.515644	25.0	250	0.62044656	0.35642612	1.7749059	-0.10824223	0.6206884	0.3541201	1.762727	-0.064689055	-7.007542	0.057557344	207.27410006523132
11	3.2326367	0.0	3.2326367	3.2326367	25.0	275	0.574505	0.67854095	6.8160987	-2.8319132	0.58931845	0.39253345	1.8485429	-0.6494692	-0.436317	0.43161428	227.41302347183228
12	0.9914672	0.0	0.9914672	0.9914672	25.0	300	0.52869034	0.36440817	1.747469	-0.3480027	0.5211207	0.38363633	1.8490463	-0.25579363	-0.41064277	0.057589814	247.67047715187073
13	4.0236783	0.0	4.0236783	4.0236783	25.0	325	0.51198906	0.38730347	1.8443476	-0.28670886	0.5079859	0.38595212	1.899482	-0.11300801	-0.58748734	0.055440135	268.12911772727966
14	13.901443	0.0	13.901443	13.901443	25.0	350	0.49861044	0.36079755	1.843228	-0.10271409	0.49864608	0.37419924	1.8730924	-0.2869985	-0.8653746	0.08053913	289.001841545105
15	2.2584028	0.0	2.2584028	2.2584028	25.0	375	0.4892872	0.36294335	1.8592262	-0.209822	0.4904639	0.37402764	1.9036921	-0.3298547	-0.4645378	0.084917754	309.0456585884094
