Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	5.884008	0.0	5.884008	5.884008	25.0	25	0.16890328	0.18702365	0.8135423	-0.3057772	0.19012356	0.18942834	0.84209794	-0.13256717	-0.110355616	0.10056741	20.67765974998474
2	6.6189094	0.0	6.6189094	6.6189094	25.0	50	0.21210787	0.19729502	0.8369011	-0.12965794	0.21279864	0.22308306	0.8722042	-0.14385869	-0.21084033	0.06559664	40.54938459396362
3	4.072232	0.0	4.072232	4.072232	25.0	75	0.20894937	0.226777	0.9045367	-0.13693188	0.21218207	0.2428449	0.9285975	-0.19887465	-0.37966064	0.06058761	60.68995451927185
4	7.8554363	0.0	7.8554363	7.8554363	25.0	100	0.24919794	0.2578891	0.9491298	-0.15065661	0.2476269	0.27017727	1.0039568	-0.16494131	-0.65678716	0.047046624	80.84705424308777
5	6.9150977	0.0	6.9150977	6.9150977	25.0	125	0.26160362	0.26206905	0.97537917	-0.19543761	0.2616104	0.2789493	1.0075732	-0.1899416	-0.886206	0.0476487	100.72117018699646
6	3.3177655	0.0	3.3177655	3.3177655	25.0	150	0.25955215	0.26718667	1.0197244	-0.2115106	0.26028505	0.27819732	1.0417362	-0.19451556	-1.0762081	0.04283799	120.5886709690094
7	8.801763	0.0	8.801763	8.801763	25.0	175	0.309742	0.27574655	1.1082343	-0.21703237	0.3104643	0.28258306	1.0975271	-0.24449393	-1.1545339	0.047569275	140.65464544296265
8	4.600443	0.0	4.600443	4.600443	25.0	200	0.31480432	0.2885111	1.1326787	-0.23072822	0.31132933	0.2953625	1.1523374	-0.24505366	-1.1453903	0.049969804	160.65616822242737
9	7.840671	0.0	7.840671	7.840671	25.0	225	0.3589548	0.29368314	1.19775	-0.27914122	0.3647481	0.2990265	1.2114543	-0.38383427	-1.2233169	0.061043873	180.71167039871216
10	7.699889	0.0	7.699889	7.699889	25.0	250	0.40659836	0.29773253	1.3566608	-0.13337505	0.4063904	0.3048081	1.3747777	-0.2399088	-1.2722847	0.06207379	200.81797623634338
11	7.1379933	0.0	7.1379933	7.1379933	25.0	275	0.44522065	0.31157312	1.5127755	-0.24321625	0.4411414	0.31251052	1.4973532	-0.16547708	-0.54049903	0.094601415	220.85607767105103
12	0.60314316	0.0	0.60314316	0.60314316	25.0	300	0.4581209	0.290438	1.5669935	-0.06431112	0.46396226	0.29537165	1.582889	-0.036775842	-0.46310055	0.0647876	240.83947038650513
13	4.2719193	0.0	4.2719193	4.2719193	25.0	325	0.50720906	0.3022667	1.5822104	0.022764754	0.50877154	0.30392885	1.6225568	0.058459204	-0.51317286	0.069242604	260.6489040851593
14	0.08438959	0.0	0.08438959	0.08438959	25.0	350	0.5099065	0.30923083	1.6431713	0.069363624	0.5077097	0.3127268	1.6870662	0.025664344	-0.45894	0.057714857	280.48748254776
15	8.249054	0.0	8.249054	8.249054	25.0	375	0.54522836	0.30772895	1.7645673	0.05987679	0.5472269	0.30901006	1.804423	0.03819438	-0.59667003	0.07357513	300.7007315158844
16	12.067758	0.0	12.067758	12.067758	25.0	400	0.6053081	0.31378794	1.8192447	0.104236856	0.6036795	0.31408343	1.8301821	0.068732515	-0.8460797	0.08324163	320.4801127910614
17	12.505631	0.0	12.505631	12.505631	25.0	425	0.63843924	0.32638514	1.8091422	0.1125586	0.64229536	0.32722285	1.8699337	0.11663596	-0.88480324	0.086722165	339.9133756160736
18	13.864765	0.0	13.864765	13.864765	25.0	450	0.6997893	0.33514488	1.8801562	0.13868558	0.69790214	0.3396336	1.9232868	0.15515968	-1.1020641	0.103483394	360.27242159843445
19	14.276044	0.0	14.276044	14.276044	25.0	475	0.73466796	0.3491747	1.9751315	0.12204056	0.73625237	0.35416892	2.0417364	0.15199117	-1.0588453	0.119591735	380.1835768222809
20	14.651289	0.0	14.651289	14.651289	25.0	500	0.77764636	0.33864376	1.9690411	-0.01122801	0.778153	0.33837056	1.9959643	0.13697873	-1.118045	0.106972486	400.22081899642944
21	15.318922	0.0	15.318922	15.318922	25.0	525	0.87282366	0.36797887	2.4847376	0.1907854	0.87408495	0.36949545	2.560187	0.23730895	-1.2280126	0.118767604	419.8301475048065
22	12.188615	0.0	12.188615	12.188615	25.0	550	0.8823707	0.35842055	2.041708	0.26484343	0.8815709	0.3580449	2.0653014	0.29682174	-1.20988	0.12275567	438.9891924858093
23	12.705589	0.0	12.705589	12.705589	25.0	575	0.92394817	0.3493288	2.0857582	0.3321939	0.9255345	0.3520843	2.1432333	0.33656982	-1.3271674	0.1191144	459.0475323200226
24	11.030465	0.0	11.030465	11.030465	25.0	600	0.96584016	0.35336873	2.1237562	0.2142864	0.9644482	0.35644627	2.1716344	0.20842908	-1.3814207	0.13824369	478.9896423816681
25	14.991465	0.0	14.991465	14.991465	25.0	625	1.0273737	0.3469155	2.2679236	0.3079288	1.0278305	0.34916946	2.4196274	0.338978	-1.388604	0.1450405	498.5885081291199
26	12.20427	0.0	12.20427	12.20427	25.0	650	1.055993	0.3506295	2.221094	0.38671345	1.0567197	0.3533033	2.2495358	0.35620195	-1.327933	0.1370654	518.1162741184235
