Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	12.394088	0.0	12.394088	12.394088	25.0	25	0.49012303	0.47844297	1.94713	-0.64517206	0.4824244	0.48081717	1.7388628	-0.5430218	-0.41421527	0.15192145	20.83603596687317
2	12.620597	0.0	12.620597	12.620597	25.0	50	0.5135783	0.43289453	1.5585519	-0.29784873	0.50682956	0.45165563	1.5969768	-0.6306763	-1.4283481	0.09889486	41.318793535232544
3	15.885231	0.0	15.885231	15.885231	25.0	75	0.59041315	0.43091354	2.0792894	-0.5689356	0.5820479	0.4303399	2.0797224	-0.33797905	-3.38413	0.10024574	61.6602623462677
4	19.337666	0.0	19.337666	19.337666	25.0	100	0.69163877	0.41936553	1.8162185	-0.22622782	0.6956848	0.42053238	1.8374045	-0.13285743	-5.7295527	0.08801735	82.11790442466736
5	15.137837	0.0	15.137837	15.137837	25.0	125	0.7161407	0.4090515	1.8393904	-0.48198497	0.716551	0.40397972	1.7969562	-0.15887235	-7.0871787	0.058164686	102.43420457839966
6	15.82863	0.0	15.82863	15.82863	25.0	150	0.78371954	0.38457242	1.9197559	-0.027021198	0.7823791	0.38638982	1.8953019	-0.24067703	-7.4643927	0.058685098	122.73649406433105
7	14.248178	0.0	14.248178	14.248178	25.0	175	0.82097566	0.40459186	2.0513597	-0.31579491	0.8205293	0.403598	2.0472267	-0.032837946	-7.6393094	0.06528438	143.06648778915405
8	15.9804535	0.0	15.9804535	15.9804535	25.0	200	0.87156093	0.40709716	2.099975	-0.12832521	0.8722219	0.40591592	2.1203632	-0.36921015	-7.579528	0.063741684	163.41630244255066
9	14.458084	0.0	14.458084	14.458084	25.0	225	0.9391056	0.4022776	2.1644175	0.020992458	0.93785644	0.4036251	2.132706	-0.069702014	-7.72784	0.06624119	183.94589352607727
10	20.113064	0.0	20.113064	20.113064	25.0	250	1.0589272	0.41439888	2.3268542	0.13917105	1.0573201	0.41496825	2.3305185	0.09361456	-7.8194118	0.0641643	204.34312319755554
11	4.4049706	0.0	4.4049706	4.4049706	25.0	275	1.0446427	0.8324789	7.4876614	-3.8668125	1.0606002	0.5125278	2.378609	-1.1465687	-0.6721383	0.706182	224.69023060798645
