Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	24.784348	0.0	24.784348	24.784348	25.0	25	0.8042502	0.4387212	2.2866035	-0.18565634	-0.6937729	0.7080727	20.359098196029663
2	36.92684	0.0	36.92684	36.92684	25.0	50	1.3834045	0.5987238	2.7563086	0.14618331	-1.8673675	0.37757	39.47298240661621
3	41.448406	0.0	41.448406	41.448406	25.0	75	1.6763169	0.57698095	2.8829525	0.1688243	-2.7996588	0.28757283	58.72043013572693
4	42.13891	0.0	42.13891	42.13891	25.0	100	1.931368	0.6048982	3.3218026	0.26603606	-3.2924502	0.24319418	77.87483358383179
5	36.62925	0.0	36.62925	36.62925	25.0	125	2.1954756	0.643037	3.6803918	0.32310933	-3.3152032	0.21034488	97.27340459823608
6	42.132137	0.0	42.132137	42.132137	25.0	150	2.5171647	0.7152392	4.1636105	0.5162478	-3.3523767	0.18167393	116.62557363510132
7	35.92561	0.0	35.92561	35.92561	25.0	175	2.8396907	0.7525308	4.6995893	0.6232203	-3.7273047	0.1874198	135.90341472625732
8	39.177395	0.0	39.177395	39.177395	25.0	200	3.224971	0.76895493	5.188875	0.99170357	-4.461214	0.14722066	155.33744144439697
9	37.47412	0.0	37.47412	37.47412	25.0	225	3.6159286	0.7829923	5.5548162	1.2951801	-4.9508896	0.13750678	174.48627185821533
10	35.317066	0.0	35.317066	35.317066	25.0	250	3.9397852	0.7865733	6.0539584	1.432524	-5.333772	0.11415144	193.73219060897827
11	38.555683	0.0	38.555683	38.555683	25.0	275	4.26148	0.8090789	7.10884	1.6659647	-6.1567407	0.13159041	212.76973700523376
12	31.290762	0.0	31.290762	31.290762	25.0	300	4.590851	0.8068041	7.3279347	1.9733678	-6.8337235	0.11605416	231.76963567733765
13	39.598145	0.0	39.598145	39.598145	25.0	325	4.9764166	0.78090554	7.5157723	2.2829957	-7.504063	0.10750313	250.7860028743744
14	30.02485	0.0	30.02485	30.02485	25.0	350	5.331565	0.7950776	7.9457154	2.6010947	-8.639749	0.11197314	269.88140320777893
15	38.459473	0.0	38.459473	38.459473	25.0	375	5.780411	0.80655634	8.555409	2.911611	-9.184964	0.12770233	289.07489109039307
16	41.063717	0.0	41.063717	41.063717	25.0	400	6.2617025	0.81762916	9.031324	3.097254	-9.533859	0.15402858	308.28598380088806
