Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	25.260355	0.0	25.260355	25.260355	25.0	25	1.0792427	0.5850521	2.6656845	-0.42551637	-1.0895321	0.117346294	21.364115238189697
2	31.489408	0.0	31.489408	31.489408	25.0	50	1.3512281	0.52377427	3.0073721	0.23966613	-6.0815525	0.05399864	41.11146426200867
3	24.415176	0.0	24.415176	24.415176	25.0	75	1.5670187	0.5537653	3.3837638	-0.046558086	-10.283041	0.04266839	61.078516721725464
4	30.153587	0.0	30.153587	30.153587	25.0	100	2.2410057	0.6910255	4.5467935	0.563447	-12.75358	0.03929522	80.73779225349426
5	27.86641	0.0	27.86641	27.86641	25.0	125	3.3492432	0.9201091	6.2575197	1.3202441	-16.513672	0.0781379	100.48130393028259
6	27.563862	0.0	27.563862	27.563862	25.0	150	4.9211392	1.2191944	8.583369	2.0015671	-21.257784	0.0634849	120.17825198173523
7	29.198502	0.0	29.198502	29.198502	25.0	175	7.0562286	1.5335695	11.306262	3.250377	-26.756721	0.10165821	139.96051335334778
8	32.140015	0.0	32.140015	32.140015	25.0	200	9.840635	1.8503718	15.286227	4.774803	-35.061275	0.17292207	159.5398154258728
9	33.864277	0.0	33.864277	33.864277	25.0	225	13.12408	1.9881607	18.54577	7.1404734	-43.002575	0.22912031	178.9092378616333
10	28.906332	0.0	28.906332	28.906332	25.0	250	16.682158	2.0736272	21.762646	10.184173	-52.154922	0.28467372	198.65870475769043
11	29.718903	0.0	29.718903	29.718903	25.0	275	20.590876	2.0874898	25.839115	12.840164	-63.473373	0.316729	218.02040910720825
12	24.582098	0.0	24.582098	24.582098	25.0	300	24.822945	2.1245668	29.821949	14.419961	-72.49298	0.50259936	237.48633742332458
13	33.997795	0.0	33.997795	33.997795	25.0	325	29.580017	2.2048788	37.524796	18.377943	-82.38807	0.49534214	256.9673984050751
14	23.790258	0.0	23.790258	23.790258	25.0	350	34.832546	2.3067582	40.73907	22.495583	-97.194786	0.39885306	276.2503345012665
15	29.092112	0.0	29.092112	29.092112	25.0	375	40.897648	2.5397708	47.405106	28.831053	-112.84511	0.70002395	295.59213638305664
16	28.370304	0.0	28.370304	28.370304	25.0	400	47.745544	2.8143287	55.17098	31.237448	-127.140305	1.1196678	314.97729873657227
17	40.141743	0.0	40.141743	40.141743	25.0	425	51.65291	6.7126517	137.63136	29.257236	-56.087177	41.693916	334.3888900279999
18	44.183117	0.0	44.183117	44.183117	25.0	450	49.48466	3.075474	62.10452	41.98583	-51.780987	5.2407823	353.7022452354431
