Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	19.284304	0.0	19.284304	19.284304	25.0	-0.13686022	0.15209642	0.061697364	-0.5121664	25	-9.536743e-09	168.61479	-0.11919535	-8.021057	9.622765	-0.030599594	0.56	4.0	19.772655725479126
1	36.14325	0.0	36.14325	36.14325	25.0	0.08923442	0.14840463	0.38790575	-0.21246664	50	-7.152558e-08	362.50806	-0.09340615	-11.462311	9.87601	-0.01788021	0.24	4.0	38.59051823616028
2	42.63029	0.0	42.63029	42.63029	25.0	0.4037176	0.16671376	0.94224465	0.15539148	75	1.9073486e-08	686.5393	-0.067934014	-18.516418	9.4499	0.03551155	0.12	3.0	57.36099720001221
3	41.085133	0.0	41.085133	41.085133	25.0	0.7540498	0.33302125	1.2710881	0.30387348	100	-1.2397766e-07	478.08777	-0.08239247	-17.370544	9.042257	0.036129724	0.04	3.0	76.09402465820312
4	41.572273	0.0	41.572273	41.572273	25.0	1.0779552	0.34392858	1.9332293	0.60406446	125	-1.04904174e-07	605.0769	-0.027956929	-21.496521	10.725912	0.024421157	0.0	3.0	94.84153366088867
5	34.452057	0.0	34.452057	34.452057	25.0	1.5350304	0.39583907	2.6551805	1.0994328	150	-7.6293944e-08	354.9443	-0.06089745	-15.149414	11.213497	0.037687644	0.0	3.0	113.58324432373047
6	39.247105	0.0	39.247105	39.247105	25.0	2.2457182	0.43411025	3.0829418	1.6718584	175	2.8610229e-08	484.9653	-0.05648338	-27.984253	10.915679	0.026334152	0.2	4.0	132.36257553100586
7	32.528496	0.0	32.528496	32.528496	25.0	2.3651693	0.44131193	3.4260597	1.4424146	200	1.0967255e-07	279.9934	-0.051824767	-18.774841	9.56355	0.0001335907	0.04	4.0	151.29016280174255
8	33.96668	0.0	33.96668	33.96668	25.0	2.8375986	0.4826943	3.8691754	1.7756904	225	1.3828277e-07	325.0615	-0.079742305	-22.041138	10.174512	-0.030561352	0.08	4.0	170.05130457878113
9	41.297054	0.0	41.297054	41.297054	25.0	4.148922	0.5435927	5.388101	3.2190585	250	-9.059906e-08	456.19168	-0.07095395	-34.51822	10.754817	0.014026527	0.12	4.0	188.9639539718628
10	39.880062	0.0	39.880062	39.880062	25.0	4.713377	0.7555831	6.1736135	3.065574	275	2.1457672e-07	417.23856	-0.063739166	-35.661774	10.116964	0.023284512	0.08	3.0	207.8593533039093
11	48.98285	0.0	48.98285	48.98285	25.0	6.497101	0.99583304	8.18273	3.8523245	300	-7.6293944e-08	694.1795	-0.07680763	-57.465027	10.262282	-0.007946701	0.24	4.0	226.58886456489563
12	39.50429	0.0	39.50429	39.50429	25.0	6.520445	0.95676696	9.38519	5.088241	325	1.9073486e-08	628.2368	-0.103481315	-61.434937	10.25184	0.0042554857	0.28	4.0	245.37730884552002
13	37.585323	0.0	37.585323	37.585323	25.0	5.770414	1.7027032	10.173013	1.9446349	350	-1.9073486e-08	433.52585	-0.06079789	-49.572327	9.271573	0.0069709015	0.2	4.0	264.16038250923157
14	44.127415	0.0	44.127415	44.127415	25.0	9.59497	1.2825255	12.53299	7.33567	375	2.479553e-07	651.2893	-0.0633708	-61.486694	10.066974	0.004370136	0.16	4.0	283.34367966651917
15	38.298244	0.0	38.298244	38.298244	25.0	10.698612	0.7583741	11.876861	8.243312	400	-8.106232e-08	414.59027	-0.044191886	-41.744293	9.893889	0.023078365	0.0	3.0	302.1778402328491
16	30.218288	0.0	30.218288	30.218288	25.0	10.265647	2.122197	13.437628	6.2382903	425	-4.7683715e-09	141.14757	-0.059172895	-19.263977	9.16787	-0.035261136	0.08	4.0	320.92839908599854
17	37.373318	0.0	37.373318	37.373318	25.0	12.557165	0.82863516	13.932411	10.924645	450	-2.002716e-07	385.61234	-0.07238301	-32.6893	10.636145	-0.009124394	0.12	4.0	339.7422716617584
18	44.37508	0.0	44.37508	44.37508	25.0	14.2071495	0.74456036	15.309812	12.450855	475	-1.66893e-07	531.6222	-0.051912226	-33.70761	10.434397	-0.03799343	0.04	4.0	358.6293740272522
19	33.741364	0.0	33.741364	33.741364	25.0	13.77566	0.87085956	15.558633	11.787847	500	2.670288e-07	373.26672	-0.05390567	-31.572998	9.558484	0.0132687185	0.04	4.0	377.4439823627472
20	29.524265	0.0	29.524265	29.524265	25.0	14.893015	0.6010785	16.142908	13.878544	525	-7.6293944e-08	160.64694	-0.07800962	-15.845459	10.220261	0.026361847	0.04	3.0	396.28052496910095
21	46.162426	0.0	46.162426	46.162426	25.0	16.385937	0.6129998	17.219925	14.980976	550	1.4305115e-07	679.91455	-0.03874364	-32.77777	10.075301	0.02850687	0.04	3.0	415.10490560531616
22	48.99444	0.0	48.99444	48.99444	25.0	16.868042	0.7532035	17.695055	14.735177	575	-1.4305115e-07	468.53882	-0.093798	-24.25705	9.708757	-0.06134697	0.24	4.0	433.96053171157837
23	41.12609	0.0	41.12609	41.12609	25.0	16.991364	0.87265325	18.354902	15.053372	600	-1.2397766e-07	337.8051	-0.07008497	-19.948425	10.135163	-0.011766892	0.2	4.0	452.8066909313202
24	38.710606	0.0	38.710606	38.710606	25.0	18.064003	0.52773905	18.851046	16.745623	625	-5.2452087e-08	341.67862	-0.043027826	-17.871674	9.487098	-0.0025564386	0.12	4.0	471.6053252220154
25	49.55227	0.0	49.55227	49.55227	25.0	18.788952	0.43006364	19.33846	17.87766	650	-1.4305115e-07	753.2314	-0.09681503	-30.218079	10.195174	0.012057381	0.2	4.0	490.4389600753784
26	41.158478	0.0	41.158478	41.158478	25.0	19.027304	0.38558868	19.592823	17.89329	675	1.1920929e-07	415.72296	-0.08005455	-22.285614	10.338768	-0.004960346	0.12	4.0	509.1793611049652
27	44.219433	0.0	44.219433	44.219433	25.0	20.042345	0.24523056	20.39907	19.433626	700	1.5735627e-07	479.7948	-0.06692586	-20.695587	9.883531	0.026095886	0.12	4.0	527.8677744865417
28	32.986015	0.0	32.986015	32.986015	25.0	20.027275	0.685151	20.771494	17.80055	725	-1.9073486e-08	259.665	-0.05222321	-15.389954	9.694328	-0.0028737069	0.04	4.0	546.5431799888611
29	38.42542	0.0	38.42542	38.42542	25.0	20.950918	0.3014044	21.26462	20.20853	750	-1.4305115e-07	395.8532	-0.08447937	-17.180054	10.113743	-0.0024149513	0.16	4.0	565.4482872486115
30	39.898598	0.0	39.898598	39.898598	25.0	21.199228	0.46396378	21.78899	19.98864	775	2.479553e-07	340.3051	-0.052680805	-15.011261	10.26749	-0.0004453087	0.12	4.0	584.4063055515289
31	29.066607	0.0	29.066607	29.066607	25.0	21.614807	0.34908012	22.160994	20.74889	800	-3.8146972e-08	150.58154	-0.07164469	-8.946655	9.572546	0.0071782875	0.08	4.0	603.3494668006897
32	36.048847	0.0	36.048847	36.048847	25.0	22.025684	0.34925094	22.479214	21.082832	825	0.0	271.64703	-0.05245337	-11.660187	10.453378	-0.041071318	0.12	4.0	622.1287548542023
33	30.550226	0.0	30.550226	30.550226	25.0	22.206257	0.661663	22.887499	19.70435	850	-9.536743e-09	181.57619	-0.09416989	-9.748047	9.182315	-0.013531628	0.16	4.0	641.0114476680756
34	35.724697	0.0	35.724697	35.724697	25.0	22.88449	0.2579331	23.288525	22.190495	875	-1.7166138e-07	251.04166	-0.05157467	-9.610428	9.170543	-0.0020929908	0.16	4.0	659.8050317764282
35	37.71092	0.0	37.71092	37.71092	25.0	23.335796	0.23758478	23.60383	22.730164	900	-2.5749208e-07	313.70102	-0.058740966	-11.239349	10.324771	-0.01911785	0.24	4.0	678.6046857833862
36	43.54077	0.0	43.54077	43.54077	25.0	23.703253	0.16346507	23.930347	23.305468	925	9.536743e-08	435.2125	-0.09821652	-14.130005	10.394559	0.02324339	0.12	4.0	697.4835841655731
37	46.370956	0.0	46.370956	46.370956	25.0	24.027405	0.3714291	24.354391	22.853233	950	1.6212464e-07	409.8034	-0.041546647	-14.214233	10.070342	0.020505238	0.04	3.0	716.3482127189636
38	39.269207	0.0	39.269207	39.269207	25.0	24.573732	0.12964806	24.727896	24.019886	975	-7.152558e-08	314.80527	-0.06559408	-12.200989	10.460284	0.014815807	0.24	4.0	735.2555980682373
39	35.100136	0.0	35.100136	35.100136	25.0	24.773876	0.47933793	25.120281	22.744335	1000	-2.3841858e-07	295.91916	-0.084743746	-12.553131	10.977963	-0.00020654679	0.28	4.0	754.1207609176636
40	50.468914	0.0	50.468914	50.468914	25.0	25.359167	0.13830395	25.50755	24.923641	1025	0.0	657.7795	-0.07532291	-19.59851	9.7596655	0.012476997	0.12	4.0	772.9379494190216
41	43.95743	0.0	43.95743	43.95743	25.0	25.796457	0.16879149	25.953941	25.080412	1050	1.14440915e-07	381.9348	-0.06652012	-13.668732	10.632031	-0.011426487	0.12	4.0	791.7511193752289
42	39.85535	0.0	39.85535	39.85535	25.0	26.216625	0.12770817	26.369259	25.820509	1075	-7.6293944e-08	425.232	-0.033308923	-15.744293	9.478845	0.021215267	0.0	3.0	810.5998568534851
43	37.75085	0.0	37.75085	37.75085	25.0	26.397345	0.29702392	26.790007	25.79106	1100	-6.67572e-08	348.18503	-0.06565639	-15.057617	10.424609	0.031295262	0.08	2.0	829.8545866012573
44	33.86387	0.0	33.86387	33.86387	25.0	26.764484	0.41514218	27.164608	25.756762	1125	-8.583069e-08	171.17618	-0.0732546	-8.185989	10.143743	-0.010942879	0.12	4.0	848.7383587360382
45	42.101913	0.0	42.101913	42.101913	25.0	27.385395	0.10771563	27.547478	27.039652	1150	8.106232e-08	329.36087	-0.07848373	-11.0578	10.810756	-0.010062103	0.16	4.0	867.6165549755096
46	36.114384	0.0	36.114384	36.114384	25.0	27.525427	0.2596651	27.882	26.881699	1175	2.0980835e-07	327.82077	-0.077626966	-12.569	9.513845	0.024244498	0.16	3.0	886.4392030239105
47	48.051	0.0	48.051	48.051	25.0	28.161196	0.11045542	28.269613	27.911337	1200	4.7683715e-09	370.19696	-0.06559357	-11.623474	9.697039	-0.016169434	0.32	4.0	905.3016419410706
