Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	23.710144	0.0	23.710144	23.710144	25.0	0.049808804	0.086352676	0.15697742	-0.20227799	25	4.7683717e-08	224.81042	-0.17422986	-8.289032	158.45844	-0.18627441	0.96	4.0	20.776238918304443
1	26.438969	0.0	26.438969	26.438969	25.0	0.15806273	0.10972799	0.41784152	-0.010828805	50	-1.5449524e-06	210.2133	-0.17489542	-6.8589325	155.6695	-0.010545654	0.88	4.0	40.604761600494385
2	29.613314	0.0	29.613314	29.613314	25.0	0.40851888	0.19408932	0.7368147	0.053719506	75	-5.7220458e-08	290.3911	-0.15754531	-8.79248	150.03539	0.013079834	0.48	2.0	60.21534180641174
3	26.065271	0.0	26.065271	26.065271	25.0	0.6476462	0.20205566	1.2141364	0.2881548	100	-1.2397766e-07	204.76233	-0.13487	-7.731064	150.62799	0.027022095	0.36	2.0	79.86957454681396
4	22.821493	0.0	22.821493	22.821493	25.0	0.8132732	0.17090273	1.1324377	0.37773335	125	1.5258789e-07	153.7356	-0.15869951	-7.555008	156.4167	-0.004098511	0.56	4.0	99.5247311592102
5	24.987497	0.0	24.987497	24.987497	25.0	1.1474241	0.2902502	1.5967768	0.42437297	150	-1.6212464e-07	194.96666	-0.16648637	-9.940659	150.7104	-0.016289063	0.76	4.0	119.29597854614258
6	24.990938	0.0	24.990938	24.990938	25.0	1.6149864	0.3664546	2.1563382	0.97708666	175	0.0	159.56252	-0.16634876	-11.053406	155.68967	0.024865113	0.68	4.0	139.05003714561462
7	26.022058	0.0	26.022058	26.022058	25.0	1.990133	0.45338348	2.6765964	1.1819285	200	-1.04904174e-07	210.80309	-0.16433987	-14.719101	152.90906	0.010606689	0.56	4.0	158.73321413993835
8	35.38029	0.0	35.38029	35.38029	25.0	3.1928387	0.7659813	4.602058	2.07011	225	7.152558e-08	339.55496	-0.16691948	-26.878082	153.40686	-0.020895995	0.76	4.0	178.5010163784027
9	27.32602	0.0	27.32602	27.32602	25.0	3.370423	0.98493177	4.86876	1.6663886	250	5.7220458e-08	282.0199	-0.12624602	-26.971924	153.87553	0.020950317	0.32	2.0	198.10512852668762
10	39.956326	0.0	39.956326	39.956326	25.0	5.3963532	0.6304381	6.3007784	4.1831446	275	-2.4652481e-06	415.10718	-0.1591253	-42.233	157.02779	-0.026195679	0.76	4.0	217.36588788032532
11	30.475246	0.0	30.475246	30.475246	25.0	5.469328	1.2374429	7.4809985	3.0627143	300	1.335144e-07	163.35709	-0.1518165	-24.043411	158.07155	-0.04440857	0.64	4.0	237.10759687423706
12	29.657074	0.0	29.657074	29.657074	25.0	6.7298474	0.69915444	8.480106	5.5388327	325	1.1634827e-06	212.46283	-0.14845902	-29.554214	155.16219	-0.029381104	0.6	4.0	257.83663153648376
13	25.835337	0.0	25.835337	25.835337	25.0	7.3480134	1.015978	9.014105	4.834001	350	9.727478e-07	211.60953	-0.1358121	-31.320663	153.13692	0.0028100586	0.4	4.0	277.5244505405426
14	23.841093	0.0	23.841093	23.841093	25.0	6.7390304	1.9133608	10.129879	2.9752967	375	1.4305115e-07	112.75673	-0.15593499	-20.818466	153.4784	0.026281128	0.6	4.0	297.2745187282562
15	23.608105	0.0	23.608105	23.608105	25.0	9.290707	1.1716841	11.127288	6.921137	400	-9.059906e-08	142.27364	-0.14379202	-19.634163	156.35312	0.014920655	0.52	4.0	316.9629955291748
16	24.121387	0.0	24.121387	24.121387	25.0	9.896617	0.99625933	11.44278	7.6983123	425	1.4305114e-08	143.84406	-0.124929726	-20.312607	155.51389	0.04722534	0.28	2.0	336.6627416610718
17	25.056623	0.0	25.056623	25.056623	25.0	11.371185	1.2777157	13.239258	7.1671805	450	-1.4305114e-08	163.3608	-0.15106681	-19.850113	155.51254	-0.01636963	0.56	4.0	356.2824499607086
18	26.829939	0.0	26.829939	26.829939	25.0	11.9514065	1.3832289	14.273596	8.312293	475	4.7683715e-09	166.23174	-0.1568346	-20.304932	152.46199	-0.03796692	0.68	4.0	376.10562539100647
19	29.167194	0.0	29.167194	29.167194	25.0	13.141818	0.89782923	14.45157	10.846611	500	1.130104e-06	207.88002	-0.15452255	-21.686295	150.30937	0.0124822995	0.64	4.0	395.74175453186035
20	30.077719	0.0	30.077719	30.077719	25.0	14.070549	0.8283894	15.432152	12.138582	525	8.106232e-08	172.55704	-0.16025971	-17.663544	155.60442	-0.037956543	0.6	4.0	415.5872714519501
21	28.528393	0.0	28.528393	28.528393	25.0	14.808484	1.0283232	16.059547	12.433196	550	-1.5258789e-07	206.72717	-0.12490905	-19.504501	152.99342	0.023529664	0.32	2.0	435.3515510559082
22	30.213156	0.0	30.213156	30.213156	25.0	15.644589	0.57992065	16.518866	14.460233	575	-5.5789945e-07	171.06636	-0.15822956	-14.9774475	153.15393	-0.025733642	0.6	4.0	455.0408515930176
