Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	17.166504	0.0	17.166504	17.166504	25.0	25	0.32056805	0.27833092	0.96758825	-0.3956809	0.542953	0.31645218	1.4066362	-0.15973634	-0.33970627	0.82050014	19.890328645706177
2	50.645016	0.0	50.645016	50.645016	25.0	50	1.17311	0.51361996	2.573147	0.2029737	1.2979379	0.6055857	2.6997454	-0.02028517	-1.3469865	0.81937563	38.64552450180054
3	41.471596	0.0	41.471596	41.471596	25.0	75	1.5127463	0.5892313	2.6661198	-0.1468647	1.497211	0.6485344	2.691526	-0.16678943	-2.0476918	0.4083053	56.99575662612915
4	38.46569	0.0	38.46569	38.46569	25.0	100	1.5622106	0.56745535	2.7969217	-0.1628538	1.550586	0.61169124	2.8563588	-0.10829222	-2.4602106	0.31192404	75.31269240379333
5	45.99026	0.0	45.99026	45.99026	25.0	125	1.7051481	0.5770504	2.8678794	-0.16031358	1.7002621	0.60185486	2.9890082	-0.075636044	-2.684259	0.25539985	94.09138202667236
6	41.456997	0.0	41.456997	41.456997	25.0	150	1.7847714	0.566106	3.152083	-0.103808336	1.7819164	0.5908944	3.1840575	-0.088171676	-2.7707667	0.24166007	113.050865650177
7	41.831593	0.0	41.831593	41.831593	25.0	175	1.9030523	0.5872845	3.1802437	-0.10487256	1.8975676	0.6123937	3.2170053	-0.15571521	-3.0067258	0.24745227	131.49904251098633
8	47.7633	0.0	47.7633	47.7633	25.0	200	2.002456	0.601418	3.409323	-0.07537407	2.011781	0.6301696	3.5600765	-0.16366796	-3.1747293	0.27964574	150.0351846218109
9	40.68068	0.0	40.68068	40.68068	25.0	225	2.1267238	0.6169337	3.9078264	-0.057042316	2.1239595	0.63665456	3.7722054	-0.088799804	-3.1991968	0.22210804	168.32786893844604
10	40.802197	0.0	40.802197	40.802197	25.0	250	2.1933703	0.6426185	3.9638088	-0.065227404	2.1970317	0.65314335	3.7512453	0.012536123	-3.1212015	0.25226974	186.70225763320923
11	35.093956	0.0	35.093956	35.093956	25.0	275	2.2363484	0.7040341	4.405372	0.02454903	2.2410018	0.7109914	4.05641	0.024211042	-2.3242583	0.32608512	205.07914352416992
12	46.53067	0.0	46.53067	46.53067	25.0	300	2.4035168	0.7317912	4.3412223	0.13404748	2.4072683	0.7314267	4.154853	0.0996204	-2.5741856	0.29980928	223.42582511901855
13	29.989515	0.0	29.989515	29.989515	25.0	325	2.4433908	0.7391429	4.543478	0.20167804	2.4469357	0.74563694	4.432107	0.19604498	-2.4859915	0.25843325	241.77350544929504
14	43.125683	0.0	43.125683	43.125683	25.0	350	2.5434062	0.74679035	4.813836	0.24385299	2.5412016	0.7525696	4.685134	0.2784868	-3.1059494	0.29983538	260.10833382606506
15	33.27144	0.0	33.27144	33.27144	25.0	375	2.6420028	0.7603797	5.008985	0.30948824	2.6437635	0.77594805	4.8992352	0.31253728	-3.036554	0.2900462	278.4311170578003
16	35.639828	0.0	35.639828	35.639828	25.0	400	2.688165	0.76389074	5.2282906	0.29531476	2.6921613	0.77894324	5.140378	0.3416788	-3.0012236	0.28220433	296.804639339447
17	31.619072	0.0	31.619072	31.619072	25.0	425	2.726987	0.7826882	5.190633	0.3445813	2.7278602	0.79555744	5.1142836	0.34439674	-2.9347484	0.30039164	315.14478397369385
18	39.017574	0.0	39.017574	39.017574	25.0	450	2.8413217	0.77005625	5.468006	0.33526555	2.8372078	0.7837281	5.274831	0.37123245	-3.0407882	0.31889117	333.54406094551086
19	33.954906	0.0	33.954906	33.954906	25.0	475	2.918337	0.8309438	5.5073447	0.34725088	2.923048	0.83930445	5.389659	0.37679765	-3.0751567	0.30744216	351.9083185195923
20	30.460062	0.0	30.460062	30.460062	25.0	500	3.009005	0.7997985	5.571527	0.41002586	3.0114427	0.8159185	5.4153323	0.38750207	-3.1545386	0.30193728	370.2394165992737
21	38.76154	0.0	38.76154	38.76154	25.0	525	3.0871086	0.81012946	5.6656957	0.46304545	3.089225	0.81673837	5.6531377	0.50952506	-3.1334028	0.3236427	388.5599012374878
22	43.40967	0.0	43.40967	43.40967	25.0	550	3.1457155	0.8005593	5.964935	0.4657767	3.1448371	0.81017435	5.653107	0.5098407	-3.2407875	0.33884048	406.90651988983154
23	51.20766	0.0	51.20766	51.20766	25.0	575	3.3028343	0.8515289	6.289316	0.5167712	3.2975934	0.86136645	5.9400396	0.53954864	-3.3600645	0.38329047	425.2163279056549
24	50.56148	0.0	50.56148	50.56148	25.0	600	3.4023983	0.87578803	6.2858057	0.57674426	3.4055667	0.8885958	6.075785	0.59976274	-3.5131009	0.3924863	443.5606451034546
25	49.00045	0.0	49.00045	49.00045	25.0	625	3.5428603	0.88419765	6.320011	0.54273605	3.542349	0.8852502	6.0592723	0.5728703	-4.163813	0.42427713	461.9690101146698
26	53.764133	0.0	53.764133	53.764133	25.0	650	3.702445	0.9112672	6.590176	0.6031535	3.7059233	0.9126934	6.600839	0.5890277	-4.26001	0.4540077	480.41842555999756
27	46.510353	0.0	46.510353	46.510353	25.0	675	3.790407	0.91996956	6.7714057	0.7798599	3.791364	0.9231148	6.966815	0.7576493	-4.314939	0.4749125	499.271687746048
28	48.115067	0.0	48.115067	48.115067	25.0	700	3.8415186	0.9406934	6.9581227	0.7501757	3.8370554	0.9357786	6.741024	0.80021155	-4.16565	0.52023405	518.0794792175293
29	31.956823	0.0	31.956823	31.956823	25.0	725	3.968849	0.9025444	6.6962633	0.8790644	3.9670446	0.90358126	6.739385	0.694806	-4.2147856	0.5472647	536.3913781642914
30	39.80422	0.0	39.80422	39.80422	25.0	750	4.032423	0.94995743	7.1828465	0.8190749	4.031774	0.9420331	7.188642	0.79828733	-4.2885303	0.6183556	554.7863993644714
31	26.559368	0.0	26.559368	26.559368	25.0	775	4.143456	0.92905647	7.422834	0.96746707	4.147625	0.91856647	7.465304	0.69944143	-4.3551517	0.5554652	573.1404075622559
32	44.28983	0.0	44.28983	44.28983	25.0	800	4.308346	0.9832178	7.629003	1.0300949	4.310771	0.98634356	7.7986727	0.75735915	-5.060558	0.5850557	591.4636697769165
33	46.791653	0.0	46.791653	46.791653	25.0	825	4.464788	1.0024453	7.840527	1.0836804	4.460148	1.0011557	7.9517293	0.93058705	-5.0639644	0.6717698	609.7953572273254
34	50.327232	0.0	50.327232	50.327232	25.0	850	4.664811	1.0250807	8.385466	0.8322137	4.663446	1.0349408	8.695386	0.65387714	-5.135058	0.7211106	628.1666634082794
35	43.206844	0.0	43.206844	43.206844	25.0	875	4.7740803	1.0562181	8.185605	0.98894763	4.7722487	1.0642265	8.420054	0.9230498	-5.3728275	0.6874134	646.8205575942993
36	40.879658	0.0	40.879658	40.879658	25.0	900	4.852776	1.042162	8.58633	1.0205469	4.8541775	1.0273336	8.433251	0.9248008	-5.400258	0.7066774	665.3812234401703
37	42.892227	0.0	42.892227	42.892227	25.0	925	4.978211	1.0595257	8.410621	0.94026667	4.9738846	1.0568465	8.324263	0.7268515	-6.2363834	0.7177037	683.7226939201355
38	57.534622	0.0	57.534622	57.534622	25.0	950	5.179891	1.1029817	8.639202	0.95020264	5.177258	1.1050371	9.659803	0.8273386	-6.6373444	0.8112747	702.3976740837097
39	52.65257	0.0	52.65257	52.65257	25.0	975	5.2885203	1.0949378	8.860161	1.0319679	5.290416	1.0931194	9.107204	0.8753928	-6.4633384	0.79772997	720.6899461746216
40	38.36997	0.0	38.36997	38.36997	25.0	1000	5.4309297	1.068107	8.766633	1.0281628	5.4247975	1.077498	9.433772	0.93770295	-5.9941263	0.80629975	739.020480632782
41	31.8113	0.0	31.8113	31.8113	25.0	1025	5.598495	1.0782495	9.552225	1.0953759	5.5998983	1.0823473	9.570928	1.0884018	-5.927603	0.86532503	757.3387427330017
42	48.80469	0.0	48.80469	48.80469	25.0	1050	5.7705956	1.0647495	9.745769	1.3476001	5.7675977	1.0604258	10.134675	1.3363018	-6.6517725	0.7157133	775.6246347427368
