Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	17.932537	0.0	17.932537	17.932537	25.0	25	0.5207885	0.46081668	1.9953489	-0.531073	0.4400527	0.5283015	1.6246223	-1.0731318	-0.26329696	0.35841352	18.743253469467163
2	28.85036	0.0	28.85036	28.85036	25.0	50	0.7322498	0.46073028	2.2965171	-0.2760533	0.71250755	0.47828695	2.023191	-0.3346653	-1.0369902	0.21572979	36.77099347114563
3	27.526606	0.0	27.526606	27.526606	25.0	75	0.8433948	0.43589452	2.3582103	-0.27741292	0.8316329	0.43454808	2.3639133	-0.18193352	-2.7834039	0.08284602	54.70669364929199
4	26.103539	0.0	26.103539	26.103539	25.0	100	0.89877224	0.41701016	2.1829867	-0.14191827	0.89059764	0.40595475	2.230299	-0.12991005	-5.1727166	0.06133326	72.69563269615173
5	28.4697	0.0	28.4697	28.4697	25.0	125	0.94707286	0.41272908	2.2399049	-0.12167028	0.9528969	0.40467656	2.2511978	-0.113724954	-6.8052487	0.07167706	91.14996409416199
6	31.104885	0.0	31.104885	31.104885	25.0	150	1.0078721	0.39115328	2.339265	-0.048747838	1.0065771	0.39613634	2.307492	-0.080220856	-7.3261786	0.09263989	109.35911464691162
7	23.75217	0.0	23.75217	23.75217	25.0	175	1.0534422	0.40535736	2.479149	-0.01511547	1.0528498	0.3998855	2.3583775	-0.028933201	-7.297114	0.049277402	127.64018774032593
8	25.846775	0.0	25.846775	25.846775	25.0	200	1.0690768	0.4168722	2.6158974	-0.021252485	1.0698543	0.41228473	2.448861	0.043486632	-7.2295065	0.071860455	145.95560503005981
9	21.027277	0.0	21.027277	21.027277	25.0	225	1.071875	0.40819862	2.6957505	0.0023878012	1.0710994	0.4012836	2.6279786	-0.05667278	-7.1114755	0.05075821	164.26775455474854
10	29.435755	0.0	29.435755	29.435755	25.0	250	1.1251268	0.41207588	2.7168	0.04607709	1.120334	0.40757307	2.7066545	0.02786501	-7.61426	0.06330736	182.22900438308716
11	39.235218	0.0	39.235218	39.235218	25.0	275	1.2240155	0.6462236	7.6890035	-0.07822831	1.2401434	0.4453678	2.847613	0.06413495	-2.3563268	0.3440046	200.19763135910034
12	66.397736	0.0	66.397736	66.397736	25.0	300	1.4037894	0.5857368	3.128045	0.16388774	1.41143	0.5964088	3.1130257	0.10698236	-2.6118376	0.16749607	218.17000198364258
13	65.79013	0.0	65.79013	65.79013	25.0	325	1.6383293	0.76049733	3.420369	0.16379496	1.6354896	0.76197606	3.4949694	0.13789384	-2.9929762	0.07942647	236.14946842193604
14	66.32995	0.0	66.32995	66.32995	25.0	350	1.8122885	0.8290778	3.5483212	0.18520433	1.8149242	0.83986217	3.4641972	0.18722145	-3.328484	0.076345235	254.0876271724701
15	62.870342	0.0	62.870342	62.870342	25.0	375	1.9228874	0.8587751	3.7474456	0.2438045	1.923952	0.8650917	3.491773	0.2680624	-3.1701963	0.07381036	272.02086901664734
16	67.37579	0.0	67.37579	67.37579	25.0	400	2.0799122	0.9212789	3.5925896	0.3197236	2.082733	0.93457	3.7046485	0.3376012	-3.0201762	0.06986338	289.9743127822876
17	67.383606	0.0	67.383606	67.383606	25.0	425	2.2560027	0.956775	3.8078146	0.38136253	2.2514243	0.9576958	3.758519	0.37969607	-3.122295	0.059631404	307.95898389816284
18	64.539185	0.0	64.539185	64.539185	25.0	450	2.4399445	0.99523556	3.9350643	0.42123297	2.4430823	1.0058157	3.915311	0.44904032	-3.4399834	0.06268148	325.8902151584625
19	65.73258	0.0	65.73258	65.73258	25.0	475	2.6667118	1.0433826	4.1271586	0.6352981	2.66532	1.0445176	4.252345	0.6245084	-3.7236083	0.068660915	343.8630464076996
20	65.09945	0.0	65.09945	65.09945	25.0	500	2.8602202	1.0760099	4.274641	0.7046108	2.8558679	1.0770007	4.2695093	0.7237847	-4.0988774	0.06244378	361.9043071269989
21	67.26519	0.0	67.26519	67.26519	25.0	525	3.0466712	1.1067845	4.7272344	0.81342095	3.0508235	1.1111871	4.525102	0.8246523	-4.2352457	0.06865809	379.8245394229889
22	66.630165	0.0	66.630165	66.630165	25.0	550	3.2557254	1.1193897	4.662566	0.9659246	3.2520673	1.1199011	4.811309	0.96312267	-4.4468527	0.07461368	397.743643283844
23	66.57059	0.0	66.57059	66.57059	25.0	575	3.488742	1.126689	5.067856	1.0543739	3.4899383	1.1324723	4.961204	1.0618278	-4.56915	0.0712379	415.6158881187439
24	66.714714	0.0	66.714714	66.714714	25.0	600	3.6474993	1.1531371	5.0171475	1.186875	3.6456144	1.1529785	4.914854	1.2224424	-4.88085	0.059339307	433.58765959739685
25	65.74401	0.0	65.74401	65.74401	25.0	625	3.8332362	1.1583186	5.531329	1.3792708	3.8340204	1.1585765	5.342146	1.415247	-4.8145733	0.06333445	451.50196504592896
26	66.43071	0.0	66.43071	66.43071	25.0	650	4.07178	1.1239266	5.197052	1.4181187	4.0701103	1.1277212	5.2569265	1.507095	-4.9504886	0.05782473	469.50478076934814
27	66.26804	0.0	66.26804	66.26804	25.0	675	4.243918	1.134648	5.6967793	1.64108	4.245738	1.1368246	5.6433334	1.5858941	-5.299532	0.06671197	487.55973529815674
28	67.17979	0.0	67.17979	67.17979	25.0	700	4.422536	1.1376684	5.619846	1.6577775	4.4180374	1.1396835	5.79666	1.7041786	-5.289897	0.070795715	505.68060994148254
29	66.44767	0.0	66.44767	66.44767	25.0	725	4.638647	1.1376256	5.8410764	1.8247211	4.6382527	1.1395823	5.8651476	1.8273319	-5.508743	0.068462424	524.7158751487732
30	66.55085	0.0	66.55085	66.55085	25.0	750	4.7933984	1.1646472	6.012044	1.8460759	4.794734	1.1680397	6.0213656	1.9084381	-5.683548	0.06691462	542.85915350914
31	46.414696	0.0	46.414696	46.414696	25.0	775	4.9795213	1.1637316	6.1727333	2.1811543	4.977936	1.1663545	6.393775	2.1832275	-5.58728	0.11210312	561.0499005317688
32	45.096836	0.0	45.096836	45.096836	25.0	800	5.1416955	1.1537637	6.4332047	2.210536	5.1366367	1.1628796	6.5192885	2.1732876	-5.4843817	0.09868289	579.1767334938049
33	43.97936	0.0	43.97936	43.97936	25.0	825	5.335641	1.1295142	6.670921	2.490622	5.339754	1.1378477	6.594183	2.4908545	-5.547092	0.07515036	597.3098564147949
34	45.985035	0.0	45.985035	45.985035	25.0	850	5.4990325	1.113863	6.675822	2.4087543	5.495147	1.1125194	6.75023	2.530723	-5.699706	0.075052865	615.4085445404053
35	44.189182	0.0	44.189182	44.189182	25.0	875	5.6056232	1.1061149	6.7659483	2.7355566	5.6099005	1.1121979	6.935169	2.7162	-5.9376326	0.07810317	633.5022430419922
36	45.907722	0.0	45.907722	45.907722	25.0	900	5.7258887	1.0865924	6.9111567	2.8079298	5.721913	1.0883918	7.180104	2.8196666	-6.059364	0.08120526	651.7821686267853
37	44.917603	0.0	44.917603	44.917603	25.0	925	5.7889147	1.0828996	7.0934997	3.0011232	5.784103	1.0873895	7.203148	2.8960655	-6.043791	0.083569326	669.9123508930206
38	45.540005	0.0	45.540005	45.540005	25.0	950	5.889067	1.0706968	7.159317	3.1746674	5.8947563	1.0751009	7.210713	3.1626453	-6.05693	0.07228116	687.9138956069946
39	44.2848	0.0	44.2848	44.2848	25.0	975	6.0299115	1.0589739	7.370818	3.1187274	6.029053	1.0598953	7.3611984	3.1686475	-6.220872	0.07452095	706.211668252945
40	44.28514	0.0	44.28514	44.28514	25.0	1000	6.1486297	1.0714633	7.432736	3.1511872	6.1458526	1.0748125	7.5742316	3.1689124	-6.394679	0.08268895	724.182678937912
41	46.25981	0.0	46.25981	46.25981	25.0	1025	6.2767034	1.0761641	7.5392313	2.9993107	6.2784634	1.0801338	7.690343	3.0557685	-6.580363	0.0884433	742.2271139621735
42	43.07852	0.0	43.07852	43.07852	25.0	1050	6.420536	1.0655271	7.7989893	3.3513603	6.4201202	1.0657395	7.8482394	3.3657367	-6.903043	0.09202093	760.6243097782135
43	44.849518	0.0	44.849518	44.849518	25.0	1075	6.5200076	1.0571363	7.85901	3.4327002	6.5190806	1.061558	7.9080567	3.5504754	-7.231537	0.09451428	778.8889665603638
44	45.064457	0.0	45.064457	45.064457	25.0	1100	6.622214	1.0666965	7.998306	3.5821376	6.6234922	1.0716507	8.078013	3.6029859	-7.2502623	0.09314762	796.881370306015
45	44.454113	0.0	44.454113	44.454113	25.0	1125	6.7585025	1.0623456	8.175229	3.64609	6.758144	1.0663422	8.202646	3.6951575	-7.3862524	0.097356565	814.8683087825775
46	45.391514	0.0	45.391514	45.391514	25.0	1150	6.871222	1.0439627	8.229238	3.8316438	6.8685603	1.0469784	8.367327	3.8662934	-7.5855002	0.0931159	832.8807077407837
47	43.74725	0.0	43.74725	43.74725	25.0	1175	6.9637275	1.0457189	8.486748	3.9304178	6.965354	1.052664	8.384398	4.076259	-7.4471645	0.092390366	850.9601585865021
