Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	15.837326	0.0	15.837326	15.837326	25.0	25	0.49616027	0.30894193	1.666535	-0.24906224	-0.35563904	0.45773414	21.821799755096436
2	17.831245	0.0	17.831245	17.831245	25.0	50	0.737854	0.35678658	1.9736131	-0.22556722	-0.96601105	0.12549523	41.96771025657654
3	26.16562	0.0	26.16562	26.16562	25.0	75	0.89581484	0.35992965	2.191152	-0.028376916	-1.8809925	0.1274606	62.13679575920105
4	20.074202	0.0	20.074202	20.074202	25.0	100	1.0070893	0.38653734	2.5627613	0.09964983	-2.508133	0.12738699	83.40525698661804
5	18.738178	0.0	18.738178	18.738178	25.0	125	1.1391357	0.5101184	3.2302673	-0.1742017	-1.3107238	0.23693258	103.60750365257263
6	38.797016	0.0	38.797016	38.797016	25.0	150	1.4859275	0.5694573	4.0615234	0.22376794	-2.0181952	0.26010695	123.97048115730286
7	31.717493	0.0	31.717493	31.717493	25.0	175	1.7323639	0.65894043	4.817685	0.30645245	-2.487049	0.2399093	144.14813327789307
8	24.842028	0.0	24.842028	24.842028	25.0	200	1.9491049	0.72195184	5.1643124	0.4167997	-2.4804091	0.21626297	164.4275257587433
9	8.94837	0.0	8.94837	8.94837	25.0	225	2.131116	0.7954564	5.7513957	0.58946043	-2.0707138	0.24211986	184.45224714279175
10	2.462117	0.0	2.462117	2.462117	25.0	250	2.1809318	0.8228408	5.868151	0.6393696	-1.9092314	0.1551228	204.76261353492737
11	2.6025212	0.0	2.6025212	2.6025212	25.0	275	2.2018228	0.84690374	5.884549	0.84663296	-1.9524952	0.13604473	224.8126199245453
12	3.1109962	0.0	3.1109962	3.1109962	25.0	300	2.243535	0.8818181	6.276877	1.0097957	-2.4848797	0.1029774	245.11092591285706
13	0.96386504	0.0	0.96386504	0.96386504	25.0	325	2.239485	0.8974914	6.334194	0.9775216	-1.9617779	0.12831993	266.3323872089386
14	0.7469753	0.0	0.7469753	0.7469753	25.0	350	2.2080002	0.911252	6.476071	1.0809319	-1.8786223	0.10150101	286.57283639907837
15	1.4493551	0.0	1.4493551	1.4493551	25.0	375	2.1994545	0.8956579	6.6781893	1.2376069	-1.8991034	0.10133817	306.9085566997528
16	2.4416606	0.0	2.4416606	2.4416606	25.0	400	2.2010458	0.8978733	7.088416	1.2027336	-1.8732452	0.09296255	326.9783790111542
17	0.99092525	0.0	0.99092525	0.99092525	25.0	425	2.1952975	0.9107463	7.259512	1.2491435	-2.1965961	0.090967074	347.1845772266388
18	1.8186561	0.0	1.8186561	1.8186561	25.0	450	2.1665485	0.91813034	7.421044	1.1822138	-2.227948	0.10880385	367.3083827495575
19	0.87044907	0.0	0.87044907	0.87044907	25.0	475	2.1385791	0.86036104	6.8663588	1.2875481	-2.5496016	0.08670354	387.43446159362793
20	21.33962	0.0	21.33962	21.33962	25.0	500	2.2044706	0.8995416	7.30355	1.2344018	-3.3210154	0.12950358	407.8422498703003
21	24.711456	0.0	24.711456	24.711456	25.0	525	2.351592	0.968121	7.240451	1.2869827	-3.0935037	0.12909847	428.1115839481354
22	20.132366	0.0	20.132366	20.132366	25.0	550	2.4777763	0.9315445	7.0521946	1.4126428	-3.456502	0.16968025	448.3850395679474
23	30.943985	0.0	30.943985	30.943985	25.0	575	2.661012	1.0022607	7.422357	1.2883726	-3.9775877	0.23694468	468.7206013202667
24	21.269049	0.0	21.269049	21.269049	25.0	600	2.9613268	1.0031769	8.103188	1.4842579	-3.5107086	0.18658775	488.8212113380432
25	34.701706	0.0	34.701706	34.701706	25.0	625	3.3892717	1.0446031	8.043232	1.6325843	-4.326359	0.24913917	509.1527307033539
26	25.446302	0.0	25.446302	25.446302	25.0	650	3.6129344	1.0872132	8.957653	1.9590057	-4.5823765	0.28975946	529.3172101974487
27	30.085472	0.0	30.085472	30.085472	25.0	675	3.8062208	1.1133196	9.144018	2.0038447	-4.7162714	0.26318702	549.3963131904602
28	35.891293	0.0	35.891293	35.891293	25.0	700	4.148342	1.170755	10.013542	1.8762715	-4.9625864	0.2864379	569.6508648395538
29	28.145954	0.0	28.145954	28.145954	25.0	725	4.4279747	1.1747034	10.051047	2.4025888	-4.9898324	0.2983386	589.7667489051819
30	22.186207	0.0	22.186207	22.186207	25.0	750	4.669832	1.1492361	10.138474	2.625193	-5.2600293	0.30441535	610.3455562591553
31	30.581196	0.0	30.581196	30.581196	25.0	775	4.99333	1.1989043	10.429775	2.6843674	-5.5142956	0.2723034	630.3726515769958
32	20.80744	0.0	20.80744	20.80744	25.0	800	5.2345705	1.1787696	11.037513	3.2546954	-5.706748	0.2580074	650.6086747646332
33	23.710611	0.0	23.710611	23.710611	25.0	825	5.467639	1.1483041	11.06599	3.0087962	-5.8585567	0.3077696	670.6976459026337
34	32.286583	0.0	32.286583	32.286583	25.0	850	5.6846704	1.1541033	10.95019	3.701724	-6.0399566	0.31973976	690.8883135318756
35	37.80272	0.0	37.80272	37.80272	25.0	875	5.9251137	1.2106454	11.900158	3.376288	-6.28935	0.29788384	711.0970520973206
36	20.255188	0.0	20.255188	20.255188	25.0	900	6.0348597	1.209643	12.22706	3.4127736	-6.383925	0.35873932	731.1948342323303
37	16.814114	0.0	16.814114	16.814114	25.0	925	6.016521	1.0872678	11.719661	3.693114	-6.393398	0.3136861	751.5917210578918
38	22.641405	0.0	22.641405	22.641405	25.0	950	6.2899494	1.1887218	12.131273	3.7488258	-6.980427	0.3500067	771.7379148006439
39	27.022709	0.0	27.022709	27.022709	25.0	975	6.3996606	1.2120168	12.067181	3.765772	-7.8661823	0.39416486	791.9797668457031
40	17.572197	0.0	17.572197	17.572197	25.0	1000	6.510919	1.2039806	12.154043	4.100358	-7.1648846	0.3770316	812.6109189987183
41	16.389217	0.0	16.389217	16.389217	25.0	1025	6.5682592	1.1644588	12.686473	4.1119533	-6.981814	0.37746072	832.6310656070709
42	15.544068	0.0	15.544068	15.544068	25.0	1050	6.651594	1.1728027	12.721914	4.2084355	-6.8812757	0.37869233	852.732283115387
43	28.532118	0.0	28.532118	28.532118	25.0	1075	6.8166676	1.1440028	12.348706	4.4358206	-7.0135536	0.4049128	872.8565742969513
44	20.855291	0.0	20.855291	20.855291	25.0	1100	7.029966	1.217863	13.072127	4.618561	-7.2931175	0.38799357	893.1627731323242
45	31.22784	0.0	31.22784	31.22784	25.0	1125	7.2296543	1.1326804	12.930137	4.9744906	-7.395614	0.4449211	913.4819140434265
46	20.409676	0.0	20.409676	20.409676	25.0	1150	7.579217	1.1157962	13.314231	5.2711515	-7.824883	0.4637214	933.7278938293457
47	35.135746	0.0	35.135746	35.135746	25.0	1175	7.7742553	1.1834179	13.372436	5.357963	-8.010069	0.43280682	953.8825070858002
48	16.015005	0.0	16.015005	16.015005	25.0	1200	7.9772267	1.1816325	13.929778	5.521846	-8.170521	0.4778573	974.0176637172699
49	26.43753	0.0	26.43753	26.43753	25.0	1225	8.155423	1.1745986	12.321702	5.652162	-8.32165	0.49969617	994.3007555007935
50	15.002857	0.0	15.002857	15.002857	25.0	1250	8.26039	1.1448095	14.599822	6.40941	-8.499771	0.4366026	1014.874664068222
51	23.1512	0.0	23.1512	23.1512	25.0	1275	8.3666935	1.1780925	13.7701645	5.8709087	-8.621551	0.43910468	1035.2035174369812
