Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	9.61957	0.0	9.61957	9.61957	25.0	25	0.3609291	0.3948036	1.492389	-0.5913652	-0.3721105	0.06508028	21.245635747909546
2	10.11934	0.0	10.11934	10.11934	25.0	50	0.42567185	0.30743405	1.3878181	-0.19700454	-2.7348592	0.016983045	40.69359540939331
3	9.744095	0.0	9.744095	9.744095	25.0	75	0.5422829	0.31491336	1.5485908	-0.057029292	-7.20388	0.01934681	60.13657355308533
4	14.49848	0.0	14.49848	14.49848	25.0	100	0.94208467	0.42676434	2.6704376	0.05064656	-9.616661	0.021726603	80.3862533569336
5	6.091376	0.0	6.091376	6.091376	25.0	125	1.5697081	1.5646468	10.47473	-1.0269547	-2.1306238	2.6170914	99.74551224708557
6	1.7015771	0.0	1.7015771	1.7015771	25.0	150	1.7239233	0.56725866	3.703912	0.51964176	-1.9121971	0.14837404	119.18128609657288
7	4.112359	0.0	4.112359	4.112359	25.0	175	1.9763196	0.58054024	4.1605244	1.1891887	-2.1590788	0.069696665	138.6936252117157
8	2.3122072	0.0	2.3122072	2.3122072	25.0	200	2.0372722	0.51826304	4.245584	1.2785512	-2.4657857	0.07695654	158.13923382759094
9	1.6384364	0.0	1.6384364	1.6384364	25.0	225	2.1055124	0.50861293	4.1751614	1.2992232	-2.5098083	0.09045093	177.51575231552124
10	3.88352	0.0	3.88352	3.88352	25.0	250	2.1415043	0.43929476	3.9651926	1.5356166	-2.9514875	0.053369116	197.17212438583374
11	2.4625025	0.0	2.4625025	2.4625025	25.0	275	2.2000446	0.41273052	3.7510448	1.5330509	-2.8091612	0.09062724	216.4601857662201
12	0.56522065	0.0	0.56522065	0.56522065	25.0	300	2.3459547	0.35845444	3.8388608	1.8023132	-2.594024	0.05229867	236.03856801986694
13	1.2830064	0.0	1.2830064	1.2830064	25.0	325	2.5524662	0.3371634	3.9934916	2.1012678	-2.8874416	0.041212536	256.59176993370056
14	2.6121643	0.0	2.6121643	2.6121643	25.0	350	2.6843097	0.32468694	4.066183	2.2328315	-2.8913672	0.03203546	275.94618821144104
15	1.7222375	0.0	1.7222375	1.7222375	25.0	375	2.8199298	0.29543182	4.2660766	2.426552	-3.6993213	0.033078816	295.2350513935089
16	3.8317356	0.0	3.8317356	3.8317356	25.0	400	2.9916427	0.31111377	4.39022	2.4724224	-3.3066492	0.04884779	314.7860815525055
17	2.2001083	0.0	2.2001083	2.2001083	25.0	425	3.1104999	0.2621376	4.498172	2.7206717	-3.5429935	0.031181483	334.32041025161743
18	8.67275	0.0	8.67275	8.67275	25.0	450	3.2346833	0.27330008	4.546107	2.8653395	-4.450839	0.039037403	353.64734864234924
19	4.319718	0.0	4.319718	4.319718	25.0	475	3.3099375	0.30538002	5.674389	2.8657968	-3.8518903	0.0741448	372.9335379600525
20	1.5477148	0.0	1.5477148	1.5477148	25.0	500	3.3917513	0.2781586	4.7864327	2.9714496	-3.5533035	0.040973276	392.5425362586975
21	2.2586167	0.0	2.2586167	2.2586167	25.0	525	3.489901	0.23343147	4.849414	3.132268	-3.699074	0.032209206	411.99118995666504
22	6.240802	0.0	6.240802	6.240802	25.0	550	3.6482787	0.23966204	5.00301	3.22241	-4.258858	0.03712035	431.3991527557373
23	3.8079193	0.0	3.8079193	3.8079193	25.0	575	3.823774	0.24703379	5.16636	3.3680744	-4.6137524	0.049063932	450.71240496635437
24	2.54066	0.0	2.54066	2.54066	25.0	600	4.039422	0.24469142	5.141838	3.59874	-4.5111527	0.050951816	470.2321124076843
25	2.5271685	0.0	2.5271685	2.5271685	25.0	625	4.296669	0.24962217	5.7364283	3.778884	-5.2892456	0.044016	489.7199242115021
26	1.1090089	0.0	1.1090089	1.1090089	25.0	650	4.4849	0.2794646	6.355241	3.7734916	-5.0594964	0.063376926	509.22389793395996
27	3.1282969	0.0	3.1282969	3.1282969	25.0	675	4.5587564	0.2720278	6.27432	3.6915417	-6.5249705	0.053787824	528.6087100505829
28	2.814756	0.0	2.814756	2.814756	25.0	700	4.5769787	0.36261714	8.577997	3.170609	-5.2182765	0.12719615	548.135913848877
29	4.77863	0.0	4.77863	4.77863	25.0	725	4.7156763	0.2678355	6.210429	4.09888	-6.4743023	0.05261047	567.5525357723236
30	4.151467	0.0	4.151467	4.151467	25.0	750	4.885461	0.30004495	7.587672	3.973242	-5.69177	0.08509882	587.4202058315277
31	2.16929	0.0	2.16929	2.16929	25.0	775	5.074409	0.25033173	6.4490128	4.217473	-6.112976	0.041164942	606.9720134735107
32	2.3499894	0.0	2.3499894	2.3499894	25.0	800	5.2862267	0.2587513	6.7285943	4.447793	-6.001885	0.06202894	626.4255592823029
33	3.0669842	0.0	3.0669842	3.0669842	25.0	825	5.4597425	0.23643158	6.9192567	4.928202	-5.7654943	0.046124946	645.92098736763
34	3.5114932	0.0	3.5114932	3.5114932	25.0	850	5.626173	0.23428465	7.0779996	5.198796	-5.913066	0.040352292	665.3091447353363
35	1.3576729	0.0	1.3576729	1.3576729	25.0	875	5.851377	0.22461206	7.283673	5.359386	-6.0859675	0.034130692	684.7394406795502
36	0.78455126	0.0	0.78455126	0.78455126	25.0	900	6.0943775	0.22498381	7.635393	5.6342416	-6.4421663	0.033080187	704.1096513271332
37	2.0750055	0.0	2.0750055	2.0750055	25.0	925	6.3749957	0.22544478	7.8254642	5.9476833	-6.786697	0.041503362	723.7229435443878
38	0.9510716	0.0	0.9510716	0.9510716	25.0	950	6.5940275	0.25736177	8.2165575	6.0182023	-6.93884	0.042002954	743.219306230545
39	1.3645265	0.0	1.3645265	1.3645265	25.0	975	6.7651296	0.24651128	8.4447775	6.243117	-7.189969	0.041488953	762.6557233333588
40	2.5002937	0.0	2.5002937	2.5002937	25.0	1000	6.9744983	0.23544493	8.455572	6.436551	-7.4751854	0.04571641	782.445198059082
41	1.4902997	0.0	1.4902997	1.4902997	25.0	1025	7.185081	0.2519294	8.8412075	6.599645	-7.5276737	0.043591667	801.9803810119629
42	2.9643488	0.0	2.9643488	2.9643488	25.0	1050	7.345308	0.26653177	9.193202	6.904453	-7.6634374	0.041374244	821.2339568138123
43	2.413452	0.0	2.413452	2.413452	25.0	1075	7.4842153	0.25834116	9.517519	6.97342	-8.092668	0.046208687	840.7877180576324
44	2.1109078	0.0	2.1109078	2.1109078	25.0	1100	7.5939183	0.23359668	9.547066	7.2488055	-8.156133	0.0417696	860.1688685417175
45	2.4521	0.0	2.4521	2.4521	25.0	1125	7.668242	0.2612084	9.548226	7.1538553	-8.0043	0.04219101	879.6704907417297
46	1.8153543	0.0	1.8153543	1.8153543	25.0	1150	7.718286	0.26191893	9.611801	7.112488	-7.9986796	0.04610578	899.0378556251526
47	1.68898	0.0	1.68898	1.68898	25.0	1175	7.829425	0.23844346	9.572017	7.3676505	-8.121639	0.040274695	918.403945684433
48	0.97977936	0.0	0.97977936	0.97977936	25.0	1200	7.9287105	0.2210641	9.701679	7.494681	-8.65585	0.03880239	937.7922074794769
