Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	41.807636	0.0	41.807636	41.807636	25.0	25	0.7243123	0.51229733	2.604989	-0.18428826	-0.72335124	2.672496	20.55350399017334
2	51.02249	0.0	51.02249	51.02249	25.0	50	1.9517633	0.79018897	4.1991396	0.40206313	-3.1677647	0.613015	39.445636510849
3	64.11472	0.0	64.11472	64.11472	25.0	75	2.3923178	0.81339425	4.420531	0.13961464	-3.3720171	0.4206786	58.26584196090698
4	47.21362	0.0	47.21362	47.21362	25.0	100	2.5838768	0.885655	4.873935	0.0519354	-3.5378137	0.2547595	77.32451033592224
5	58.53008	0.0	58.53008	58.53008	25.0	125	2.9602966	0.9456468	5.328608	0.09334986	-3.776048	0.24407783	96.21314597129822
6	92.295204	0.0	92.295204	92.295204	25.0	150	3.5372894	1.0925887	5.8725204	0.17576975	-4.5157394	0.19950363	114.97446942329407
7	93.73386	0.0	93.73386	93.73386	25.0	175	4.0770454	1.2044555	6.3468122	0.6413155	-4.938342	0.13791913	134.0894672870636
8	92.564964	0.0	92.564964	92.564964	25.0	200	4.6582003	1.2969342	6.9387574	0.66757554	-5.414224	0.114929095	152.80643153190613
9	92.0836	0.0	92.0836	92.0836	25.0	225	5.163733	1.2709696	7.2951665	0.81963766	-5.9039283	0.09290977	171.8041672706604
10	92.588	0.0	92.588	92.588	25.0	250	5.5909643	1.3418518	7.9355073	1.0995913	-6.283306	0.08844489	191.0091757774353
11	90.67885	0.0	90.67885	90.67885	25.0	275	6.052275	1.2723868	8.393333	1.3647015	-6.7009296	0.08797275	209.72020626068115
12	89.900955	0.0	89.900955	89.900955	25.0	300	6.4759016	1.2970549	8.747325	1.7439108	-7.0799565	0.08743888	228.8288905620575
13	91.596016	0.0	91.596016	91.596016	25.0	325	6.917692	1.2935389	9.433167	2.0919979	-7.4905868	0.07889591	247.62646102905273
14	73.12267	0.0	73.12267	73.12267	25.0	350	7.2219434	1.2993155	9.888045	2.2707396	-7.797328	0.08860936	266.4674344062805
15	75.00098	0.0	75.00098	75.00098	25.0	375	7.6263237	1.2630492	10.359803	2.657641	-8.1367655	0.08577219	285.3838908672333
16	72.44483	0.0	72.44483	72.44483	25.0	400	7.9111867	1.2631528	10.870764	2.8880305	-8.386912	0.08682123	304.2554740905762
17	87.41103	0.0	87.41103	87.41103	25.0	425	8.308037	1.2072439	11.608831	3.0077775	-8.790095	0.097382754	323.21632504463196
18	91.14119	0.0	91.14119	91.14119	25.0	450	8.606389	1.2899003	12.009032	3.111847	-9.11366	0.08210754	342.1690266132355
19	92.20399	0.0	92.20399	92.20399	25.0	475	9.053936	1.2507701	12.527518	3.6707592	-9.518166	0.09438501	361.2018578052521
20	92.76836	0.0	92.76836	92.76836	25.0	500	9.377624	1.3452742	12.578157	3.8900542	-9.878282	0.099054776	380.5546188354492
21	93.3756	0.0	93.3756	93.3756	25.0	525	9.773893	1.267207	13.520329	4.3316884	-10.2603245	0.091412045	400.1774399280548
22	90.208305	0.0	90.208305	90.208305	25.0	550	10.239852	1.3112564	14.368758	4.4556913	-10.721667	0.09076826	419.2147285938263
23	91.806274	0.0	91.806274	91.806274	25.0	575	10.626152	1.2659273	14.791206	4.777128	-11.139635	0.091925085	437.98709058761597
24	90.962845	0.0	90.962845	90.962845	25.0	600	11.104148	1.1824034	15.078764	5.3207784	-11.542345	0.096016556	457.0376091003418
25	90.15606	0.0	90.15606	90.15606	25.0	625	11.415462	1.279321	16.40071	5.2836337	-11.90325	0.10762093	475.9532537460327
26	90.1414	0.0	90.1414	90.1414	25.0	650	11.849585	1.2644918	16.166597	5.778076	-12.304098	0.10339622	494.6879303455353
27	92.299835	0.0	92.299835	92.299835	25.0	675	12.277607	1.2888285	17.11221	5.38088	-12.714877	0.1014504	513.5311880111694
28	78.73472	0.0	78.73472	78.73472	25.0	700	12.685437	1.319767	17.86969	6.355019	-13.072016	0.11784718	532.507110118866
29	90.57991	0.0	90.57991	90.57991	25.0	725	13.072588	1.2808273	18.481329	6.713929	-13.46736	0.13429426	551.2128722667694
30	90.83915	0.0	90.83915	90.83915	25.0	750	13.490318	1.299881	18.995852	7.011396	-13.9334135	0.114441164	570.357335805893
31	90.05751	0.0	90.05751	90.05751	25.0	775	13.936777	1.3516667	19.411427	7.1274395	-14.362395	0.13954487	588.9604761600494
32	88.03494	0.0	88.03494	88.03494	25.0	800	14.264224	1.3517452	19.994982	7.5216947	-14.691285	0.13639615	607.8040544986725
33	89.2844	0.0	89.2844	89.2844	25.0	825	14.59607	1.3967226	21.080204	7.6045885	-15.036449	0.15366836	626.9603593349457
34	86.485886	0.0	86.485886	86.485886	25.0	850	15.104742	1.3824272	21.091421	8.292461	-15.515266	0.15076013	645.6855144500732
35	89.353325	0.0	89.353325	89.353325	25.0	875	15.520826	1.364424	22.264402	8.397933	-15.9524	0.1480113	664.4980502128601
36	85.07512	0.0	85.07512	85.07512	25.0	900	15.874844	1.4085816	22.477388	8.884649	-16.3114	0.13788079	683.2625141143799
37	85.67162	0.0	85.67162	85.67162	25.0	925	16.328384	1.4039049	23.80209	9.260893	-16.762268	0.15108462	702.0606398582458
38	88.58378	0.0	88.58378	88.58378	25.0	950	16.713661	1.5135078	24.391739	9.7272	-17.158504	0.16406946	720.8260803222656
39	90.37385	0.0	90.37385	90.37385	25.0	975	17.131256	1.4578856	24.40285	9.852126	-18.03854	0.1511283	739.6667506694794
40	89.34588	0.0	89.34588	89.34588	25.0	1000	17.562841	1.4467882	25.649908	10.191223	-18.725348	0.19008814	758.7585434913635
41	89.15494	0.0	89.15494	89.15494	25.0	1025	18.029146	1.4793909	25.77562	10.756943	-19.185532	0.19538173	777.8062493801117
42	87.79774	0.0	87.79774	87.79774	25.0	1050	18.404478	1.4159547	26.237583	10.969733	-19.512514	0.15452462	796.6441972255707
43	86.14431	0.0	86.14431	86.14431	25.0	1075	18.850657	1.5250255	27.847054	11.437709	-20.157967	0.17804267	815.3668694496155
44	89.65052	0.0	89.65052	89.65052	25.0	1100	19.315733	1.4416537	28.074259	11.769077	-20.719206	0.20592852	834.5384685993195
45	87.39647	0.0	87.39647	87.39647	25.0	1125	19.907618	1.5121337	29.001732	12.820805	-21.519526	0.26939192	853.5663871765137
46	90.40368	0.0	90.40368	90.40368	25.0	1150	20.557251	1.6202952	30.46392	10.5004835	-21.88513	0.3303827	872.311776638031
47	89.79184	0.0	89.79184	89.79184	25.0	1175	21.0058	1.7568282	31.705128	14.221565	-22.451555	0.33230358	891.2636268138885
48	88.75265	0.0	88.75265	88.75265	25.0	1200	21.656858	1.890615	31.66233	15.3953285	-23.001724	0.27516726	910.2803437709808
49	87.56227	0.0	87.56227	87.56227	25.0	1225	22.258553	2.0719037	34.14212	15.762552	-23.471548	0.33045864	929.0065128803253
50	84.76085	0.0	84.76085	84.76085	25.0	1250	22.597593	1.9667637	34.3584	17.200462	-23.69765	0.35225356	948.2767474651337
51	90.50672	0.0	90.50672	90.50672	25.0	1275	23.166748	2.0247319	36.409992	17.206547	-24.201227	0.26207295	967.0362193584442
52	91.689224	0.0	91.689224	91.689224	25.0	1300	23.747822	2.2164404	35.878902	18.270966	-24.861128	0.25968403	985.9411368370056
53	92.67807	0.0	92.67807	92.67807	25.0	1325	24.144974	2.1504104	38.26536	18.4101	-25.217646	0.25456664	1005.024730682373
54	92.09979	0.0	92.09979	92.09979	25.0	1350	24.64051	2.1916971	38.41981	19.768152	-25.63651	0.24510847	1023.8149492740631
55	88.98892	0.0	88.98892	88.98892	25.0	1375	25.209211	2.3613079	39.819782	20.04229	-26.200062	0.27017266	1043.0000829696655
56	91.87213	0.0	91.87213	91.87213	25.0	1400	25.55814	2.3450072	40.502045	20.698336	-26.482428	0.25009996	1061.9604675769806
57	91.18472	0.0	91.18472	91.18472	25.0	1425	26.080166	2.4848833	42.332726	21.722107	-27.083445	0.26431072	1080.77650141716
58	82.26804	0.0	82.26804	82.26804	25.0	1450	26.516808	2.5879328	41.596207	21.765625	-27.475842	0.3811047	1100.1199407577515
59	88.79838	0.0	88.79838	88.79838	25.0	1475	27.127552	2.657081	42.40172	22.164251	-28.190863	0.25967383	1119.3436756134033
60	87.990135	0.0	87.990135	87.990135	25.0	1500	27.34791	2.6634188	44.83438	22.61981	-28.313688	0.35889417	1138.661883354187
61	86.41933	0.0	86.41933	86.41933	25.0	1525	27.994	2.7904632	46.205433	23.97955	-28.94371	0.28476235	1157.5150558948517
62	90.18326	0.0	90.18326	90.18326	25.0	1550	28.404736	2.8849535	46.678806	23.755003	-29.351486	0.30018982	1176.3355069160461
63	90.68086	0.0	90.68086	90.68086	25.0	1575	28.791145	2.806569	48.00722	24.805601	-29.550468	0.2564174	1195.283593416214
64	92.69591	0.0	92.69591	92.69591	25.0	1600	29.390799	2.9330995	48.959637	25.616966	-30.27387	0.31339884	1214.0178055763245
65	89.82243	0.0	89.82243	89.82243	25.0	1625	29.71918	2.9268985	50.520626	25.986748	-30.610102	0.36060578	1232.8918936252594
66	88.11142	0.0	88.11142	88.11142	25.0	1650	30.292	3.1998804	51.916904	26.723589	-31.213245	0.29070225	1251.851892232895
67	91.22908	0.0	91.22908	91.22908	25.0	1675	30.635714	3.105602	47.533077	26.764965	-31.522161	0.3597262	1270.9196672439575
68	90.52329	0.0	90.52329	90.52329	25.0	1700	31.082188	3.3127644	52.731354	23.771772	-32.064808	0.36319888	1289.755719423294
69	91.81451	0.0	91.81451	91.81451	25.0	1725	31.68521	3.3425279	53.766415	27.757381	-32.663616	0.37933362	1308.4999430179596
70	91.53981	0.0	91.53981	91.53981	25.0	1750	31.93827	3.242104	51.468967	26.37116	-33.22613	0.33874348	1328.0266525745392
71	88.90553	0.0	88.90553	88.90553	25.0	1775	32.39807	3.3274405	56.850998	28.581022	-36.73367	0.32976922	1347.2007410526276
72	90.434166	0.0	90.434166	90.434166	25.0	1800	32.848297	3.3117123	57.839523	29.28817	-35.463642	0.28985354	1366.311285495758
73	90.4746	0.0	90.4746	90.4746	25.0	1825	32.806694	4.28576	60.12304	28.502966	-35.169525	0.46892476	1384.924057483673
74	86.21765	0.0	86.21765	86.21765	25.0	1850	31.796534	5.444442	62.758865	27.53426	-33.867496	0.5109721	1403.7063901424408
75	89.633125	0.0	89.633125	89.633125	25.0	1875	33.515312	5.9418917	66.08299	28.00052	-35.16339	0.59973	1422.4965374469757
76	91.58725	0.0	91.58725	91.58725	25.0	1900	36.731636	5.496361	65.70847	31.578262	-38.787132	0.57160306	1441.2070200443268
77	90.10912	0.0	90.10912	90.10912	25.0	1925	37.677647	5.3230042	68.07358	33.206303	-39.848732	0.540604	1459.9757266044617
78	86.07297	0.0	86.07297	86.07297	25.0	1950	38.07216	5.186681	69.35733	34.12175	-39.791565	0.5920637	1478.7602455615997
79	89.74029	0.0	89.74029	89.74029	25.0	1975	38.599697	5.256661	64.08349	34.13618	-40.46982	0.7144922	1497.6964993476868
80	87.40348	0.0	87.40348	87.40348	25.0	2000	39.20401	5.7923374	70.50908	34.946854	-41.10932	0.5484358	1517.154360294342
81	84.79942	0.0	84.79942	84.79942	25.0	2025	39.75563	5.850606	70.06964	34.348454	-41.628902	0.5830602	1536.05508685112
82	85.82401	0.0	85.82401	85.82401	25.0	2050	40.08542	5.9892793	69.22406	35.443653	-41.7352	0.69332176	1555.1906101703644
83	89.20679	0.0	89.20679	89.20679	25.0	2075	40.399185	5.8339715	74.482414	35.134155	-42.046207	0.8171348	1574.5482196807861
84	93.365395	0.0	93.365395	93.365395	25.0	2100	40.979843	6.152753	69.62253	36.290043	-42.58993	0.61418825	1593.4549612998962
85	88.356544	0.0	88.356544	88.356544	25.0	2125	41.74957	6.506171	76.825005	36.794712	-43.385387	0.48964477	1612.5324671268463
86	90.726814	0.0	90.726814	90.726814	25.0	2150	42.106205	6.446851	79.945984	37.110386	-43.57853	0.6034022	1631.461484670639
87	92.257614	0.0	92.257614	92.257614	25.0	2175	42.821167	6.5688643	80.227234	38.08889	-44.41705	0.731115	1650.546138048172
88	90.1056	0.0	90.1056	90.1056	25.0	2200	43.223427	6.7487545	81.476814	38.243134	-44.82413	0.5403748	1669.609626531601
89	89.88752	0.0	89.88752	89.88752	25.0	2225	43.63252	6.760276	82.6237	39.2629	-45.14879	0.5990358	1688.556564092636
90	91.5819	0.0	91.5819	91.5819	25.0	2250	44.099197	6.765516	84.80709	39.012287	-45.627274	0.5602287	1708.098347902298
91	91.9151	0.0	91.9151	91.9151	25.0	2275	44.538986	6.8079147	85.04598	39.852764	-45.9472	0.72709346	1727.1375031471252
92	90.48262	0.0	90.48262	90.48262	25.0	2300	45.23354	7.097975	85.17369	40.470448	-46.77448	0.6339767	1746.2614386081696
93	91.874954	0.0	91.874954	91.874954	25.0	2325	45.304825	6.4711933	79.914055	40.360306	-46.74118	0.59461695	1765.3992030620575
94	91.23151	0.0	91.23151	91.23151	25.0	2350	45.908016	6.905302	87.622215	40.953236	-47.327293	0.5682883	1784.7364647388458
95	91.009	0.0	91.009	91.009	25.0	2375	46.32715	6.8651996	89.09802	41.9855	-47.714375	0.47212312	1803.7397112846375
96	90.59561	0.0	90.59561	90.59561	25.0	2400	46.82332	6.7680974	89.647354	42.310474	-48.202003	0.47077054	1822.8312366008759
97	91.75301	0.0	91.75301	91.75301	25.0	2425	48.01958	7.39499	93.527275	42.66019	-49.461746	0.74317664	1841.7666318416595
98	90.41778	0.0	90.41778	90.41778	25.0	2450	48.10222	7.274263	84.91691	43.400295	-49.541748	0.620643	1860.9738087654114
99	89.430984	0.0	89.430984	89.430984	25.0	2475	48.73132	7.432205	91.12238	43.85047	-50.179398	0.5611254	1880.2350108623505
100	89.60112	0.0	89.60112	89.60112	25.0	2500	49.10714	7.2637577	96.77805	44.185413	-50.384335	0.5874532	1899.4870738983154
101	89.17929	0.0	89.17929	89.17929	25.0	2525	49.187374	6.684073	99.3649	45.100296	-50.453125	0.54161394	1918.7228236198425
102	90.78309	0.0	90.78309	90.78309	25.0	2550	50.161476	7.614694	99.989876	45.218548	-51.52281	0.6697682	1937.8316631317139
103	88.72745	0.0	88.72745	88.72745	25.0	2575	50.43862	6.806542	92.47466	46.30862	-51.80654	0.5782166	1956.9982707500458
