Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	20.987244	0.0	20.987244	20.987244	25.0	25	0.8114984	0.5742134	2.0343063	-0.4981662	-0.519763	0.113308154	20.319746494293213
2	35.841194	0.0	35.841194	35.841194	25.0	50	1.1813762	0.53304255	2.6212091	-0.09546006	-4.354865	0.13813528	39.19732713699341
3	33.387367	0.0	33.387367	33.387367	25.0	75	1.4696001	0.6340727	3.1553276	-0.019389842	-10.211406	0.08961323	58.19035506248474
4	52.50155	0.0	52.50155	52.50155	25.0	100	2.3434405	0.91960436	5.6571183	0.27918103	-13.598049	0.21273084	77.39253282546997
5	23.835669	0.0	23.835669	23.835669	25.0	125	3.2442508	1.9709486	14.488583	0.37335593	-4.097958	3.219212	96.3866286277771
6	27.835712	0.0	27.835712	27.835712	25.0	150	3.97667	1.1438732	7.786747	1.4242606	-4.210333	0.18343177	115.3387200832367
7	35.30931	0.0	35.30931	35.30931	25.0	175	4.49231	1.1223422	8.02544	1.6522373	-5.8315864	0.1970672	134.334050655365
8	47.098907	0.0	47.098907	47.098907	25.0	200	5.117893	1.1943462	8.328997	1.9158883	-7.4705324	0.1713745	153.1639895439148
9	46.67683	0.0	46.67683	46.67683	25.0	225	5.580326	1.1436292	9.058023	2.3620586	-7.344786	0.20699733	172.0534930229187
10	46.2104	0.0	46.2104	46.2104	25.0	250	6.0832534	0.99580646	8.614364	2.8077962	-7.337395	0.12592581	191.39691495895386
11	46.071243	0.0	46.071243	46.071243	25.0	275	6.5624986	0.9574344	8.896289	3.2937055	-8.467055	0.10665011	210.3737292289734
12	45.60626	0.0	45.60626	45.60626	25.0	300	7.024159	0.94564337	9.336078	3.8415694	-8.463505	0.15841703	229.67626428604126
13	47.26237	0.0	47.26237	47.26237	25.0	325	7.4913106	0.88354707	9.724875	4.251003	-8.521676	0.08314061	248.59919571876526
14	46.053192	0.0	46.053192	46.053192	25.0	350	7.94833	0.878059	10.145782	4.634564	-8.90403	0.074815705	267.3493766784668
15	46.80765	0.0	46.80765	46.80765	25.0	375	8.372423	0.82749957	10.536756	5.1760106	-9.513055	0.07137952	286.1876857280731
16	44.44868	0.0	44.44868	44.44868	25.0	400	8.813864	0.86485326	10.996907	5.604111	-9.622116	0.08625178	305.2136926651001
17	45.70631	0.0	45.70631	45.70631	25.0	425	9.212582	0.81118447	11.158919	6.0252156	-9.885926	0.06528453	324.18932938575745
18	45.771523	0.0	45.771523	45.771523	25.0	450	9.49762	0.70568526	11.553307	6.49314	-10.133274	0.059092928	343.16722989082336
19	46.249218	0.0	46.249218	46.249218	25.0	475	9.717398	0.7318755	11.9111	6.8123474	-10.401477	0.052693382	361.91066670417786
20	46.425446	0.0	46.425446	46.425446	25.0	500	10.083488	0.6727645	12.248623	7.150722	-10.795964	0.054471865	381.08952379226685
21	45.278927	0.0	45.278927	45.278927	25.0	525	10.435402	0.65925914	12.611712	7.5910206	-11.106422	0.05678465	399.9012711048126
22	45.108276	0.0	45.108276	45.108276	25.0	550	10.70041	0.6455901	12.564658	8.03326	-11.321525	0.04766114	418.8418254852295
23	45.68041	0.0	45.68041	45.68041	25.0	575	10.976955	0.640034	13.088072	8.426289	-11.5326395	0.04465163	437.9314787387848
24	44.611465	0.0	44.611465	44.611465	25.0	600	11.238352	0.57789505	13.490944	8.646365	-11.761704	0.052146677	456.9003520011902
25	45.916264	0.0	45.916264	45.916264	25.0	625	11.4678335	0.56690896	13.647866	8.895895	-12.013562	0.05170883	475.6457543373108
26	45.424404	0.0	45.424404	45.424404	25.0	650	11.71331	0.5719993	13.837897	9.239333	-12.318425	0.046215605	494.5189514160156
27	45.782356	0.0	45.782356	45.782356	25.0	675	11.952073	0.56289	14.071624	9.539551	-12.627327	0.044262033	513.3134393692017
28	45.4759	0.0	45.4759	45.4759	25.0	700	12.205963	0.5425073	14.285399	9.712565	-13.151228	0.040780287	532.2019817829132
29	44.08381	0.0	44.08381	44.08381	25.0	725	12.46017	0.5411105	14.478634	9.974833	-13.289698	0.044656493	551.0732023715973
30	46.506783	0.0	46.506783	46.506783	25.0	750	12.757885	0.53622323	14.75393	10.234618	-13.441059	0.0410324	570.2156188488007
31	45.27056	0.0	45.27056	45.27056	25.0	775	13.061526	0.55375975	15.294195	10.776738	-13.697326	0.043010212	588.9970264434814
32	45.29602	0.0	45.29602	45.29602	25.0	800	13.38948	0.5738656	15.2821455	9.852448	-13.993365	0.043977275	608.3378231525421
33	47.070614	0.0	47.070614	47.070614	25.0	825	13.764209	0.54138094	16.025915	11.168419	-14.387038	0.045664076	627.0722503662109
34	46.9674	0.0	46.9674	46.9674	25.0	850	14.016993	0.60829145	16.311937	9.839854	-14.695526	0.061904237	645.9096338748932
35	45.495213	0.0	45.495213	45.495213	25.0	875	14.307028	0.5510595	16.73478	11.166501	-15.016454	0.055893604	664.642884016037
36	45.697323	0.0	45.697323	45.697323	25.0	900	14.602021	0.5472055	16.934334	11.631647	-15.289318	0.060444795	683.4309329986572
37	46.005077	0.0	46.005077	46.005077	25.0	925	14.8444605	0.5570296	17.219358	10.127787	-15.61961	0.056567587	702.3729195594788
38	48.222404	0.0	48.222404	48.222404	25.0	950	15.121786	0.54490197	17.963284	12.4909315	-15.874317	0.05724714	721.1623601913452
39	45.80766	0.0	45.80766	45.80766	25.0	975	15.4392605	0.51410353	17.910645	12.310841	-16.165665	0.05612075	740.3592200279236
40	46.956947	0.0	46.956947	46.956947	25.0	1000	15.697511	0.5361885	17.178738	12.907553	-16.437103	0.059325684	759.4585635662079
41	46.094498	0.0	46.094498	46.094498	25.0	1025	15.978161	0.56433135	18.530704	12.471897	-16.88588	0.06274315	778.291011095047
42	46.791576	0.0	46.791576	46.791576	25.0	1050	16.248655	0.5961124	18.486654	11.626604	-17.243824	0.072040975	797.1530766487122
43	45.732018	0.0	45.732018	45.732018	25.0	1075	16.555122	0.57588696	19.224972	13.246169	-17.628523	0.08124447	816.0128321647644
44	46.67631	0.0	46.67631	46.67631	25.0	1100	16.814903	0.62704635	22.572126	12.00276	-18.234995	0.11789733	834.8345036506653
45	44.45257	0.0	44.45257	44.45257	25.0	1125	17.180128	0.5707355	19.500784	9.988301	-18.59319	0.109662384	853.9095051288605
46	46.646133	0.0	46.646133	46.646133	25.0	1150	17.528372	0.5408065	19.953394	13.927316	-18.768936	0.068912335	872.6602272987366
47	46.16466	0.0	46.16466	46.16466	25.0	1175	17.858728	0.60081095	20.216293	14.437422	-18.951084	0.069479525	891.6833083629608
48	46.41409	0.0	46.41409	46.41409	25.0	1200	18.235332	0.5455204	19.847086	15.419741	-19.279526	0.06337711	910.7887127399445
