Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	18.826687	0.0	18.826687	18.826687	25.0	25	0.51274073	0.2937203	1.3129493	-0.13779944	-0.332348	0.3716852	21.39340615272522
2	15.169689	0.0	15.169689	15.169689	25.0	50	0.78011185	0.2855424	1.4673922	-0.1595426	-0.9946449	0.12815863	41.31944680213928
3	17.633532	0.0	17.633532	17.633532	25.0	75	0.798839	0.30988052	1.5718755	-0.076504275	-1.8072443	0.1249488	61.29642653465271
4	22.169012	0.0	22.169012	22.169012	25.0	100	0.9425767	0.37077293	2.015789	0.12508892	-2.446928	0.109775476	81.19045901298523
5	15.568857	0.0	15.568857	15.568857	25.0	125	1.0158185	0.4761423	3.2573185	0.08040821	-1.268859	0.24944606	101.23042368888855
6	24.03624	0.0	24.03624	24.03624	25.0	150	1.2704974	0.38289845	2.4240415	0.21381909	-1.4716798	0.14336291	121.21976733207703
7	25.223146	0.0	25.223146	25.223146	25.0	175	1.495059	0.41469666	2.6901944	0.33295208	-1.6673911	0.15851094	141.00818276405334
8	15.389494	0.0	15.389494	15.389494	25.0	200	1.5932422	0.4220948	2.856503	0.52136683	-1.6972301	0.14626096	160.76305770874023
9	18.319633	0.0	18.319633	18.319633	25.0	225	1.7222933	0.43697485	3.1445723	0.59806675	-2.138502	0.16162235	180.5605504512787
10	21.928968	0.0	21.928968	21.928968	25.0	250	1.8724616	0.47899938	3.8525968	0.6811391	-2.2047977	0.17715496	200.95054173469543
11	20.220139	0.0	20.220139	20.220139	25.0	275	2.0295734	0.48236996	3.580232	0.8464333	-2.2086163	0.17503703	220.9739990234375
12	13.521063	0.0	13.521063	13.521063	25.0	300	2.1245246	0.48673177	3.7785368	0.94118804	-2.186897	0.16938712	241.14256477355957
13	23.025118	0.0	23.025118	23.025118	25.0	325	2.2786098	0.47815937	4.0034933	1.0557777	-2.3395033	0.17187038	260.94878911972046
14	19.070353	0.0	19.070353	19.070353	25.0	350	2.403823	0.4926986	4.131856	1.161996	-2.4893029	0.17664815	280.6778280735016
15	20.067791	0.0	20.067791	20.067791	25.0	375	2.509802	0.4988351	4.3256774	1.2487587	-2.5807028	0.17539306	300.50807785987854
16	14.456389	0.0	14.456389	14.456389	25.0	400	2.5920467	0.50335866	4.5128827	1.3214021	-2.6577015	0.17154913	320.39711260795593
17	15.008252	0.0	15.008252	15.008252	25.0	425	2.6653056	0.5187083	4.645478	1.4268162	-2.7242708	0.18368061	340.2877416610718
18	22.91889	0.0	22.91889	22.91889	25.0	450	2.774514	0.5132069	4.8659587	1.5193893	-2.8089607	0.19708216	360.0791234970093
19	15.675632	0.0	15.675632	15.675632	25.0	475	2.8578148	0.5128214	4.8326707	1.569869	-2.9141548	0.20952374	379.9390535354614
20	18.171463	0.0	18.171463	18.171463	25.0	500	2.9346325	0.5390012	5.17997	1.6497582	-2.9857442	0.23186693	400.30664896965027
21	21.830818	0.0	21.830818	21.830818	25.0	525	3.018794	0.53196424	5.372521	1.6921589	-3.0737581	0.23729363	420.52374148368835
22	14.553943	0.0	14.553943	14.553943	25.0	550	3.1056437	0.5388277	5.4462605	1.7809268	-3.7302291	0.23340084	440.2848496437073
23	25.569628	0.0	25.569628	25.569628	25.0	575	3.1942363	0.55464613	5.4640737	1.9067059	-3.903946	0.2811985	459.93415451049805
24	19.762764	0.0	19.762764	19.762764	25.0	600	3.27885	0.51920336	5.5569763	1.9683089	-3.574874	0.2716513	479.86421060562134
25	22.116863	0.0	22.116863	22.116863	25.0	625	3.405791	0.5302819	5.7565064	2.0888891	-3.5851357	0.27134582	499.7185091972351
26	27.4786	0.0	27.4786	27.4786	25.0	650	3.521787	0.5318475	5.8687363	2.1010947	-3.7490704	0.26792777	519.4754118919373
27	18.766441	0.0	18.766441	18.766441	25.0	675	3.75997	0.5632238	6.2740407	2.289761	-3.9484103	0.29806936	539.2249460220337
28	21.95863	0.0	21.95863	21.95863	25.0	700	4.0481267	0.5740028	6.577734	2.5285144	-4.244835	0.31049663	559.0295460224152
29	18.484411	0.0	18.484411	18.484411	25.0	725	4.3044767	0.59114903	6.98183	2.8077734	-4.458451	0.31458902	578.8641638755798
30	26.74415	0.0	26.74415	26.74415	25.0	750	4.4720116	0.5777246	7.1012745	2.9765315	-4.686461	0.29319617	599.236841917038
31	21.364859	0.0	21.364859	21.364859	25.0	775	4.6028066	0.5755413	7.373025	3.0934503	-4.8001466	0.29277274	619.4527831077576
32	22.207241	0.0	22.207241	22.207241	25.0	800	4.713305	0.5602394	7.492317	3.2471304	-4.9188914	0.28821293	639.2687063217163
33	21.405512	0.0	21.405512	21.405512	25.0	825	4.833272	0.5772604	7.5325146	3.4184415	-5.0172133	0.29458874	659.1925659179688
34	19.545156	0.0	19.545156	19.545156	25.0	850	4.942253	0.5593096	7.6502776	3.5016358	-5.105658	0.29893637	678.9048886299133
35	18.29274	0.0	18.29274	18.29274	25.0	875	5.041878	0.56974953	7.851447	3.7140915	-5.209425	0.29284453	698.6384787559509
36	19.476473	0.0	19.476473	19.476473	25.0	900	5.1241207	0.57600015	8.030204	3.7184293	-5.307774	0.31034005	718.2119016647339
37	25.583622	0.0	25.583622	25.583622	25.0	925	5.235502	0.5598202	8.117305	3.882304	-5.407041	0.30211562	737.7847583293915
38	20.496014	0.0	20.496014	20.496014	25.0	950	5.3398523	0.579618	8.304278	3.9926136	-5.515947	0.30827954	757.3701236248016
39	15.33218	0.0	15.33218	15.33218	25.0	975	5.4359345	0.57570535	8.480238	4.107934	-5.582566	0.30414256	777.122896194458
40	18.903097	0.0	18.903097	18.903097	25.0	1000	5.496	0.5631313	8.54949	4.2403474	-5.667067	0.29868883	797.3857116699219
41	21.936344	0.0	21.936344	21.936344	25.0	1025	5.600386	0.5596337	8.767722	4.258172	-5.7671356	0.3063369	817.2260150909424
42	18.796408	0.0	18.796408	18.796408	25.0	1050	5.7178636	0.57104814	8.931033	4.3383813	-5.8964586	0.3079073	836.746098279953
43	28.955366	0.0	28.955366	28.955366	25.0	1075	5.8347287	0.57159775	8.949849	4.4599934	-5.988402	0.3175741	856.3804326057434
44	30.165112	0.0	30.165112	30.165112	25.0	1100	5.972604	0.612835	9.261252	4.541675	-6.1435194	0.34673414	875.8465101718903
45	22.081566	0.0	22.081566	22.081566	25.0	1125	6.0786915	0.60728526	9.389547	4.696715	-6.2581377	0.34781924	895.4809648990631
46	21.02616	0.0	21.02616	21.02616	25.0	1150	6.160765	0.62640846	9.564177	4.762663	-6.342202	0.3357032	915.1703479290009
47	22.459171	0.0	22.459171	22.459171	25.0	1175	6.2811346	0.62267494	9.70841	4.8211737	-6.4672217	0.3479722	934.8558702468872
48	25.715807	0.0	25.715807	25.715807	25.0	1200	6.37927	0.615731	9.928	4.7313385	-6.545081	0.3535035	954.5560910701752
49	22.08389	0.0	22.08389	22.08389	25.0	1225	6.5080876	0.6402469	10.211899	5.107414	-6.6976447	0.36079228	974.1958632469177
50	17.00243	0.0	17.00243	17.00243	25.0	1250	6.578635	0.61783385	10.380429	5.2385597	-7.2639647	0.3635601	994.6983861923218
51	22.759214	0.0	22.759214	22.759214	25.0	1275	6.7066717	0.6174754	10.19515	5.0039997	-7.4617786	0.41412675	1014.8186507225037
52	24.255444	0.0	24.255444	24.255444	25.0	1300	6.8253236	0.62837976	10.621534	5.210658	-7.226726	0.3953761	1034.4267828464508
53	23.067072	0.0	23.067072	23.067072	25.0	1325	6.9363813	0.64927435	10.81889	5.497913	-7.150096	0.37306812	1054.035291671753
54	22.763815	0.0	22.763815	22.763815	25.0	1350	7.077296	0.62333494	10.994214	5.6834383	-7.4011297	0.3294734	1073.573528289795
55	26.297237	0.0	26.297237	26.297237	25.0	1375	7.3867025	0.6276269	11.306931	5.8637033	-8.89573	0.30122554	1093.0960206985474
56	20.20321	0.0	20.20321	20.20321	25.0	1400	7.8889194	0.6026432	11.46998	6.3117785	-8.466006	0.33423823	1112.6755349636078
57	22.870016	0.0	22.870016	22.870016	25.0	1425	8.284512	0.61916023	11.956926	6.5890946	-8.584025	0.3823912	1132.2440485954285
58	21.665968	0.0	21.665968	21.665968	25.0	1450	8.522049	0.6151971	11.699859	6.955137	-8.721174	0.35364604	1151.8289909362793
59	25.488064	0.0	25.488064	25.488064	25.0	1475	8.728092	0.5956143	11.71418	7.3421645	-8.971192	0.35291743	1171.42888712883
60	23.598402	0.0	23.598402	23.598402	25.0	1500	9.000096	0.6142615	11.8629	7.42991	-9.209225	0.32949248	1191.6808207035065
61	26.804333	0.0	26.804333	26.804333	25.0	1525	9.396007	0.6313135	12.45016	7.680421	-9.659091	0.3686514	1211.5674674510956
