Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	10.790059	0.0	10.790059	10.790059	25.0	25	0.45094243	0.3893881	1.4495739	-0.43215448	-0.45206916	0.037187323	20.515455722808838
2	14.450756	0.0	14.450756	14.450756	25.0	50	0.56672347	0.35259923	1.5851468	-0.07445862	-3.176139	0.013038474	39.40260672569275
3	13.848795	0.0	13.848795	13.848795	25.0	75	0.74430704	0.40043813	2.412056	0.05975713	-7.1961937	0.014899423	58.15337920188904
4	13.224874	0.0	13.224874	13.224874	25.0	100	1.1034521	0.47326776	3.1499581	0.13330498	-9.110076	0.021518989	77.09507894515991
5	13.81537	0.0	13.81537	13.81537	25.0	125	1.6975884	1.347225	10.099001	0.17827617	-2.5931056	1.817173	95.92875027656555
6	13.733422	0.0	13.733422	13.733422	25.0	150	2.0945582	0.48412248	4.404617	0.8327208	-2.6347504	0.19632453	114.79085659980774
7	8.374295	0.0	8.374295	8.374295	25.0	175	2.2323203	0.49658567	4.4035354	1.1507108	-2.440928	0.20064299	133.52911615371704
8	11.551056	0.0	11.551056	11.551056	25.0	200	2.1929688	0.44646278	4.2671733	1.2270112	-2.5071697	0.15666158	152.19744515419006
9	12.512077	0.0	12.512077	12.512077	25.0	225	2.116448	0.38705984	3.920417	1.2255524	-2.4500446	0.16012816	170.8025357723236
10	9.463516	0.0	9.463516	9.463516	25.0	250	2.1168268	0.33549425	3.7927785	1.24523	-2.337536	0.12665686	189.67476534843445
11	15.053449	0.0	15.053449	15.053449	25.0	275	2.19044	0.31834242	3.7782283	1.3043368	-2.6115026	0.12465081	208.4479775428772
12	9.144459	0.0	9.144459	9.144459	25.0	300	2.265445	0.2965197	3.7661483	1.4587941	-2.9221802	0.120591275	227.12171149253845
13	8.4494	0.0	8.4494	8.4494	25.0	325	2.3616438	0.28526863	3.8433018	1.5869895	-2.8325753	0.117938235	246.11822724342346
14	9.904224	0.0	9.904224	9.904224	25.0	350	2.50426	0.2666083	3.9893625	1.7422103	-2.787934	0.09926471	265.0988178253174
15	12.687445	0.0	12.687445	12.687445	25.0	375	2.7045152	0.261119	4.064135	1.9503556	-4.037269	0.09613217	283.940646648407
16	10.80643	0.0	10.80643	10.80643	25.0	400	2.8725111	0.32305634	5.185914	2.0999448	-3.6263518	0.15287614	303.0931499004364
17	9.874216	0.0	9.874216	9.874216	25.0	425	3.1148837	0.24747802	4.5816565	2.356396	-4.079513	0.12443308	321.95643043518066
18	10.989688	0.0	10.989688	10.989688	25.0	450	3.3683212	0.30205235	5.5015626	2.5714939	-4.012436	0.1623233	341.0247175693512
19	8.811218	0.0	8.811218	8.811218	25.0	475	3.6665175	0.24385293	5.2391415	2.9285626	-3.9638946	0.13384487	360.006236076355
20	11.65613	0.0	11.65613	11.65613	25.0	500	3.94808	0.2389207	5.4967084	3.1981113	-4.441971	0.12915732	379.26460361480713
21	13.367037	0.0	13.367037	13.367037	25.0	525	4.1651235	0.25520146	5.678288	3.407737	-4.968669	0.1386589	398.0024297237396
22	13.4376545	0.0	13.4376545	13.4376545	25.0	550	4.383861	0.24970995	5.9266257	3.5188296	-4.6949954	0.14118282	416.68835830688477
23	12.904923	0.0	12.904923	12.904923	25.0	575	4.609009	0.24600178	6.095232	3.8083763	-5.044047	0.1545883	435.5101888179779
24	10.585244	0.0	10.585244	10.585244	25.0	600	4.896747	0.26509777	6.41641	4.0365033	-5.4469457	0.16327608	454.4786229133606
25	10.716337	0.0	10.716337	10.716337	25.0	625	5.10191	0.25533983	6.6417937	4.300553	-5.476308	0.16579105	473.43104577064514
26	12.124495	0.0	12.124495	12.124495	25.0	650	5.28008	0.26478556	6.8227873	4.4827905	-5.595865	0.15713377	492.39790964126587
27	9.1708	0.0	9.1708	9.1708	25.0	675	5.426556	0.2757595	7.050786	4.648328	-5.823905	0.17913935	511.3942108154297
28	9.346572	0.0	9.346572	9.346572	25.0	700	5.5505714	0.27329737	7.122579	4.7672925	-5.7071104	0.17114069	530.4875428676605
29	15.054439	0.0	15.054439	15.054439	25.0	725	5.6692386	0.26765463	7.2471933	4.908391	-5.9825244	0.16577794	549.4732654094696
30	13.773025	0.0	13.773025	13.773025	25.0	750	5.772218	0.2830262	7.269024	5.026257	-6.0912604	0.15089567	568.7328615188599
31	9.728107	0.0	9.728107	9.728107	25.0	775	5.895696	0.26472637	7.3653073	5.1810184	-6.1513844	0.15215604	587.8992755413055
32	13.882521	0.0	13.882521	13.882521	25.0	800	6.072779	0.26864132	7.6464143	5.3047547	-6.3430376	0.15757611	606.8703277111053
33	9.827647	0.0	9.827647	9.827647	25.0	825	6.2362685	0.28739852	7.8290863	5.4727693	-6.626318	0.16906263	625.7636885643005
34	9.304638	0.0	9.304638	9.304638	25.0	850	6.3891287	0.28340802	7.99741	5.583253	-6.963314	0.1693468	644.6275551319122
35	13.022615	0.0	13.022615	13.022615	25.0	875	6.5087776	0.28135982	8.077341	5.7663407	-7.0255604	0.15924443	663.3317763805389
36	11.755221	0.0	11.755221	11.755221	25.0	900	6.597936	0.28239727	8.146263	5.8203397	-6.9611526	0.15758236	682.1324689388275
37	8.381038	0.0	8.381038	8.381038	25.0	925	6.699591	0.28105	8.286268	5.989255	-7.0202875	0.1555736	700.9438772201538
38	13.817373	0.0	13.817373	13.817373	25.0	950	6.788775	0.2761365	8.334329	6.067618	-7.251051	0.15092073	719.8037328720093
39	9.687108	0.0	9.687108	9.687108	25.0	975	6.8973365	0.26497832	8.380963	6.217758	-7.479037	0.1566935	738.5746247768402
40	11.542361	0.0	11.542361	11.542361	25.0	1000	7.0081425	0.27721697	8.443462	6.2768435	-7.398219	0.15670653	757.5580341815948
41	10.255522	0.0	10.255522	10.255522	25.0	1025	7.124335	0.26932153	8.684965	6.3661585	-7.510357	0.1493411	776.3126213550568
42	9.944434	0.0	9.944434	9.944434	25.0	1050	7.214601	0.26751095	8.725607	6.5032554	-7.610761	0.15567084	795.2142014503479
43	12.423558	0.0	12.423558	12.423558	25.0	1075	7.323273	0.27870512	8.924836	6.6448035	-7.6585584	0.15142463	814.020959854126
44	8.439139	0.0	8.439139	8.439139	25.0	1100	7.450784	0.27705827	9.015447	6.7451015	-7.8303194	0.15149936	832.9177489280701
45	15.209288	0.0	15.209288	15.209288	25.0	1125	7.6260514	0.28156695	9.155203	6.893104	-8.228466	0.16828878	851.6885907649994
46	9.248271	0.0	9.248271	9.248271	25.0	1150	7.7931137	0.29170007	9.542002	7.0439854	-8.556203	0.17173624	870.3424897193909
47	12.1925535	0.0	12.1925535	12.1925535	25.0	1175	7.9313126	0.29400522	9.625952	7.1672306	-9.509662	0.17989404	889.0779376029968
48	13.473878	0.0	13.473878	13.473878	25.0	1200	7.9941864	0.33372006	11.723996	6.8560786	-9.692522	0.20732313	907.9198293685913
49	10.891232	0.0	10.891232	10.891232	25.0	1225	8.057505	0.34980983	11.385885	6.4121947	-8.640946	0.22660418	926.6215445995331
50	12.82711	0.0	12.82711	12.82711	25.0	1250	8.120334	0.30504426	9.818913	6.688784	-8.775387	0.19561486	945.8102881908417
51	14.867288	0.0	14.867288	14.867288	25.0	1275	8.246106	0.30275083	9.893008	7.342064	-9.352454	0.17586975	964.6138372421265
52	14.950107	0.0	14.950107	14.950107	25.0	1300	8.487528	0.30548573	10.140325	7.4441285	-9.980042	0.17254797	984.0126190185547
53	11.167869	0.0	11.167869	11.167869	25.0	1325	8.795567	0.34755856	11.630722	7.6234655	-10.272022	0.22987248	1003.0337493419647
54	17.180784	0.0	17.180784	17.180784	25.0	1350	9.164466	0.39861175	13.41353	7.599631	-10.378798	0.25978094	1022.0682797431946
55	9.14672	0.0	9.14672	9.14672	25.0	1375	9.602939	0.38684332	11.75786	8.114736	-10.6463375	0.27828333	1041.0742735862732
56	15.765639	0.0	15.765639	15.765639	25.0	1400	9.959767	0.36746636	11.828307	8.887308	-10.721496	0.28154957	1060.0960533618927
57	8.962068	0.0	8.962068	8.962068	25.0	1425	10.285272	0.3518676	12.36556	9.03426	-11.401385	0.26503813	1079.142160654068
58	12.451601	0.0	12.451601	12.451601	25.0	1450	10.579685	0.3658272	12.456003	9.521949	-11.305241	0.25638902	1098.218495130539
59	9.977205	0.0	9.977205	9.977205	25.0	1475	10.95404	0.37050268	12.604548	9.774098	-11.645521	0.25767112	1117.1368944644928
60	14.988233	0.0	14.988233	14.988233	25.0	1500	11.451633	0.38450673	13.794615	10.289485	-12.8955765	0.26982555	1136.487860918045
61	10.8387	0.0	10.8387	10.8387	25.0	1525	11.85	0.38688004	14.033705	10.744757	-12.513461	0.28236654	1155.4394962787628
62	15.030411	0.0	15.030411	15.030411	25.0	1550	12.179068	0.37046996	14.119389	11.0587	-12.931562	0.27017123	1174.3946483135223
63	13.5371475	0.0	13.5371475	13.5371475	25.0	1575	12.5139	0.3724904	14.60041	11.251614	-13.247392	0.26067466	1193.5426416397095
64	13.180361	0.0	13.180361	13.180361	25.0	1600	12.836625	0.38599423	14.812793	11.73125	-13.639532	0.26793224	1212.3782258033752
65	13.607492	0.0	13.607492	13.607492	25.0	1625	13.095158	0.38733825	15.171825	12.042039	-14.128454	0.270244	1231.4267716407776
66	11.502087	0.0	11.502087	11.502087	25.0	1650	13.296281	0.37425452	15.190602	12.238937	-13.889447	0.27790374	1250.374326467514
67	8.337021	0.0	8.337021	8.337021	25.0	1675	13.423608	0.39414367	15.552584	12.197351	-13.988674	0.28734574	1269.125617980957
68	12.323715	0.0	12.323715	12.323715	25.0	1700	13.703073	0.4078816	15.79148	12.254647	-15.104379	0.3614401	1287.6993987560272
69	10.595373	0.0	10.595373	10.595373	25.0	1725	14.300714	0.47109118	16.68382	12.545204	-15.476993	0.42192352	1306.348637342453
70	12.507133	0.0	12.507133	12.507133	25.0	1750	14.513582	0.40614206	16.81507	12.311903	-15.378258	0.31462228	1325.2982769012451
71	11.889667	0.0	11.889667	11.889667	25.0	1775	14.49773	0.3908514	16.698418	12.631318	-15.26936	0.29032335	1343.9731860160828
72	10.249145	0.0	10.249145	10.249145	25.0	1800	14.75906	0.39310503	17.282858	13.338143	-15.584278	0.27669597	1362.9550862312317
73	14.076226	0.0	14.076226	14.076226	25.0	1825	14.98118	0.39866263	17.180975	13.464268	-15.859385	0.2686071	1381.5719938278198
74	15.77154	0.0	15.77154	15.77154	25.0	1850	15.198955	0.39139578	17.50342	12.6292095	-16.062063	0.26881462	1400.4533476829529
75	11.486559	0.0	11.486559	11.486559	25.0	1875	15.48676	0.39132556	17.912474	13.95811	-16.323563	0.28538686	1419.3318178653717
76	14.363875	0.0	14.363875	14.363875	25.0	1900	15.743906	0.40556777	17.853521	12.235438	-16.796413	0.270071	1438.253387928009
77	11.645094	0.0	11.645094	11.645094	25.0	1925	15.89146	0.40104634	17.976963	14.171753	-16.956976	0.26656112	1457.263456106186
78	9.812964	0.0	9.812964	9.812964	25.0	1950	16.014395	0.38505426	18.142473	14.653266	-16.920637	0.25436676	1476.2616543769836
79	14.000471	0.0	14.000471	14.000471	25.0	1975	16.140778	0.38152537	18.255297	14.293085	-17.178814	0.23897225	1495.1428163051605
80	12.480086	0.0	12.480086	12.480086	25.0	2000	16.30235	0.37025595	18.241531	14.406286	-17.224571	0.24088499	1514.2285978794098
81	9.752862	0.0	9.752862	9.752862	25.0	2025	16.452168	0.39036077	18.593153	15.385604	-17.348183	0.26248747	1532.9357194900513
82	9.924698	0.0	9.924698	9.924698	25.0	2050	16.61131	0.39546064	18.721804	15.559198	-17.485237	0.24267031	1551.9832842350006
