Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	22.152943	0.0	22.152943	22.152943	25.0	25	0.34901327	0.32849643	1.2920271	-0.5096632	-0.2891951	0.7766829	20.48185682296753
2	42.02817	0.0	42.02817	42.02817	25.0	50	1.2325476	0.47274244	2.4546633	-0.072505265	-1.5981463	0.38626045	39.54218101501465
3	37.07237	0.0	37.07237	37.07237	25.0	75	1.4241339	0.5942892	2.9526503	-0.24393576	-2.782835	0.24705857	58.62045431137085
4	48.51388	0.0	48.51388	48.51388	25.0	100	1.7511611	0.63443446	3.5200698	0.0067799557	-3.7998135	0.22098167	77.66397285461426
5	34.371273	0.0	34.371273	34.371273	25.0	125	1.8893034	0.7115327	4.2631087	-0.013989827	-2.1623564	0.3708561	96.80076050758362
6	35.42307	0.0	35.42307	35.42307	25.0	150	2.1034381	0.63507754	4.2936096	0.12686482	-2.2400079	0.19480233	116.17090082168579
7	26.078285	0.0	26.078285	26.078285	25.0	175	2.2280393	0.6916941	4.55492	0.3029253	-2.325485	0.21145523	135.23745107650757
8	32.20045	0.0	32.20045	32.20045	25.0	200	2.4080415	0.7047011	4.974043	0.38660815	-3.1485806	0.20392914	154.172278881073
9	39.520756	0.0	39.520756	39.520756	25.0	225	2.600983	0.72859544	5.310016	0.5254091	-2.8810318	0.25392762	173.045015335083
10	26.526451	0.0	26.526451	26.526451	25.0	250	2.7760777	0.707971	5.57999	0.7880306	-2.908537	0.2614307	192.275573015213
11	35.378826	0.0	35.378826	35.378826	25.0	275	3.0003896	0.7085902	5.734655	0.9453115	-3.1717675	0.25006402	211.3842329978943
12	44.139183	0.0	44.139183	44.139183	25.0	300	3.2172074	0.7082049	5.7760077	1.127667	-3.5068243	0.27323535	230.42821550369263
13	32.87763	0.0	32.87763	32.87763	25.0	325	3.338852	0.7159323	6.022663	1.2525291	-4.221552	0.27400836	249.52906227111816
14	39.43747	0.0	39.43747	39.43747	25.0	350	3.5318818	0.72308314	6.2912645	1.3645396	-4.0962167	0.27963668	268.52935695648193
15	34.12607	0.0	34.12607	34.12607	25.0	375	3.6571248	0.70060307	6.5048823	1.4775777	-4.8351603	0.25779188	287.62806034088135
16	39.58282	0.0	39.58282	39.58282	25.0	400	3.92796	0.7156875	6.9729824	1.659167	-4.5291376	0.29478619	306.6816301345825
17	44.104942	0.0	44.104942	44.104942	25.0	425	4.2661395	0.74115074	7.4828787	1.9122621	-4.597644	0.30721807	325.76054668426514
18	37.184624	0.0	37.184624	37.184624	25.0	450	4.599762	0.739522	7.7268844	2.080786	-4.934939	0.27929157	344.83299016952515
19	36.559277	0.0	36.559277	36.559277	25.0	475	4.8728256	0.74813163	8.227927	2.4162245	-5.165701	0.29019853	363.9197142124176
20	35.69764	0.0	35.69764	35.69764	25.0	500	5.1407585	0.7278092	8.360729	2.6582942	-5.4491167	0.28960943	383.59580874443054
21	46.371197	0.0	46.371197	46.371197	25.0	525	5.39866	0.7201156	8.511071	2.876259	-5.7102375	0.2878349	402.9211518764496
22	46.941135	0.0	46.941135	46.941135	25.0	550	5.6774917	0.71681094	8.583532	3.2126577	-6.0019727	0.3151102	422.3306562900543
23	43.30555	0.0	43.30555	43.30555	25.0	575	5.93867	0.7244884	8.907591	3.3219118	-6.2981853	0.32794797	441.73710536956787
24	41.899864	0.0	41.899864	41.899864	25.0	600	6.131943	0.69634247	8.888107	3.5755527	-6.484041	0.31614125	460.946161031723
25	39.784904	0.0	39.784904	39.784904	25.0	625	6.3900685	0.71069556	9.291835	3.7839377	-6.736159	0.32761616	480.10224437713623
26	40.16695	0.0	40.16695	40.16695	25.0	650	6.5653696	0.678429	9.346563	3.980679	-6.9288177	0.33707044	499.30255651474
27	39.413082	0.0	39.413082	39.413082	25.0	675	6.797597	0.70736533	9.677937	4.256032	-7.1157336	0.34183282	518.5232751369476
28	38.500736	0.0	38.500736	38.500736	25.0	700	6.9946413	0.6914992	9.871464	4.4200516	-7.288474	0.35635045	537.7761330604553
29	38.110863	0.0	38.110863	38.110863	25.0	725	7.171041	0.6965411	10.064736	4.610529	-7.468456	0.3701947	556.890976190567
30	31.50486	0.0	31.50486	31.50486	25.0	750	7.355501	0.6729708	10.179262	4.8086524	-7.6396265	0.370582	576.1574594974518
31	50.60552	0.0	50.60552	50.60552	25.0	775	7.553328	0.7042274	10.298164	4.9063272	-7.8623548	0.4082761	595.1371011734009
32	38.052624	0.0	38.052624	38.052624	25.0	800	7.7341814	0.70906144	10.541338	5.2193446	-8.047185	0.4189341	614.3695030212402
33	40.429394	0.0	40.429394	40.429394	25.0	825	7.9547086	0.7047766	10.7984295	5.428904	-8.23225	0.44205606	633.8149607181549
34	42.24416	0.0	42.24416	42.24416	25.0	850	8.12063	0.7239557	11.858043	5.6326423	-8.385708	0.46870667	653.0069937705994
35	41.93376	0.0	41.93376	41.93376	25.0	875	8.329532	0.7370165	11.594569	5.773956	-8.608069	0.4875059	672.0997169017792
36	42.969887	0.0	42.969887	42.969887	25.0	900	8.509389	0.741561	11.788065	5.837551	-8.780544	0.48418438	691.5102834701538
37	27.42966	0.0	27.42966	27.42966	25.0	925	8.701342	0.7601994	12.205009	6.0734677	-8.9533615	0.4971018	710.8705563545227
38	31.112598	0.0	31.112598	31.112598	25.0	950	8.881419	0.73346835	11.863411	6.306509	-9.126227	0.52295244	730.0704567432404
39	39.471657	0.0	39.471657	39.471657	25.0	975	9.0882435	0.75329477	12.245694	6.4786797	-9.344693	0.5754719	749.296364068985
40	50.26342	0.0	50.26342	50.26342	25.0	1000	9.300341	0.7834702	12.554817	6.4142375	-9.565853	0.5351962	768.8593754768372
41	41.19856	0.0	41.19856	41.19856	25.0	1025	9.523395	0.76737833	12.5860405	6.7487435	-9.783306	0.57838327	788.1371808052063
42	35.323742	0.0	35.323742	35.323742	25.0	1050	9.709036	0.7997978	12.718509	6.0200305	-9.975302	0.58665216	807.3755943775177
43	38.8286	0.0	38.8286	38.8286	25.0	1075	9.907729	0.7992503	12.839217	7.172488	-10.163876	0.5922636	826.5903041362762
44	45.074615	0.0	45.074615	45.074615	25.0	1100	10.105898	0.7931902	13.180722	7.0894275	-10.389299	0.62482667	845.8909130096436
45	38.369537	0.0	38.369537	38.369537	25.0	1125	10.310476	0.80790806	13.503378	7.3256717	-10.566746	0.6322979	865.0658943653107
46	30.97169	0.0	30.97169	30.97169	25.0	1150	10.444189	0.800552	13.553625	7.7308073	-10.700248	0.6349771	884.266676902771
47	28.522364	0.0	28.522364	28.522364	25.0	1175	10.643506	0.79651624	13.8140745	6.571568	-10.9113035	0.65657145	903.5301580429077
48	31.354101	0.0	31.354101	31.354101	25.0	1200	10.826343	0.82336766	14.145788	7.0677648	-11.065871	0.640448	922.7047991752625
49	38.697258	0.0	38.697258	38.697258	25.0	1225	11.028005	0.82352674	14.255227	7.979152	-11.287415	0.6556528	941.7395768165588
50	37.046093	0.0	37.046093	37.046093	25.0	1250	11.243857	0.83002025	14.63996	8.5323515	-11.5185585	0.67239404	961.075451374054
51	47.54418	0.0	47.54418	47.54418	25.0	1275	11.470004	0.82484883	14.841934	8.611208	-11.742811	0.6968621	980.1266865730286
52	39.785545	0.0	39.785545	39.785545	25.0	1300	11.629066	0.85583633	15.0338125	8.7241745	-11.894471	0.69373643	999.2589793205261
53	37.597797	0.0	37.597797	37.597797	25.0	1325	11.82744	0.8322782	15.19466	9.051613	-12.0889015	0.684164	1018.3891105651855
54	46.063683	0.0	46.063683	46.063683	25.0	1350	12.049092	0.8277322	15.362603	9.206425	-12.318456	0.7355925	1037.5660781860352
55	41.905712	0.0	41.905712	41.905712	25.0	1375	12.262745	0.8464778	15.792006	9.352892	-12.554064	0.7609875	1056.6693003177643
56	39.029022	0.0	39.029022	39.029022	25.0	1400	12.458755	0.840049	15.961114	9.48422	-12.745147	0.7837494	1075.7179403305054
57	35.756443	0.0	35.756443	35.756443	25.0	1425	12.632338	0.86249727	16.27753	9.694318	-12.933849	0.7458311	1094.7769439220428
58	46.367718	0.0	46.367718	46.367718	25.0	1450	12.865579	0.85496205	16.483988	9.894209	-13.172482	0.7572419	1114.2438068389893
59	37.46177	0.0	37.46177	37.46177	25.0	1475	13.051078	0.84703314	16.539486	9.961385	-13.347845	0.7515292	1133.359810590744
60	37.57601	0.0	37.57601	37.57601	25.0	1500	13.24081	0.84144247	16.944609	10.214186	-13.548588	0.7632681	1152.7200918197632
61	31.118834	0.0	31.118834	31.118834	25.0	1525	13.454049	0.85108966	17.234121	10.223606	-13.75705	0.7809351	1171.8463106155396
62	39.148857	0.0	39.148857	39.148857	25.0	1550	13.666175	0.8700836	17.423096	10.447424	-13.972273	0.7606334	1190.860137462616
63	45.213875	0.0	45.213875	45.213875	25.0	1575	13.8707075	0.86525035	17.407343	10.5937395	-14.190771	0.7453698	1209.906970500946
64	37.242237	0.0	37.242237	37.242237	25.0	1600	14.039033	0.86700475	17.573536	10.662833	-14.362677	0.8028402	1228.958607673645
65	34.937084	0.0	34.937084	34.937084	25.0	1625	14.248378	0.8668543	18.176062	10.528945	-14.552593	0.79003525	1247.8959386348724
66	51.715824	0.0	51.715824	51.715824	25.0	1650	14.50716	0.8775885	18.427567	9.766147	-14.839025	0.80610764	1266.7986369132996
67	28.919928	0.0	28.919928	28.919928	25.0	1675	14.661616	0.8838651	18.80406	10.381577	-15.417708	0.8083231	1285.5302755832672
68	49.060417	0.0	49.060417	49.060417	25.0	1700	14.892258	0.8904637	19.248962	11.38734	-16.373415	0.80996096	1304.0770335197449
69	32.86069	0.0	32.86069	32.86069	25.0	1725	15.09243	0.8976287	18.85171	11.889979	-16.005493	0.82126	1322.7936401367188
70	42.55284	0.0	42.55284	42.55284	25.0	1750	15.319874	0.8758464	19.121517	12.061474	-15.935253	0.8165748	1342.0066905021667
71	37.66222	0.0	37.66222	37.66222	25.0	1775	15.532287	0.8859077	19.398067	12.288949	-16.087505	0.8100565	1360.5021595954895
72	44.863903	0.0	44.863903	44.863903	25.0	1800	15.76494	0.8728896	19.374687	12.424506	-16.382214	0.79520833	1379.0008811950684
73	45.31786	0.0	45.31786	45.31786	25.0	1825	16.47987	1.0457155	21.112692	12.989042	-17.050293	1.0888861	1397.4892418384552
74	37.421787	0.0	37.421787	37.421787	25.0	1850	17.256826	1.0757006	21.8141	12.454671	-17.721518	1.1721392	1415.9649348258972
75	40.897465	0.0	40.897465	40.897465	25.0	1875	17.542892	1.0458164	21.819836	14.245609	-17.995592	1.1609619	1434.4576344490051
76	34.489693	0.0	34.489693	34.489693	25.0	1900	17.71625	1.0320303	21.889933	14.252884	-18.214844	1.0959816	1452.9904251098633
77	39.520473	0.0	39.520473	39.520473	25.0	1925	17.969564	1.0742404	22.615967	14.524542	-18.439074	1.1111635	1471.599025964737
78	39.47978	0.0	39.47978	39.47978	25.0	1950	18.202568	1.0366287	22.959106	14.933458	-18.656765	1.0609752	1490.2684445381165
79	46.39913	0.0	46.39913	46.39913	25.0	1975	18.39456	1.0492936	23.206839	15.197399	-18.890556	1.1264942	1508.975572347641
80	39.76907	0.0	39.76907	39.76907	25.0	2000	18.60774	1.067997	23.164112	15.264085	-19.09564	1.104175	1527.974781513214
81	45.68984	0.0	45.68984	45.68984	25.0	2025	18.81584	1.063678	23.715137	14.681014	-19.269682	1.1701611	1546.6082825660706
82	48.014893	0.0	48.014893	48.014893	25.0	2050	19.119802	1.1038706	24.063215	15.267589	-19.593573	1.1382425	1565.1868798732758
83	36.05858	0.0	36.05858	36.05858	25.0	2075	19.26452	1.1178212	24.520584	8.398329	-19.772903	1.1519992	1583.7308626174927
84	31.614979	0.0	31.614979	31.614979	25.0	2100	19.517973	1.0920184	24.861284	16.319834	-19.875168	1.120696	1602.3518981933594
85	32.319794	0.0	32.319794	32.319794	25.0	2125	19.669922	1.0906898	24.925072	15.920192	-20.089722	1.1592015	1621.0007758140564
86	40.44496	0.0	40.44496	40.44496	25.0	2150	19.951296	1.0886389	25.257301	16.579702	-20.36886	1.2044288	1639.7584619522095
87	37.301537	0.0	37.301537	37.301537	25.0	2175	20.09089	1.0732849	25.439165	16.46268	-20.491882	1.2025039	1658.4496901035309
88	27.955225	0.0	27.955225	27.955225	25.0	2200	20.294508	1.0919993	25.772919	16.707556	-20.659256	1.1380742	1677.0807235240936
89	37.167496	0.0	37.167496	37.167496	25.0	2225	20.526365	1.0783105	26.753952	16.869871	-20.930288	1.172079	1695.7719931602478
90	31.470936	0.0	31.470936	31.470936	25.0	2250	20.679094	1.1377455	26.755571	16.983587	-21.036911	1.2097412	1714.8891716003418
91	36.13763	0.0	36.13763	36.13763	25.0	2275	20.92145	1.0753244	26.982208	17.344099	-21.311707	1.185906	1733.4993195533752
