Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	14.626172	0.0	14.626172	14.626172	25.0	25	0.6744261	0.4546588	2.2010741	-0.14914837	-0.64013326	0.055612717	20.2463800907135
2	29.992712	0.0	29.992712	29.992712	25.0	50	1.13209	0.5987441	2.9454865	-0.14226191	-5.726965	0.07801229	38.652307748794556
3	25.810934	0.0	25.810934	25.810934	25.0	75	1.4900962	0.6525417	3.5403762	0.109212354	-12.266794	0.041925862	57.102855920791626
4	28.037477	0.0	28.037477	28.037477	25.0	100	2.315828	0.8796298	5.5248203	0.3511136	-16.3891	0.05603993	75.74658417701721
5	22.917212	0.0	22.917212	22.917212	25.0	125	3.7057624	2.4702084	18.07118	0.79867226	-5.4060044	5.845293	94.3600378036499
6	43.17607	0.0	43.17607	43.17607	25.0	150	4.558421	1.0728097	7.726634	1.592968	-5.4349775	0.32792488	113.24148511886597
7	45.498978	0.0	45.498978	45.498978	25.0	175	5.0335445	1.1137035	7.7295413	1.8686162	-6.371096	0.13631956	132.30084347724915
8	44.929276	0.0	44.929276	44.929276	25.0	200	5.016643	1.0235827	7.2041273	2.04296	-6.1461487	0.10770539	151.40836310386658
9	45.235374	0.0	45.235374	45.235374	25.0	225	4.9149218	0.8578153	6.5185657	2.0683892	-5.735901	0.0561808	170.2808976173401
10	43.30046	0.0	43.30046	43.30046	25.0	250	4.7858744	0.75059825	6.0630317	2.13936	-5.367891	0.04035837	189.62789607048035
11	44.652145	0.0	44.652145	44.652145	25.0	275	4.737682	0.71151656	5.7626696	2.1592028	-5.287477	0.031405006	208.7749948501587
12	45.066566	0.0	45.066566	45.066566	25.0	300	4.8910146	0.6849264	5.753104	2.2392366	-5.5468707	0.026285538	228.0269124507904
13	44.71645	0.0	44.71645	44.71645	25.0	325	5.0445876	0.6574733	5.843366	2.4860613	-5.654472	0.02801723	247.13435673713684
