Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	20.73855	0.0	20.73855	20.73855	25.0	25	0.7453632	0.40457892	1.68566	-0.17431602	-0.4311687	0.25687668	21.88284993171692
2	32.985302	0.0	32.985302	32.985302	25.0	50	1.116055	0.4306976	2.0669613	0.059200734	-1.4865105	0.20197196	42.28315877914429
3	28.29289	0.0	28.29289	28.29289	25.0	75	1.2699711	0.4093092	2.3472586	0.088133305	-3.2330701	0.12504832	62.55255746841431
4	27.091288	0.0	27.091288	27.091288	25.0	100	1.4661136	0.43912113	2.619485	0.10257368	-3.8536925	0.10925354	82.81284761428833
5	66.055176	0.0	66.055176	66.055176	25.0	125	2.0268962	0.8193782	4.192453	0.22627099	-3.5573635	0.10572824	103.19623875617981
6	83.633644	0.0	83.633644	83.633644	25.0	150	2.8103766	1.1441659	5.244566	0.4300995	-4.1310673	0.09213602	123.08922505378723
7	91.318115	0.0	91.318115	91.318115	25.0	175	3.6283965	1.4197571	6.115508	0.67614555	-4.7550154	0.053655572	143.25288152694702
8	88.29319	0.0	88.29319	88.29319	25.0	200	4.413164	1.5097935	6.6918507	1.1819702	-6.091507	0.04703697	163.45642232894897
9	86.352905	0.0	86.352905	86.352905	25.0	225	5.003752	1.5313145	7.1892767	1.4435776	-6.1394677	0.052720528	184.23724031448364
10	82.38135	0.0	82.38135	82.38135	25.0	250	5.5113573	1.4818095	7.347711	1.8721883	-6.506339	0.03499201	204.76175689697266
11	82.99204	0.0	82.99204	82.99204	25.0	275	5.9643016	1.4224637	7.8573875	2.2001605	-6.8490405	0.043096047	225.3008463382721
12	92.485504	0.0	92.485504	92.485504	25.0	300	6.401097	1.4468642	8.143968	2.568803	-7.2647023	0.043724265	246.00785183906555
13	92.201195	0.0	92.201195	92.201195	25.0	325	6.928439	1.4048728	8.724109	2.8804946	-7.7155995	0.05517018	266.8214418888092
14	93.333176	0.0	93.333176	93.333176	25.0	350	7.3134327	1.4337448	8.861368	3.34783	-8.104009	0.054941863	287.1570315361023
15	91.53521	0.0	91.53521	91.53521	25.0	375	7.7911267	1.4224187	9.3012	3.5448754	-8.535017	0.048506685	307.537584066391
16	93.20396	0.0	93.20396	93.20396	25.0	400	8.186584	1.4395708	9.732319	3.885227	-8.935493	0.055363093	327.83118319511414
17	90.642845	0.0	90.642845	90.642845	25.0	425	8.659471	1.3695499	10.2365675	4.218574	-9.383472	0.0789475	348.0944001674652
18	88.57239	0.0	88.57239	88.57239	25.0	450	9.08782	1.3747008	10.586671	4.582106	-9.794217	0.07101138	368.2012321949005
19	92.83397	0.0	92.83397	92.83397	25.0	475	9.496766	1.4125024	11.003343	4.9259872	-10.241904	0.086478986	388.49671387672424
20	92.12384	0.0	92.12384	92.12384	25.0	500	9.922508	1.400055	11.327797	5.2987437	-10.643363	0.09805272	409.11689615249634
21	94.01387	0.0	94.01387	94.01387	25.0	525	10.359012	1.4313143	11.899065	5.6668553	-11.085912	0.08897149	429.3778347969055
22	93.120766	0.0	93.120766	93.120766	25.0	550	10.80127	1.4232479	12.173831	6.142561	-11.521671	0.09796029	449.39195370674133
23	91.40261	0.0	91.40261	91.40261	25.0	575	11.3247385	1.3841779	12.594279	6.4397426	-12.013542	0.09988264	469.3082127571106
24	93.74316	0.0	93.74316	93.74316	25.0	600	11.693851	1.4126444	13.132011	6.7643547	-12.760027	0.110435754	489.8342351913452
25	92.084	0.0	92.084	92.084	25.0	625	12.10359	1.4177884	13.548741	7.1558566	-13.0284	0.12162856	510.08463740348816
26	90.992874	0.0	90.992874	90.992874	25.0	650	12.55895	1.408114	14.121284	7.5519648	-13.421484	0.11430042	530.482091665268
27	88.70863	0.0	88.70863	88.70863	25.0	675	12.992105	1.35865	14.626666	7.996148	-13.796205	0.16995569	550.7408146858215
28	91.99956	0.0	91.99956	91.99956	25.0	700	13.448467	1.330113	14.953564	8.101573	-14.295092	0.13990611	571.0037372112274
29	91.94636	0.0	91.94636	91.94636	25.0	725	14.004062	1.2930218	15.369176	8.851571	-14.92239	0.1322677	591.2893648147583
30	91.81134	0.0	91.81134	91.81134	25.0	750	14.4901705	1.327617	15.846509	8.953404	-15.470463	0.1149999	611.8724763393402
31	93.681915	0.0	93.681915	93.681915	25.0	775	14.974557	1.2457753	16.246456	9.741692	-15.843647	0.12985982	632.1598913669586
