Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	17.21215	0.0	17.21215	17.21215	25.0	25	0.45374706	0.30279687	1.3025184	-0.21152253	-0.34471202	0.3011526	20.35535192489624
2	12.378233	0.0	12.378233	12.378233	25.0	50	0.6401297	0.22835523	1.2933404	-0.050396293	-0.8843283	0.14906637	38.661855936050415
3	12.577799	0.0	12.577799	12.577799	25.0	75	0.6462635	0.22522616	1.3517867	-0.0057538785	-1.5095186	0.09749637	57.53109860420227
4	14.899794	0.0	14.899794	14.899794	25.0	100	0.7036353	0.23273224	1.741033	0.16183482	-1.9077504	0.1008957	76.96267223358154
5	13.32371	0.0	13.32371	13.32371	25.0	125	0.7855299	0.34160408	2.1230521	0.08876097	-0.9890665	0.14872147	96.25498628616333
6	14.742524	0.0	14.742524	14.742524	25.0	150	0.9827344	0.255719	2.1303945	0.26861456	-1.1084015	0.10784197	115.67165756225586
7	16.606556	0.0	16.606556	16.606556	25.0	175	1.1404033	0.28783914	2.3394399	0.37126112	-1.2618121	0.11263713	134.9804494380951
8	10.921828	0.0	10.921828	10.921828	25.0	200	1.2919638	0.3186434	2.5356567	0.40853217	-1.7323525	0.12633796	154.44537210464478
9	11.137043	0.0	11.137043	11.137043	25.0	225	1.4093632	0.31315893	2.8439724	0.43763208	-1.5214659	0.14705426	173.89067935943604
10	13.534883	0.0	13.534883	13.534883	25.0	250	1.5418794	0.30950397	2.8773222	0.62525475	-1.5427858	0.13174197	194.90057063102722
11	9.324223	0.0	9.324223	9.324223	25.0	275	1.6351105	0.32579413	3.1418636	0.7314946	-1.6256323	0.108398736	214.17089009284973
12	14.841958	0.0	14.841958	14.841958	25.0	300	1.7273915	0.32656	3.0911338	0.8353123	-2.178569	0.13896501	233.4880747795105
13	16.647924	0.0	16.647924	16.647924	25.0	325	1.8036814	0.3378487	3.0905437	0.8433433	-2.1944833	0.14967294	253.0232434272766
14	13.583459	0.0	13.583459	13.583459	25.0	350	1.858013	0.30579168	3.373421	0.99775577	-2.0717192	0.15842444	272.483304977417
15	10.969999	0.0	10.969999	10.969999	25.0	375	1.9387223	0.29364088	3.2256048	1.1407598	-1.9407966	0.13228507	291.7421352863312
16	11.755216	0.0	11.755216	11.755216	25.0	400	2.023054	0.30858916	3.3888154	1.152671	-2.0409257	0.12152862	310.94563245773315
17	11.866211	0.0	11.866211	11.866211	25.0	425	2.1545389	0.32142505	3.4294395	1.3274354	-2.4913247	0.12020264	330.2431092262268
18	15.551388	0.0	15.551388	15.551388	25.0	450	2.2940857	0.31021473	3.7202587	1.4438019	-2.5298905	0.12834026	349.81206345558167
19	11.6245	0.0	11.6245	11.6245	25.0	475	2.4004629	0.31822205	3.8158982	1.5774741	-2.5609903	0.13370281	369.17977118492126
20	9.101192	0.0	9.101192	9.101192	25.0	500	2.4749453	0.33232102	3.8690927	1.677007	-2.479968	0.13602537	388.76703238487244
21	13.048494	0.0	13.048494	13.048494	25.0	525	2.5511956	0.31960285	3.9336596	1.767079	-2.571372	0.12878233	408.22085404396057
22	11.06242	0.0	11.06242	11.06242	25.0	550	2.6342945	0.3131459	4.0279155	1.8808185	-2.662736	0.12958288	427.53699231147766
23	13.477616	0.0	13.477616	13.477616	25.0	575	2.7259803	0.33499506	4.2041306	1.9057336	-2.776683	0.13037115	446.86204409599304
24	13.502376	0.0	13.502376	13.502376	25.0	600	2.8465214	0.3113996	4.3526993	2.0442677	-2.9471388	0.14675033	466.08799982070923
25	12.341618	0.0	12.341618	12.341618	25.0	625	2.868879	0.3194861	4.3824472	2.014623	-2.952057	0.1436819	485.47688341140747
26	12.945594	0.0	12.945594	12.945594	25.0	650	2.9318597	0.31609905	4.3486476	2.1628242	-2.9941103	0.15162195	504.95626282691956
27	13.940704	0.0	13.940704	13.940704	25.0	675	3.0051568	0.3229516	4.4215207	2.2217116	-3.091401	0.1452323	524.1943008899689
28	10.595509	0.0	10.595509	10.595509	25.0	700	3.0299637	0.3124122	4.6468306	2.312416	-3.1297088	0.15359583	543.8300979137421
29	11.975069	0.0	11.975069	11.975069	25.0	725	3.0921066	0.3041865	4.690391	2.3116858	-3.2318347	0.1587311	563.1906213760376
30	14.538589	0.0	14.538589	14.538589	25.0	750	3.1786454	0.3182378	4.7632647	2.3380222	-4.1014357	0.15713735	582.8371918201447
31	18.804754	0.0	18.804754	18.804754	25.0	775	3.223739	0.34059748	5.2877636	2.2760568	-4.1287575	0.17796054	602.3950657844543
32	10.99088	0.0	10.99088	10.99088	25.0	800	3.3123176	0.3245065	5.1058	2.288632	-4.1123495	0.18647942	621.8931999206543
33	9.120936	0.0	9.120936	9.120936	25.0	825	3.3399825	0.33740604	4.913228	2.4118772	-3.7047198	0.17058718	641.0620818138123
34	11.938138	0.0	11.938138	11.938138	25.0	850	3.4723697	0.34348214	5.08225	2.6764002	-3.466233	0.18171531	660.4856624603271
35	16.581993	0.0	16.581993	16.581993	25.0	875	3.6322565	0.3542214	5.3923554	2.7206233	-3.7403736	0.2021504	679.8279094696045
36	14.967563	0.0	14.967563	14.967563	25.0	900	3.8966336	0.36443776	5.891062	3.0471702	-4.00358	0.21323282	699.208487033844
37	13.443269	0.0	13.443269	13.443269	25.0	925	4.1422377	0.3967338	6.342071	3.120869	-4.1883287	0.23673822	718.5995347499847
38	10.079331	0.0	10.079331	10.079331	25.0	950	4.34511	0.36978063	6.123955	3.434171	-4.441416	0.21736445	737.2677516937256
39	15.072046	0.0	15.072046	15.072046	25.0	975	4.5004005	0.37667212	6.4412436	3.3061748	-4.618228	0.22465149	755.9958152770996
40	10.353382	0.0	10.353382	10.353382	25.0	1000	4.6026435	0.39502943	6.6599193	3.5631843	-4.6986156	0.22083859	776.395263671875
41	9.460238	0.0	9.460238	9.460238	25.0	1025	4.715269	0.37493044	6.8714085	3.5846438	-4.7871256	0.23366378	795.9223997592926
42	12.697957	0.0	12.697957	12.697957	25.0	1050	4.779973	0.38280934	6.856444	3.8175209	-4.8295445	0.22099091	815.3696460723877
43	13.337374	0.0	13.337374	13.337374	25.0	1075	4.8771954	0.3967885	6.9138618	3.981179	-4.937111	0.23752268	834.8121752738953
44	14.039692	0.0	14.039692	14.039692	25.0	1100	4.9094963	0.4052812	7.01137	3.847071	-4.9964895	0.22744247	854.0330808162689
45	11.725487	0.0	11.725487	11.725487	25.0	1125	4.991081	0.4015538	7.286697	3.9682832	-5.07552	0.23024404	873.452228307724
46	13.859546	0.0	13.859546	13.859546	25.0	1150	5.042943	0.38761973	7.2320175	4.0396523	-5.1241884	0.24441221	892.8743724822998
47	10.689525	0.0	10.689525	10.689525	25.0	1175	5.097128	0.37911206	7.4835744	4.1087046	-5.164158	0.21521594	912.3355226516724
48	9.788412	0.0	9.788412	9.788412	25.0	1200	5.1458397	0.3854567	7.3847213	4.0965657	-5.2494273	0.22365113	931.6292684078217
