Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	10.527503	0.0	10.527503	10.527503	25.0	25	0.351032	0.48621833	1.5787457	-1.4703741	-0.48725197	0.13852966	20.01977849006653
2	13.412973	0.0	13.412973	13.412973	25.0	50	0.5127785	0.39550292	1.6493306	-0.37712517	-3.5201693	0.03459771	38.303587198257446
3	13.421508	0.0	13.421508	13.421508	25.0	75	0.70118314	0.39130676	1.8670626	-0.10760422	-9.239352	0.048493758	56.566458225250244
4	14.365737	0.0	14.365737	14.365737	25.0	100	1.1191354	0.47430807	2.954088	0.07368428	-11.894301	0.028945336	75.27579641342163
5	14.308841	0.0	14.308841	14.308841	25.0	125	1.6489238	1.678697	12.983066	-1.0545444	-2.8815832	2.7175326	93.63406157493591
6	10.62952	0.0	10.62952	10.62952	25.0	150	2.4046001	0.58760357	4.6836896	1.158434	-2.7929847	0.34442225	112.48503947257996
7	16.833336	0.0	16.833336	16.833336	25.0	175	3.0134678	0.57996595	5.211965	1.6699929	-3.7009363	0.28555328	131.2988269329071
8	15.15834	0.0	15.15834	15.15834	25.0	200	3.3099205	0.53599966	5.4050283	1.983833	-3.9243677	0.25819987	149.73435759544373
9	15.210554	0.0	15.210554	15.210554	25.0	225	3.6051087	0.5064981	5.507179	2.3862495	-4.29272	0.25630176	167.98663330078125
10	6.833674	0.0	6.833674	6.833674	25.0	250	3.789555	0.4494051	5.50933	2.6091185	-4.2605925	0.2565831	188.01393604278564
11	11.894669	0.0	11.894669	11.894669	25.0	275	3.8982475	0.39806426	5.4364758	2.8019226	-4.469531	0.17259419	206.56382727622986
12	16.245903	0.0	16.245903	16.245903	25.0	300	4.070534	0.379765	5.404929	3.0760915	-4.8489	0.16129282	225.0516631603241
13	8.249676	0.0	8.249676	8.249676	25.0	325	4.156698	0.35526294	5.4058824	3.2107267	-4.753797	0.14187916	243.5302267074585
14	10.919735	0.0	10.919735	10.919735	25.0	350	4.3073573	0.31845883	5.50517	3.4354131	-5.0927596	0.121854044	262.1557586193085
15	13.972652	0.0	13.972652	13.972652	25.0	375	4.4994445	0.29446664	5.702385	3.707712	-5.249008	0.112336464	280.856920003891
16	9.576795	0.0	9.576795	9.576795	25.0	400	4.718926	0.2786234	5.737611	3.9288483	-6.0969625	0.115733854	299.4885425567627
17	13.4147215	0.0	13.4147215	13.4147215	25.0	425	4.969201	0.3018938	6.9023952	4.1472807	-6.1019707	0.1303549	318.34643816947937
18	12.090144	0.0	12.090144	12.090144	25.0	450	5.1331925	0.2494113	6.2833056	4.2244453	-6.591213	0.11723277	336.8325786590576
19	11.667285	0.0	11.667285	11.667285	25.0	475	5.328284	0.35189754	8.172674	4.25781	-5.659799	0.17116301	355.6637136936188
20	15.458552	0.0	15.458552	15.458552	25.0	500	5.606096	0.2655702	6.6903405	4.7177773	-6.5445123	0.13649397	374.25999784469604
21	13.441479	0.0	13.441479	13.441479	25.0	525	5.957461	0.32223216	7.6744328	4.8835473	-6.618245	0.17121159	392.5454845428467
22	13.912986	0.0	13.912986	13.912986	25.0	550	6.1621413	0.33648846	7.486608	5.0327454	-6.976053	0.2071905	411.21860432624817
23	11.588914	0.0	11.588914	11.588914	25.0	575	6.3606544	0.2850704	7.564642	5.505888	-7.425484	0.19381972	429.67736768722534
24	13.508211	0.0	13.508211	13.508211	25.0	600	6.508063	0.32101125	7.80259	5.5575438	-8.067194	0.21104725	448.2767689228058
25	12.909629	0.0	12.909629	12.909629	25.0	625	6.9203224	0.40667164	8.612581	5.627432	-7.796528	0.29382354	466.8544182777405
26	13.900746	0.0	13.900746	13.900746	25.0	650	7.5117893	0.41268796	8.886882	6.1836157	-8.434683	0.31533116	485.8027777671814
27	15.763346	0.0	15.763346	15.763346	25.0	675	7.966516	0.4435372	9.470075	6.701961	-9.026968	0.3284318	504.393226146698
28	8.484859	0.0	8.484859	8.484859	25.0	700	8.399756	0.37298772	9.864504	7.0192785	-8.786086	0.2908449	522.7405607700348
29	15.723393	0.0	15.723393	15.723393	25.0	725	8.721464	0.3633288	10.0828085	7.337553	-9.17314	0.24643174	542.1658976078033
30	15.899933	0.0	15.899933	15.899933	25.0	750	9.044117	0.3730752	10.427283	7.928491	-9.507713	0.26854172	561.4698781967163
31	15.753812	0.0	15.753812	15.753812	25.0	775	9.309473	0.37698233	10.636963	8.2547455	-9.774496	0.24324839	579.8478486537933
32	11.859548	0.0	11.859548	11.859548	25.0	800	9.520618	0.35742614	10.7726555	8.598779	-10.184176	0.22863822	598.250985622406
33	13.511873	0.0	13.511873	13.511873	25.0	825	9.702934	0.37795708	11.104021	8.783594	-10.571524	0.25336686	616.9954063892365
34	13.65774	0.0	13.65774	13.65774	25.0	850	9.910419	0.38539076	11.29676	8.911322	-10.797973	0.23693733	635.4841451644897
35	17.024794	0.0	17.024794	17.024794	25.0	875	10.121515	0.3773791	11.609712	9.15235	-11.01296	0.25502387	654.0027310848236
36	16.088089	0.0	16.088089	16.088089	25.0	900	10.308961	0.36350113	11.598274	9.024812	-11.131922	0.23925883	672.4525969028473
37	12.415953	0.0	12.415953	12.415953	25.0	925	10.442528	0.35933536	11.811201	7.8922234	-11.103014	0.23991081	690.9224441051483
38	15.504486	0.0	15.504486	15.504486	25.0	950	10.567597	0.36009476	11.877558	9.6040745	-11.079158	0.24113081	709.4023983478546
39	15.136638	0.0	15.136638	15.136638	25.0	975	10.695105	0.35896814	12.069623	9.779592	-11.253777	0.23430012	728.0624415874481
40	16.94036	0.0	16.94036	16.94036	25.0	1000	10.874897	0.3263077	11.968982	9.780557	-11.514094	0.22260238	747.1946558952332
41	8.37217	0.0	8.37217	8.37217	25.0	1025	11.01096	0.3341269	12.252345	10.165607	-11.55364	0.21799403	766.4999899864197
42	17.358625	0.0	17.358625	17.358625	25.0	1050	11.198704	0.37360305	12.492646	9.808056	-11.724	0.25378793	784.9476981163025
43	9.879557	0.0	9.879557	9.879557	25.0	1075	11.332092	0.33435512	12.52961	9.836066	-11.954966	0.23403597	803.5615751743317
44	11.819788	0.0	11.819788	11.819788	25.0	1100	11.482143	0.33262745	12.63994	10.469525	-12.035676	0.23918442	822.0188250541687
45	12.403519	0.0	12.403519	12.403519	25.0	1125	11.621634	0.36089253	12.994813	10.022313	-12.177974	0.24740154	840.4726440906525
46	11.2716055	0.0	11.2716055	11.2716055	25.0	1150	11.731198	0.3536509	13.093658	10.612188	-12.544607	0.23230419	858.8107390403748
47	15.120441	0.0	15.120441	15.120441	25.0	1175	11.823422	0.36401674	13.106117	10.222767	-12.911294	0.24399103	877.483393907547
48	11.680637	0.0	11.680637	11.680637	25.0	1200	11.966772	0.37674302	13.282553	10.956781	-12.842476	0.22502747	896.692705154419
49	12.840514	0.0	12.840514	12.840514	25.0	1225	12.1174345	0.36395577	13.470441	10.981646	-12.788987	0.23680204	915.3280882835388
50	14.794808	0.0	14.794808	14.794808	25.0	1250	12.257324	0.344274	13.505155	11.414384	-12.860068	0.23129417	934.2814333438873
51	13.389516	0.0	13.389516	13.389516	25.0	1275	12.488006	0.35293153	13.799009	10.926904	-13.204757	0.25791696	952.8853206634521
52	9.350752	0.0	9.350752	9.350752	25.0	1300	12.7277975	0.38586682	14.388431	11.779947	-13.394024	0.27709115	971.4351646900177
53	10.026955	0.0	10.026955	10.026955	25.0	1325	12.930061	0.36768195	14.318093	11.728317	-13.37187	0.28079	990.1913015842438
54	12.080716	0.0	12.080716	12.080716	25.0	1350	13.101144	0.3805419	14.803188	11.035897	-13.55555	0.26399386	1008.7612872123718
55	10.959967	0.0	10.959967	10.959967	25.0	1375	13.275261	0.35082102	14.800061	12.156696	-13.862563	0.24299538	1027.9938654899597
56	15.947775	0.0	15.947775	15.947775	25.0	1400	13.428712	0.3526615	14.896015	10.605467	-14.17822	0.25721323	1046.680599451065
57	9.839801	0.0	9.839801	9.839801	25.0	1425	13.556394	0.3402328	14.957519	12.366113	-14.595441	0.24022254	1065.1845095157623
58	14.789132	0.0	14.789132	14.789132	25.0	1450	13.691139	0.3859623	15.44064	12.014514	-14.643445	0.28276378	1083.7515830993652
59	12.1367855	0.0	12.1367855	12.1367855	25.0	1475	13.852108	0.3411136	15.371455	11.766674	-14.646711	0.25691572	1102.0687937736511
60	11.131213	0.0	11.131213	11.131213	25.0	1500	13.949463	0.34893832	15.3913355	11.946456	-14.606346	0.23429686	1120.809278011322
61	13.800685	0.0	13.800685	13.800685	25.0	1525	14.123484	0.37711063	16.828815	12.108498	-14.779536	0.281046	1139.6346781253815
62	11.828609	0.0	11.828609	11.828609	25.0	1550	14.299677	0.38487023	17.139767	12.099914	-14.881301	0.29394284	1158.5519094467163
63	14.6319065	0.0	14.6319065	14.6319065	25.0	1575	14.488704	0.34941736	16.342686	12.943511	-15.212719	0.27209762	1177.443263053894
64	15.542839	0.0	15.542839	15.542839	25.0	1600	14.649917	0.3617335	16.90187	12.595984	-15.556504	0.26807714	1196.7969887256622
65	10.055293	0.0	10.055293	10.055293	25.0	1625	14.806394	0.37758374	17.668884	12.503815	-15.615317	0.25986084	1215.2491738796234
66	15.842492	0.0	15.842492	15.842492	25.0	1650	14.923954	0.33327106	16.721195	12.872566	-15.614431	0.23810114	1234.0184931755066
67	12.442561	0.0	12.442561	12.442561	25.0	1675	15.07224	0.36690167	16.785976	12.045927	-15.743294	0.2789422	1252.7212035655975
68	8.53835	0.0	8.53835	8.53835	25.0	1700	15.241853	0.3637998	17.362892	13.847998	-15.864185	0.26293373	1271.0792059898376
69	12.279406	0.0	12.279406	12.279406	25.0	1725	15.368906	0.41782382	20.38645	13.527317	-16.144817	0.31537807	1289.5005567073822
70	15.362123	0.0	15.362123	15.362123	25.0	1750	15.517046	0.36440843	17.663961	13.751484	-16.373775	0.2604138	1308.384878396988
71	17.96779	0.0	17.96779	17.96779	25.0	1775	15.617661	0.3528327	17.080591	14.0288105	-16.557348	0.25142795	1326.8283729553223
72	13.940578	0.0	13.940578	13.940578	25.0	1800	15.786524	0.3592918	17.312443	14.71742	-16.737764	0.25005764	1345.1659564971924
73	13.967788	0.0	13.967788	13.967788	25.0	1825	15.964294	0.37895343	17.493015	14.596795	-16.84382	0.27796626	1363.6298427581787
74	11.687336	0.0	11.687336	11.687336	25.0	1850	16.107187	0.42114654	17.404043	6.074879	-16.847721	0.30163556	1382.076524734497
75	17.821861	0.0	17.821861	17.821861	25.0	1875	16.31919	0.38401288	23.251488	14.809249	-16.982822	0.3219603	1400.8557069301605
76	12.48779	0.0	12.48779	12.48779	25.0	1900	16.475647	0.35803676	17.970438	14.720854	-17.125626	0.31534925	1419.4266471862793
77	12.77176	0.0	12.77176	12.77176	25.0	1925	16.662134	0.38709044	18.19424	14.843245	-17.455496	0.34061912	1438.1245694160461
78	14.107638	0.0	14.107638	14.107638	25.0	1950	16.825674	0.36905563	18.427807	15.302307	-17.62516	0.30348408	1456.7621340751648
79	14.021129	0.0	14.021129	14.021129	25.0	1975	16.94503	0.36802244	18.334133	15.7017145	-17.873058	0.30705196	1475.9256658554077
80	9.289431	0.0	9.289431	9.289431	25.0	2000	17.097744	0.3673672	18.714407	12.750602	-18.001423	0.30432445	1495.7089157104492
81	11.660811	0.0	11.660811	11.660811	25.0	2025	17.218328	0.34078178	18.586401	15.752028	-18.024466	0.28076798	1514.607662677765
82	13.731162	0.0	13.731162	13.731162	25.0	2050	17.365156	0.37352818	18.874126	15.88303	-18.163118	0.2969661	1533.5809774398804
83	20.326056	0.0	20.326056	20.326056	25.0	2075	17.512802	0.3460839	19.742224	15.776012	-18.331507	0.2903318	1552.0745425224304
84	15.540241	0.0	15.540241	15.540241	25.0	2100	17.709837	0.35507068	19.168163	16.17705	-18.584902	0.28222793	1570.694862127304
85	14.438726	0.0	14.438726	14.438726	25.0	2125	17.866697	0.39668712	19.485722	15.484309	-18.760592	0.3152465	1589.452898979187
86	19.244736	0.0	19.244736	19.244736	25.0	2150	18.001837	0.3781988	19.62507	15.608262	-19.0712	0.30186412	1608.0596516132355
87	14.411357	0.0	14.411357	14.411357	25.0	2175	18.192581	0.37216264	19.75188	16.417305	-19.520779	0.30547813	1626.6082491874695
88	9.994377	0.0	9.994377	9.994377	25.0	2200	18.356215	0.36926615	20.236988	16.3997	-19.742691	0.30484203	1645.8289382457733
89	15.564492	0.0	15.564492	15.564492	25.0	2225	18.580053	0.3934887	20.16952	17.470634	-19.68774	0.32566398	1664.3663268089294
90	16.745361	0.0	16.745361	16.745361	25.0	2250	18.767895	0.39509317	20.496775	16.935057	-19.792822	0.32899597	1683.1394073963165
91	21.680208	0.0	21.680208	21.680208	25.0	2275	19.027473	0.400717	20.900387	16.452515	-20.07908	0.32045496	1701.4979317188263
92	12.586416	0.0	12.586416	12.586416	25.0	2300	19.258093	0.3982323	21.352207	17.202719	-20.261625	0.33289865	1719.9994909763336
93	22.56871	0.0	22.56871	22.56871	25.0	2325	19.570143	0.40447286	21.987413	17.725828	-20.658	0.34299535	1738.4959018230438
94	15.663964	0.0	15.663964	15.663964	25.0	2350	19.804417	0.46853453	22.579842	17.050577	-20.763866	0.39269203	1756.9210312366486
95	15.267448	0.0	15.267448	15.267448	25.0	2375	20.051857	0.48516947	23.4103	17.4378	-20.996693	0.41610104	1775.736650466919
96	16.620775	0.0	16.620775	16.620775	25.0	2400	20.242516	0.42261824	22.537453	16.743773	-21.309734	0.38733375	1794.4863259792328
97	9.243468	0.0	9.243468	9.243468	25.0	2425	20.42114	0.37976712	23.079851	17.554829	-21.646656	0.3562563	1813.4445519447327
98	11.28867	0.0	11.28867	11.28867	25.0	2450	20.617434	0.4215122	22.925623	17.756924	-21.610773	0.36065024	1832.0823857784271
99	15.947811	0.0	15.947811	15.947811	25.0	2475	20.775381	0.45858502	22.943558	17.668575	-21.770039	0.37981048	1850.5430171489716
100	12.635062	0.0	12.635062	12.635062	25.0	2500	20.931816	0.46828687	22.70861	17.286592	-21.948137	0.3971142	1870.1903910636902
101	16.19006	0.0	16.19006	16.19006	25.0	2525	21.114521	0.5348795	25.084404	11.711667	-22.130651	0.45305318	1888.7629408836365
102	10.324217	0.0	10.324217	10.324217	25.0	2550	21.281782	0.4834663	24.268206	17.640093	-22.214739	0.4220811	1907.2752096652985
103	15.596014	0.0	15.596014	15.596014	25.0	2575	21.444843	0.4389123	26.45544	17.815388	-22.23845	0.37924796	1925.8920130729675
104	13.003717	0.0	13.003717	13.003717	25.0	2600	21.625465	0.4603922	23.480593	15.675469	-22.474665	0.38646835	1944.2612473964691
105	8.825927	0.0	8.825927	8.825927	25.0	2625	21.785557	0.5129652	30.53444	18.663969	-22.631453	0.45403534	1962.6835720539093
106	17.568216	0.0	17.568216	17.568216	25.0	2650	21.909067	0.430909	24.156496	19.593826	-22.703375	0.36001596	1981.4214463233948
107	13.7217865	0.0	13.7217865	13.7217865	25.0	2675	22.07428	0.4294861	24.258976	19.831804	-22.975733	0.3472916	2000.303893327713
108	14.078012	0.0	14.078012	14.078012	25.0	2700	22.16373	0.44320247	23.80022	16.175537	-23.084185	0.34778458	2018.7864317893982
109	10.884144	0.0	10.884144	10.884144	25.0	2725	22.352062	0.41072255	24.6349	19.994837	-23.318907	0.37203327	2037.2552418708801
110	10.377727	0.0	10.377727	10.377727	25.0	2750	22.445196	0.43421936	25.29549	18.116407	-23.44221	0.36429894	2056.458523750305
111	13.343473	0.0	13.343473	13.343473	25.0	2775	22.620312	0.45259294	26.742205	20.008852	-23.660698	0.39875546	2075.221421480179
112	12.917309	0.0	12.917309	12.917309	25.0	2800	22.759163	0.4363229	24.954689	18.986626	-23.763819	0.3674013	2093.905373811722
113	14.636338	0.0	14.636338	14.636338	25.0	2825	22.936195	0.42994937	25.796118	19.865042	-23.941378	0.34543002	2113.544750928879
114	11.798762	0.0	11.798762	11.798762	25.0	2850	23.104439	0.46821776	25.187965	20.41187	-24.063608	0.39318684	2132.2851259708405
115	15.89355	0.0	15.89355	15.89355	25.0	2875	23.27648	0.4522244	24.885818	19.610567	-24.30923	0.38905624	2150.822149515152
116	14.986104	0.0	14.986104	14.986104	25.0	2900	23.45997	0.41144612	26.453835	21.32602	-24.35642	0.35815674	2169.2722589969635
117	10.576032	0.0	10.576032	10.576032	25.0	2925	23.655678	0.3856006	25.632702	21.807732	-24.548334	0.33927628	2187.806519508362
118	20.050165	0.0	20.050165	20.050165	25.0	2950	23.795483	0.4469872	26.861996	21.493944	-24.750664	0.40693995	2206.259822368622
119	14.453889	0.0	14.453889	14.453889	25.0	2975	23.88781	0.41128498	25.512125	20.273794	-24.818184	0.35641444	2225.0348370075226
120	13.652696	0.0	13.652696	13.652696	25.0	3000	24.091324	0.5046595	27.039677	21.993128	-24.980309	0.43348336	2244.115135192871
121	10.467817	0.0	10.467817	10.467817	25.0	3025	24.239086	0.41462532	26.352188	21.523205	-25.11864	0.3621697	2262.562042951584
122	11.753151	0.0	11.753151	11.753151	25.0	3050	24.358925	0.39313307	26.063234	21.859266	-25.273575	0.3569115	2281.0276794433594
123	14.551026	0.0	14.551026	14.551026	25.0	3075	24.516367	0.4194361	26.623787	22.106773	-25.417053	0.3240813	2299.37779378891
124	13.645044	0.0	13.645044	13.645044	25.0	3100	24.668879	0.40817192	27.384094	22.611473	-25.701468	0.3814919	2318.2504703998566
125	11.080645	0.0	11.080645	11.080645	25.0	3125	24.824865	0.42016122	27.074509	23.077084	-25.878567	0.35403004	2336.9321286678314
126	11.083551	0.0	11.083551	11.083551	25.0	3150	24.976978	0.4524116	26.605299	21.292568	-26.156939	0.3860226	2355.742335796356
127	11.200066	0.0	11.200066	11.200066	25.0	3175	25.129902	0.45569956	30.49693	22.722206	-26.209724	0.39047033	2374.531781435013
128	17.60374	0.0	17.60374	17.60374	25.0	3200	25.288486	0.4707416	27.173424	19.445278	-26.545723	0.37341693	2393.333826780319
129	8.170273	0.0	8.170273	8.170273	25.0	3225	25.506393	0.42337653	28.388636	23.468632	-26.689827	0.32481453	2412.566457748413
130	8.163574	0.0	8.163574	8.163574	25.0	3250	25.642603	0.46699408	32.9228	22.981112	-26.99024	0.3978899	2431.7259776592255
131	16.422812	0.0	16.422812	16.422812	25.0	3275	25.869513	0.4232383	27.425768	23.681164	-27.132332	0.34705642	2450.2834208011627
132	14.310511	0.0	14.310511	14.310511	25.0	3300	26.0492	0.45270747	27.943796	23.635794	-27.505442	0.38921776	2469.250458717346
133	13.018179	0.0	13.018179	13.018179	25.0	3325	26.28702	0.47502798	29.27336	22.720459	-27.74503	0.40923822	2487.8832654953003
134	13.909632	0.0	13.909632	13.909632	25.0	3350	26.46848	0.49561605	29.500006	17.4845	-27.904861	0.3982656	2506.328505754471
135	10.683436	0.0	10.683436	10.683436	25.0	3375	26.761919	0.41504505	30.052113	24.520205	-28.094294	0.3904197	2525.2585709095
136	9.019821	0.0	9.019821	9.019821	25.0	3400	26.962114	0.5268265	30.395964	22.701788	-28.284927	0.46387208	2543.6758048534393
137	13.456711	0.0	13.456711	13.456711	25.0	3425	27.165443	0.5701448	36.30014	23.079462	-28.455608	0.48114404	2562.2675778865814
138	9.921988	0.0	9.921988	9.921988	25.0	3450	27.453115	0.49707812	30.346624	23.932837	-28.692442	0.43741515	2580.641666173935
139	10.222457	0.0	10.222457	10.222457	25.0	3475	27.676777	0.47966462	30.583466	22.774632	-28.724327	0.44349533	2599.112117767334
140	10.409477	0.0	10.409477	10.409477	25.0	3500	27.83382	0.48147246	31.592394	24.754204	-28.828892	0.4438519	2618.3020403385162
141	15.54674	0.0	15.54674	15.54674	25.0	3525	28.022497	0.5624664	31.126736	19.5163	-29.455933	0.49977788	2636.830327987671
142	11.189405	0.0	11.189405	11.189405	25.0	3550	28.166054	0.52247477	31.198793	23.14544	-29.660192	0.45108846	2655.862524032593
143	11.374686	0.0	11.374686	11.374686	25.0	3575	28.398932	0.5276008	33.959667	25.261818	-29.791052	0.46320575	2674.6728360652924
144	10.321944	0.0	10.321944	10.321944	25.0	3600	28.54672	0.5476919	32.64964	20.620382	-30.114967	0.45963386	2694.0969622135162
145	19.232315	0.0	19.232315	19.232315	25.0	3625	28.783316	0.51408887	33.748825	25.901617	-30.255997	0.42627564	2712.948563337326
146	17.411472	0.0	17.411472	17.411472	25.0	3650	29.065369	0.50927174	32.61153	25.2423	-30.575045	0.44885555	2731.7630598545074
