Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	29.13981	0.0	29.13981	29.13981	25.0	25	0.5337548	0.41463006	1.8351408	-0.29595858	-0.5423431	0.9960884	20.69174075126648
2	37.466724	0.0	37.466724	37.466724	25.0	50	1.4230206	0.4007982	2.4793496	0.45352727	-2.3397207	0.37118515	40.22745418548584
3	43.062134	0.0	43.062134	43.062134	25.0	75	1.7101551	0.48142338	3.0650785	0.25265363	-3.324752	0.22882414	59.878297567367554
4	41.705048	0.0	41.705048	41.705048	25.0	100	1.9478118	0.55131227	3.6680224	0.22685726	-3.6862073	0.24048042	79.37750625610352
5	50.75583	0.0	50.75583	50.75583	25.0	125	2.2852535	0.6881557	4.1875424	0.17038588	-3.0460858	0.28520063	98.55863738059998
6	53.061424	0.0	53.061424	53.061424	25.0	150	2.6734855	0.6681156	4.261064	0.38407797	-3.2264676	0.22779268	117.77288866043091
7	52.635155	0.0	52.635155	52.635155	25.0	175	3.0104232	0.7065355	4.485588	0.6297511	-3.4266837	0.19170211	137.01120781898499
8	39.254913	0.0	39.254913	39.254913	25.0	200	3.2468336	0.6815728	4.7746506	0.76775026	-3.5520475	0.21154165	156.32608580589294
9	29.9396	0.0	29.9396	29.9396	25.0	225	3.411326	0.70271647	5.1199584	0.9777637	-3.6272855	0.20867701	175.60626482963562
10	36.651543	0.0	36.651543	36.651543	25.0	250	3.594381	0.72498643	5.195999	1.2503521	-3.7531023	0.17844923	195.50860857963562
11	44.998577	0.0	44.998577	44.998577	25.0	275	3.7911773	0.73936665	5.545391	1.3557979	-3.9543033	0.19694401	215.16051721572876
12	47.565506	0.0	47.565506	47.565506	25.0	300	3.9906013	0.7205853	5.887955	1.5995955	-4.1533074	0.19218376	234.8095498085022
13	51.98767	0.0	51.98767	51.98767	25.0	325	4.219704	0.7600837	6.0763135	1.7746005	-4.33656	0.22115797	254.30961298942566
14	50.461617	0.0	50.461617	50.461617	25.0	350	4.433846	0.7886361	6.495541	1.936355	-4.5492063	0.2552782	274.03685665130615
15	61.837914	0.0	61.837914	61.837914	25.0	375	4.6168194	0.8000415	6.6956058	2.0316248	-4.722433	0.27585435	293.9299716949463
16	52.336555	0.0	52.336555	52.336555	25.0	400	4.9039454	0.8524692	7.135402	2.158233	-5.0378847	0.3161595	313.7528119087219
17	43.003014	0.0	43.003014	43.003014	25.0	425	5.03765	0.86090565	7.1744204	2.296312	-5.146382	0.30663967	333.4427044391632
18	43.114983	0.0	43.114983	43.114983	25.0	450	5.1991053	0.89014465	7.529413	2.4640765	-5.3126264	0.32749078	353.0692472457886
19	40.668194	0.0	40.668194	40.668194	25.0	475	5.3762374	0.87850904	7.911652	2.4316168	-5.4691405	0.3963212	372.61479234695435
