Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	20.618216	0.0	20.618216	20.618216	25.0	25	0.63545376	0.57806975	1.9128193	-1.0912795	-0.4413595	0.32599008	20.476998805999756
2	26.56043	0.0	26.56043	26.56043	25.0	50	0.8878672	0.45840648	2.3188586	-0.32871917	-3.1450753	0.12378513	39.49418330192566
3	25.295938	0.0	25.295938	25.295938	25.0	75	1.1155038	0.46011105	2.7021554	0.119906604	-7.8116755	0.051437445	58.514408588409424
4	25.362055	0.0	25.362055	25.362055	25.0	100	1.5118637	0.5737177	3.372092	0.23630944	-10.172918	0.04367024	77.60204648971558
5	31.660181	0.0	31.660181	31.660181	25.0	125	2.2711465	1.4567357	10.989184	0.35802326	-3.5106368	1.8240936	96.73760271072388
6	44.731453	0.0	44.731453	44.731453	25.0	150	3.191707	0.9894519	4.968958	1.0640048	-4.5974813	0.26492548	116.38050103187561
7	38.93816	0.0	38.93816	38.93816	25.0	175	3.746736	0.97581536	5.3405056	1.2909262	-5.003601	0.19855447	136.15760397911072
8	41.88785	0.0	41.88785	41.88785	25.0	200	4.0902824	0.9056654	5.4393783	1.5260973	-5.4272113	0.1326924	155.9408986568451
9	44.109715	0.0	44.109715	44.109715	25.0	225	4.214837	0.7943773	5.4194417	1.6487122	-5.260419	0.082353525	175.09400343894958
10	44.941914	0.0	44.941914	44.941914	25.0	250	4.3753624	0.7190447	5.522747	1.8635361	-5.8130517	0.064780734	194.38634371757507
11	43.52506	0.0	43.52506	43.52506	25.0	275	4.5531244	0.7030352	6.2027864	2.1321032	-5.6056104	0.080946624	213.49651551246643
12	44.391632	0.0	44.391632	44.391632	25.0	300	4.901653	0.61059135	5.805694	2.541941	-5.856824	0.044901572	232.6033580303192
13	44.085697	0.0	44.085697	44.085697	25.0	325	5.2561407	0.57560974	6.1401877	2.9099665	-6.0351176	0.04187714	251.49812579154968
14	41.60825	0.0	41.60825	41.60825	25.0	350	5.6566815	0.5414606	6.4815702	3.3405032	-6.6713014	0.049933568	270.59085845947266
15	43.221424	0.0	43.221424	43.221424	25.0	375	6.0282397	0.5505369	6.8235793	3.6738844	-6.985954	0.04667656	289.5513162612915
16	38.36476	0.0	38.36476	38.36476	25.0	400	6.3768826	0.5552036	8.020758	4.0615325	-7.433332	0.061534252	308.55629420280457
17	40.87073	0.0	40.87073	40.87073	25.0	425	6.760408	0.5262916	7.9475737	4.487091	-7.373559	0.04609471	327.6264133453369
18	24.714039	0.0	24.714039	24.714039	25.0	450	7.0497594	0.50864464	7.888254	4.8741155	-7.203051	0.060016006	346.7045958042145
19	21.170042	0.0	21.170042	21.170042	25.0	475	7.339662	0.5356533	8.215159	5.206782	-7.438776	0.038549896	365.69187331199646
20	20.375053	0.0	20.375053	20.375053	25.0	500	7.594707	0.5391679	8.427866	5.582019	-7.80974	0.04636257	384.9940309524536
21	21.165833	0.0	21.165833	21.165833	25.0	525	7.842159	0.5681906	8.758153	5.910441	-7.809791	0.04611955	403.87997126579285
22	20.584393	0.0	20.584393	20.584393	25.0	550	8.100559	0.58730936	8.967975	6.030097	-8.0276165	0.04196545	422.8536379337311
23	21.088486	0.0	21.088486	21.088486	25.0	575	8.33459	0.6200535	9.253125	6.1602283	-8.434058	0.042688966	442.059978723526
24	34.808235	0.0	34.808235	34.808235	25.0	600	8.561566	0.6245293	9.640631	6.1437016	-9.127876	0.05438318	460.92118191719055
25	45.897255	0.0	45.897255	45.897255	25.0	625	8.871443	0.61094755	9.915012	6.928708	-9.889948	0.061034575	479.978164434433
26	44.495453	0.0	44.495453	44.495453	25.0	650	9.098405	0.6181423	10.0771675	6.435383	-10.009431	0.05227336	499.0306935310364
27	44.01567	0.0	44.01567	44.01567	25.0	675	9.344768	0.5984261	10.37134	6.5248976	-10.239394	0.050579667	517.9590454101562
28	45.499336	0.0	45.499336	45.499336	25.0	700	9.630474	0.60195935	10.844389	6.9641747	-10.494402	0.048767824	537.042991399765
29	45.195335	0.0	45.195335	45.195335	25.0	725	9.894234	0.59896874	11.124411	7.783611	-10.760773	0.049902152	556.1162304878235
30	44.66547	0.0	44.66547	44.66547	25.0	750	10.166856	0.5992863	11.4223795	7.801813	-11.097774	0.06431184	575.4034423828125
31	44.55163	0.0	44.55163	44.55163	25.0	775	10.4129	0.5683314	11.487501	7.172179	-11.31825	0.074168995	594.4861817359924
32	45.12203	0.0	45.12203	45.12203	25.0	800	10.670366	0.58946806	13.098646	8.404497	-11.497267	0.07402034	613.4774861335754
33	44.19157	0.0	44.19157	44.19157	25.0	825	10.9262085	0.5707074	12.162962	8.623758	-11.748471	0.0666239	632.4144625663757
34	23.93659	0.0	23.93659	23.93659	25.0	850	11.214193	0.5460415	12.53506	8.817956	-11.874502	0.08032345	651.5378086566925
35	21.809786	0.0	21.809786	21.809786	25.0	875	11.399788	0.5594786	12.797201	8.871124	-11.748114	0.07395109	670.5507187843323
36	30.737549	0.0	30.737549	30.737549	25.0	900	11.601917	0.5790935	13.197222	9.294571	-11.8336525	0.06068076	689.508843421936
37	38.84551	0.0	38.84551	38.84551	25.0	925	11.789454	0.5753328	12.781382	9.261581	-12.110083	0.06698749	708.5452721118927
38	40.395226	0.0	40.395226	40.395226	25.0	950	11.974636	0.56540877	13.686259	8.841895	-12.382737	0.07717331	727.5994920730591
39	39.170975	0.0	39.170975	39.170975	25.0	975	12.191606	0.570749	13.469286	9.579289	-12.722989	0.0801363	746.4648387432098
40	40.707897	0.0	40.707897	40.707897	25.0	1000	12.417668	0.57667214	13.522326	9.705898	-13.322389	0.07307955	765.7820546627045
41	39.721066	0.0	39.721066	39.721066	25.0	1025	12.633274	0.5764198	13.730357	8.658185	-13.427259	0.07927486	784.8093309402466
42	36.415512	0.0	36.415512	36.415512	25.0	1050	12.834255	0.5838695	14.485819	10.382162	-13.534891	0.07383501	803.710645198822
43	41.347363	0.0	41.347363	41.347363	25.0	1075	13.141252	0.5717067	14.067908	11.067922	-13.753539	0.075263545	822.6732873916626
44	39.069126	0.0	39.069126	39.069126	25.0	1100	13.357544	0.59436345	14.947672	11.057697	-14.004713	0.093244836	841.8805663585663
45	36.071503	0.0	36.071503	36.071503	25.0	1125	13.610491	0.6725001	15.285489	5.409236	-14.330101	0.12902248	860.8775813579559
46	40.19469	0.0	40.19469	40.19469	25.0	1150	13.895544	0.6146295	15.075714	11.389321	-14.623588	0.09501014	880.0238752365112
47	38.67367	0.0	38.67367	38.67367	25.0	1175	14.124337	0.62632823	15.64195	11.192924	-14.822187	0.110151425	899.2469635009766
48	37.369736	0.0	37.369736	37.369736	25.0	1200	14.372544	0.6315728	15.408614	11.592845	-15.0364065	0.10131451	918.0714068412781
49	39.771023	0.0	39.771023	39.771023	25.0	1225	14.707685	0.6411457	17.51783	11.934759	-15.428494	0.13769522	937.035893201828
