Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	30.540781	0.0	30.540781	30.540781	25.0	-0.10530176	0.11374588	0.038683973	-0.3421501	25	-6.67572e-08	448.62296	-0.10402741	-9.877594	10.751905	0.025218563	0.24	2.0	20.953330278396606
1	43.255474	0.0	43.255474	43.255474	25.0	0.0879351	0.09198953	0.3167766	-0.067378365	50	-7.6293944e-08	569.55	-0.07543234	-11.009338	10.082459	0.016694203	0.12	4.0	40.77128052711487
2	47.50147	0.0	47.50147	47.50147	25.0	0.52609086	0.16095473	0.8812063	0.28819054	75	1.2397766e-07	776.79944	-0.04331567	-19.169983	10.232293	0.028472157	0.0	2.0	60.51666021347046
3	43.196342	0.0	43.196342	43.196342	25.0	0.7759474	0.17545946	1.1900986	0.38740098	100	-1.5258789e-07	583.8436	-0.08107203	-17.3208	10.567649	0.006606102	0.24	4.0	80.23004245758057
4	52.438118	0.0	52.438118	52.438118	25.0	0.98993164	0.30129486	1.555401	0.46139672	125	1.1920929e-07	784.5028	-0.093918554	-22.992432	9.665138	0.02835701	0.2	4.0	99.96479368209839
5	43.272507	0.0	43.272507	43.272507	25.0	1.0515586	0.33259353	1.8549882	0.47615778	150	2.7179718e-07	532.2477	-0.06753316	-19.368042	9.597781	0.022062913	0.08	4.0	119.55319094657898
6	34.632324	0.0	34.632324	34.632324	25.0	1.1720062	0.13189149	1.3516567	0.8821263	175	-5.7220458e-08	373.98065	-0.07689468	-15.132568	10.924569	0.02535843	0.2	4.0	139.1811864376068
7	35.386147	0.0	35.386147	35.386147	25.0	1.8455415	0.4210351	3.0443523	1.4251809	200	6.67572e-08	412.98224	-0.042896155	-20.019348	10.070852	0.035563525	0.12	3.0	158.80356407165527
8	34.604164	0.0	34.604164	34.604164	25.0	2.4661384	0.56689084	3.574055	1.8000036	225	6.198883e-08	293.88123	-0.053406	-19.551697	9.582349	-0.007244129	0.12	4.0	178.4620451927185
9	30.865915	0.0	30.865915	30.865915	25.0	2.8260293	0.41476962	3.9998925	2.2506635	250	-1.6212464e-07	274.58612	-0.07735096	-19.270157	10.308628	0.02117794	0.32	4.0	198.13812851905823
10	37.88989	0.0	37.88989	37.88989	25.0	3.7901983	0.6151605	4.893488	2.913296	275	8.583069e-08	367.30707	-0.030100664	-24.32489	9.609987	-0.0026600265	0.16	4.0	217.80924081802368
11	35.692196	0.0	35.692196	35.692196	25.0	3.60203	0.7328405	5.034734	2.5934083	300	-9.536743e-09	363.56085	-0.0772701	-26.496277	10.918811	0.016953126	0.2	4.0	237.47201704978943
12	41.51582	0.0	41.51582	41.51582	25.0	5.592227	1.1827184	7.593513	3.1512263	325	-1.04904174e-07	557.2621	-0.056411684	-39.901917	10.074516	-0.017058792	0.16	4.0	257.19188237190247
13	41.75061	0.0	41.75061	41.75061	25.0	6.21337	0.6242221	7.2484407	5.0864983	350	6.198883e-08	386.35147	-0.07363249	-35.311676	10.091353	-0.005564747	0.08	4.0	276.88355684280396
