Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	20.037508	0.0	20.037508	20.037508	25.0	0.11628193	0.11427902	0.27851284	-0.17278515	25	1.2397766e-07	148.24257	-0.14434764	-6.852051	154.44202	0.02942627	0.44	1.0	19.65929388999939
1	26.064363	0.0	26.064363	26.064363	25.0	0.310215	0.1721791	0.60684663	0.07296197	50	-2.3841858e-08	205.06213	-0.16619276	-7.784851	155.40938	0.019069213	0.84	4.0	38.21647763252258
2	30.026346	0.0	30.026346	30.026346	25.0	0.8181337	0.27472308	1.3086724	0.34740794	75	-1.4305115e-07	214.50223	-0.16585341	-11.850983	157.97473	-0.08835449	0.84	4.0	56.81904101371765
3	29.880648	0.0	29.880648	29.880648	25.0	0.9114296	0.31035954	1.6743361	0.34588972	100	-9.536743e-08	251.05356	-0.16918233	-11.7586975	154.63994	0.014509887	0.8	4.0	75.40273237228394
4	31.681557	0.0	31.681557	31.681557	25.0	1.0267273	0.37593204	1.9198649	0.4259506	125	-7.6293944e-08	314.59857	-0.15993589	-14.706085	152.59853	0.00055847166	0.64	4.0	93.98417401313782
5	27.637844	0.0	27.637844	27.637844	25.0	1.2462523	0.25410858	1.8208175	0.88630754	150	-4.7683717e-08	234.71503	-0.12322719	-12.461166	153.91516	0.035597533	0.28	2.0	112.79362773895264
6	21.805265	0.0	21.805265	21.805265	25.0	1.6077586	0.29546872	2.068563	1.0925088	175	-1.6212464e-07	147.39175	-0.14384016	-11.255157	156.3385	-0.013394165	0.48	4.0	131.38334131240845
7	28.380087	0.0	28.380087	28.380087	25.0	2.4098475	0.67063606	4.2762427	1.3826941	200	2.8610229e-08	231.19112	-0.14950953	-18.219086	154.58539	0.0210791	0.52	3.0	150.01565766334534
8	30.535334	0.0	30.535334	30.535334	25.0	3.1878653	0.7501936	4.39723	1.8746182	225	-1.04904174e-07	351.46555	-0.11625671	-23.51944	157.99803	0.033360597	0.32	2.0	168.43245029449463
9	40.3897	0.0	40.3897	40.3897	25.0	4.4509196	0.9529768	6.050517	2.7557843	250	-2.193451e-07	561.2163	-0.15826365	-44.197266	154.9907	0.016414184	0.8	4.0	187.07160186767578
10	37.520557	0.0	37.520557	37.520557	25.0	5.705782	0.8186514	7.0536084	3.6388047	275	2.3841858e-07	374.87042	-0.17127942	-41.207214	154.4264	-0.037632447	0.72	4.0	205.5471487045288
11	35.324684	0.0	35.324684	35.324684	25.0	6.636484	1.0484428	8.549475	5.314107	300	8.583069e-08	410.49326	-0.15001972	-45.584106	156.31349	-0.002913208	0.68	4.0	224.14220094680786
12	31.161238	0.0	31.161238	31.161238	25.0	7.5336413	1.3240536	10.536079	5.0351896	325	-1.66893e-07	142.20662	-0.15726258	-21.837418	152.66364	-0.07458374	0.6	4.0	242.76495218276978
13	28.443645	0.0	28.443645	28.443645	25.0	8.058405	1.2133318	10.164307	5.9802346	350	-1.5735627e-07	194.61523	-0.15198083	-25.323792	153.22687	0.014118042	0.52	4.0	261.3649625778198
