Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	11.145381	0.0	11.145381	11.145381	25.0	-0.016502714	0.056086767	0.19198254	-0.12124594	25	-1.14440915e-07	71.43155	-0.05876351	-2.5505676	9.877451	0.019977111	0.08	2.0	19.558106660842896
1	14.842261	0.0	14.842261	14.842261	25.0	0.18706574	0.08656107	0.33334008	0.02944677	50	-1.7166138e-07	81.60186	-0.08205028	-3.354744	9.781678	0.008864689	0.16	4.0	38.37003016471863
2	11.705306	0.0	11.705306	11.705306	25.0	0.35195148	0.113557175	0.690382	0.22100455	75	2.4318695e-07	33.15114	-0.056397103	-2.1984577	10.240525	-0.0058530425	0.08	4.0	57.233437299728394
3	12.241997	0.0	12.241997	12.241997	25.0	0.58682424	0.2107748	1.0553061	0.33500627	100	-3.8146972e-08	62.35234	-0.06593535	-3.590149	9.564518	0.0054753874	0.08	4.0	76.41731691360474
4	14.522361	0.0	14.522361	14.522361	25.0	0.8708638	0.27142382	1.46133	0.5073908	125	2.7656554e-07	67.81667	-0.03607198	-4.877865	9.80361	0.0014115524	0.0	4.0	95.378502368927
5	19.805223	0.0	19.805223	19.805223	25.0	1.3976625	0.39391676	2.165512	0.74748987	150	9.536743e-09	123.220604	-0.032999676	-9.7595215	10.641444	0.0107006645	0.0	4.0	114.2741265296936
6	10.439449	0.0	10.439449	10.439449	25.0	1.485023	0.39100537	2.6825783	1.0434252	175	4.7683715e-09	22.91775	-0.025027763	-3.282114	9.636543	0.0012708664	0.0	4.0	133.254634141922
7	10.981864	0.0	10.981864	10.981864	25.0	2.079676	0.42082453	3.034353	1.371122	200	4.7683717e-08	29.009005	-0.02934016	-4.350113	10.679071	0.004694824	0.0	4.0	152.33073902130127
8	8.579027	0.0	8.579027	8.579027	25.0	2.2912796	0.5931229	3.6584163	1.7299528	225	-4.7683715e-09	12.969933	-0.028012156	-2.6375008	9.653818	0.0018728257	0.0	4.0	171.12965774536133
9	10.088984	0.0	10.088984	10.088984	25.0	2.8956292	0.7317152	4.7955604	2.1146793	250	4.7683717e-08	28.464731	-0.029462252	-5.1837883	9.884883	0.020810185	0.0	4.0	190.11698985099792
10	12.412274	0.0	12.412274	12.412274	25.0	3.702491	1.0744677	6.26201	2.5720906	275	-8.106232e-08	29.867903	-0.03920858	-4.988926	10.802258	0.012523365	0.08	4.0	209.51645588874817
11	3.4038978	0.0	3.4038978	3.4038978	25.0	3.4917555	0.70789295	5.5326877	3.1154034	300	2.3841857e-09	2.1167943	-0.03237094	-0.47210395	9.628683	0.012152977	0.0	4.0	229.17335987091064
12	16.381277	0.0	16.381277	16.381277	25.0	5.3626485	1.1515652	7.131174	3.597188	325	-4.7683717e-08	89.450615	-0.04489122	-13.70343	9.556878	-0.0007919312	0.04	4.0	247.98033738136292
13	10.544163	0.0	10.544163	10.544163	25.0	5.5684075	0.9458364	7.4100356	4.2799745	350	1.1920929e-08	12.945083	-0.042557474	-3.783783	9.773284	-0.0012768364	0.04	4.0	266.67661786079407
14	12.057316	0.0	12.057316	12.057316	25.0	6.4942265	1.2025592	8.964233	5.0441723	375	9.059906e-08	34.16233	-0.02797194	-7.6047306	10.476879	0.008399963	0.0	4.0	285.4693179130554
15	8.508296	0.0	8.508296	8.508296	25.0	7.205954	0.9432787	8.927285	5.856431	400	9.536743e-08	25.403625	-0.026752668	-7.8004894	10.43178	0.020914936	0.0	4.0	304.28690791130066
16	11.3517885	0.0	11.3517885	11.3517885	25.0	8.512052	1.2652191	11.208575	6.7761416	425	1.001358e-07	28.9723	-0.035373077	-9.372812	10.444757	0.016874371	0.0	4.0	323.14570784568787
17	13.794751	0.0	13.794751	13.794751	25.0	9.94111	1.583251	14.365136	7.796998	450	-2.479553e-07	79.76837	-0.04663827	-20.435562	9.358724	0.027244758	0.08	4.0	341.9236605167389
18	12.768886	0.0	12.768886	12.768886	25.0	11.101438	1.7490071	13.948504	9.050135	475	-1.8119812e-07	18.242163	-0.048361942	-7.346532	10.205491	0.0021818923	0.04	4.0	360.87657260894775
