Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	36.6178	0.0	36.6178	36.6178	25.0	0.0012033496	0.11995136	0.23269679	-0.27725792	25	7.152558e-08	508.63577	-0.17569624	-14.627411	156.44693	-0.030592041	0.92	4.0	21.401288747787476
1	43.713383	0.0	43.713383	43.713383	25.0	0.31124017	0.18660222	0.75280243	-0.12892325	50	2.9087067e-07	591.6795	-0.17293128	-16.872803	154.54562	0.020547485	0.88	3.0	42.068610429763794
2	39.42228	0.0	39.42228	39.42228	25.0	0.45288068	0.30208918	1.1109208	-0.18070154	75	2.8610229e-08	415.61584	-0.17190291	-13.191559	152.15324	-0.0617688	0.92	4.0	62.49910354614258
3	40.718906	0.0	40.718906	40.718906	25.0	1.0637043	0.3896766	1.7932879	0.40259516	100	-1.4305114e-08	433.2465	-0.16264367	-18.05603	155.34854	-0.04097351	0.76	4.0	82.91301155090332
4	45.441986	0.0	45.441986	45.441986	25.0	1.4115547	0.44113964	2.098541	0.7066798	125	-6.198883e-08	586.1897	-0.16002862	-23.645569	155.47342	-0.04135559	0.72	4.0	103.34497427940369
5	47.8518	0.0	47.8518	47.8518	25.0	2.0635595	0.5328037	3.3616095	1.2123048	150	2.002716e-07	682.7604	-0.17022634	-30.481384	154.60423	-0.008999634	0.8	4.0	123.93025088310242
6	38.15527	0.0	38.15527	38.15527	25.0	2.156398	0.88676393	4.0489693	0.49216458	175	-2.0980835e-07	520.7761	-0.13560583	-25.08078	155.0024	0.040220335	0.4	2.0	144.44960045814514
7	42.267765	0.0	42.267765	42.267765	25.0	3.4871862	0.6835526	5.0123143	1.9317634	200	-1.1825562e-06	501.9728	-0.15722932	-33.482147	152.15846	-0.03826721	0.64	4.0	164.89068961143494
8	37.675106	0.0	37.675106	37.675106	25.0	4.1464863	0.86616176	5.686259	2.088627	225	1.1730194e-06	369.7083	-0.15013549	-29.440308	151.38939	-0.026843261	0.64	4.0	185.33756160736084
9	49.06872	0.0	49.06872	49.06872	25.0	5.83992	0.8812937	7.2975874	4.049755	250	-1.3065338e-06	790.39935	-0.14358436	-56.212402	152.20448	0.01748291	0.48	2.0	205.86330556869507
10	41.488346	0.0	41.488346	41.488346	25.0	6.5601516	0.90383947	8.258338	4.2692633	275	-1.5258789e-07	474.47946	-0.13474132	-45.977142	154.67685	0.026636353	0.36	2.0	226.33930349349976
11	43.56551	0.0	43.56551	43.56551	25.0	7.292988	1.0798278	8.942161	4.748367	300	1.0490418e-06	413.50363	-0.17236829	-38.39142	152.34834	-0.02645874	0.8	4.0	246.81005859375
12	42.90956	0.0	42.90956	42.90956	25.0	8.42384	1.1532291	11.021879	6.403071	325	-8.583069e-08	507.86444	-0.15628538	-45.704163	151.71712	-0.044346925	0.64	4.0	267.68473768234253
13	43.95312	0.0	43.95312	43.95312	25.0	9.494745	1.2627763	10.861586	5.4093733	350	-9.155273e-07	510.4296	-0.16663617	-45.52115	153.74261	-0.0041052247	0.76	4.0	288.80219435691833
14	42.882305	0.0	42.882305	42.882305	25.0	10.336411	1.4756438	12.173869	7.6133094	375	4.386902e-07	612.4866	-0.12935339	-50.92383	151.99036	0.024406739	0.28	2.0	309.65105080604553
15	37.714096	0.0	37.714096	37.714096	25.0	11.298101	1.4656426	13.245081	7.373191	400	4.7683717e-08	397.63745	-0.15370107	-37.33667	153.82407	-0.0065228273	0.68	4.0	330.7019798755646
16	40.606632	0.0	40.606632	40.606632	25.0	12.211834	1.503872	14.190579	7.921877	425	-4.2915346e-08	383.9192	-0.16060986	-33.907623	155.8714	-0.021224976	0.64	4.0	351.60301446914673
17	49.783234	0.0	49.783234	49.783234	25.0	13.443725	1.0326613	15.112816	10.670393	450	7.6293944e-08	673.8148	-0.16905491	-40.74176	153.40721	-0.0037145996	0.72	4.0	372.522828578949
18	41.848255	0.0	41.848255	41.848255	25.0	14.641504	0.93546224	15.907678	11.874227	475	1.2874604e-07	451.8866	-0.166603	-29.252625	155.91791	-0.011255493	0.8	4.0	393.3657052516937
19	45.78348	0.0	45.78348	45.78348	25.0	15.333706	0.8561966	16.491844	13.015877	500	-1.0728836e-06	581.91394	-0.1302851	-32.69519	151.75713	0.018060302	0.32	2.0	414.2627568244934
20	48.888897	0.0	48.888897	48.888897	25.0	16.28999	0.7041468	17.054277	14.152273	525	-9.536743e-09	651.9511	-0.1682773	-31.513672	157.61435	-0.05463745	0.8	4.0	435.1492784023285
21	40.76072	0.0	40.76072	40.76072	25.0	16.4975	0.8612255	17.622725	14.171225	550	-1.7166138e-07	453.63925	-0.15890764	-26.237518	153.68105	0.014224853	0.76	4.0	456.06012511253357
22	41.190502	0.0	41.190502	41.190502	25.0	17.086	0.92759335	18.205973	14.860103	575	0.0	466.8217	-0.15939043	-24.707153	154.57214	0.022907104	0.56	3.0	476.93346881866455
23	44.701202	0.0	44.701202	44.701202	25.0	17.886663	0.5559435	18.60619	16.318535	600	1.1062622e-06	483.1459	-0.15787959	-23.06134	155.29239	0.015343628	0.68	4.0	497.84605145454407
24	38.896446	0.0	38.896446	38.896446	25.0	18.353676	0.7724793	19.13799	15.910355	625	3.8146972e-08	361.63434	-0.1561076	-19.047241	152.3928	-0.0122631835	0.64	4.0	518.7072687149048
25	43.12807	0.0	43.12807	43.12807	25.0	19.101677	0.4418599	19.648756	17.99121	650	3.33786e-08	357.73843	-0.1563053	-15.534302	153.81671	-0.058030397	0.6	4.0	539.4886910915375
26	44.810925	0.0	44.810925	44.810925	25.0	19.640257	0.3809897	20.022415	18.700287	675	3.1471254e-07	457.79092	-0.16778344	-17.369202	153.95132	0.007470703	0.84	4.0	560.4783003330231
27	36.08064	0.0	36.08064	36.08064	25.0	19.802643	0.5763797	20.404903	18.570623	700	-2.479553e-07	315.82153	-0.15315056	-14.749512	155.36626	0.0034399414	0.56	4.0	581.4308676719666
28	39.056183	0.0	39.056183	39.056183	25.0	20.339968	0.6623802	20.90017	17.580389	725	8.583069e-08	398.55527	-0.12958486	-16.375183	154.08154	0.021102905	0.32	2.0	602.3207669258118
29	43.127636	0.0	43.127636	43.127636	25.0	20.887781	0.47183558	21.326977	19.381231	750	-9.536743e-09	411.3536	-0.15074208	-15.829224	153.21619	-0.021391602	0.56	4.0	623.139449596405
30	51.736378	0.0	51.736378	51.736378	25.0	21.530537	0.24438864	21.760284	20.785934	775	1.2397766e-06	661.19995	-0.17622194	-19.985535	155.32123	-0.029354248	0.84	4.0	644.0084562301636
31	44.11213	0.0	44.11213	44.11213	25.0	21.818737	0.33535254	22.179144	20.718014	800	-2.8610229e-08	515.6639	-0.12982373	-19.018463	156.78691	0.034001466	0.28	2.0	664.8825793266296
32	38.748966	0.0	38.748966	38.748966	25.0	22.00838	0.5282517	22.602926	20.549927	825	7.152558e-08	284.9215	-0.16510576	-12.786499	152.25523	-0.024351196	0.72	4.0	685.7663028240204
33	48.75851	0.0	48.75851	48.75851	25.0	22.812283	0.24628882	23.015417	21.872623	850	5.912781e-07	550.78314	-0.17044176	-17.169678	156.13266	-0.030889893	0.8	4.0	706.6332278251648
34	37.146236	0.0	37.146236	37.146236	25.0	23.118328	0.33951944	23.42549	21.88397	875	1.3828277e-07	250.52963	-0.16606833	-10.543457	155.90756	-0.02807312	0.8	4.0	727.507702589035
35	41.541203	0.0	41.541203	41.541203	25.0	23.53371	0.24598823	23.808311	22.88097	900	8.583069e-08	341.67996	-0.16793866	-11.685791	152.52228	-0.0761969	0.68	4.0	748.4025726318359
36	44.23194	0.0	44.23194	44.23194	25.0	23.874016	0.33554098	24.168604	22.775097	925	6.67572e-08	525.6227	-0.16785568	-16.869385	154.55829	0.0075823977	0.76	4.0	769.2347977161407
37	48.923126	0.0	48.923126	48.923126	25.0	24.324339	0.24378294	24.55296	23.572483	950	-2.002716e-07	558.42255	-0.16616946	-17.687683	154.63274	-0.045184325	0.8	4.0	790.1688241958618
38	39.064644	0.0	39.064644	39.064644	25.0	24.685013	0.26834884	24.942043	24.013084	975	-7.152558e-08	325.09924	-0.16404623	-12.630981	154.913	-0.0028045655	0.68	4.0	811.1448101997375
39	41.435932	0.0	41.435932	41.435932	25.0	25.059093	0.29227594	25.350765	24.244106	1000	-2.0503998e-07	288.54092	-0.15572071	-10.407654	157.82857	-0.054071654	0.6	4.0	832.0062894821167
40	42.271835	0.0	42.271835	42.271835	25.0	25.51825	0.20818527	25.704859	24.928019	1025	-3.8146972e-08	453.5449	-0.16549991	-14.285156	153.56573	0.000100708006	0.68	4.0	853.8196682929993
