Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	8.307645	0.0	8.307645	8.307645	25.0	25	0.22329824	0.20938149	0.76301134	-0.4358089	-0.13243626	0.11818341	19.428855895996094
2	8.816844	0.0	8.816844	8.816844	25.0	50	0.31606987	0.1867309	1.0359986	-0.14881149	-0.3274554	0.048683308	37.69393587112427
3	7.0767193	0.0	7.0767193	7.0767193	25.0	75	0.34664282	0.21550469	1.115664	0.035258945	-0.5946739	0.027891045	55.92085313796997
4	9.77253	0.0	9.77253	9.77253	25.0	100	0.39471555	0.22002389	1.2062149	0.04115524	-1.0074302	0.031047935	74.94487810134888
5	5.764429	0.0	5.764429	5.764429	25.0	125	0.41814867	0.26099008	1.3609941	-0.08673516	-0.4589711	0.045853823	93.20429873466492
6	5.701847	0.0	5.701847	5.701847	25.0	150	0.44250074	0.25761184	1.4863607	-0.009846268	-0.48065817	0.033232257	111.44979238510132
7	8.351338	0.0	8.351338	8.351338	25.0	175	0.48106208	0.2648114	1.5972388	0.046885338	-0.6077995	0.03837287	129.50981211662292
8	7.1012635	0.0	7.1012635	7.1012635	25.0	200	0.5349621	0.26664507	1.7297815	0.065684415	-0.61176103	0.039674383	147.6207344532013
9	10.6377945	0.0	10.6377945	10.6377945	25.0	225	0.60979444	0.27000096	1.8288779	0.11639272	-0.73621374	0.04731146	165.7200689315796
10	11.023461	0.0	11.023461	11.023461	25.0	250	0.67795044	0.28544584	1.9052138	0.13987592	-0.8844217	0.051391345	184.50845384597778
11	5.441281	0.0	5.441281	5.441281	25.0	275	0.7133342	0.27388355	1.9819165	0.19125375	-0.77692795	0.052475516	202.69545125961304
12	8.421682	0.0	8.421682	8.421682	25.0	300	0.77241325	0.2785426	2.039382	0.22492452	-0.80990183	0.051480655	220.76267766952515
13	8.053043	0.0	8.053043	8.053043	25.0	325	0.82845366	0.28419772	2.1177351	0.29103914	-0.9097302	0.0526488	238.84459614753723
14	11.207519	0.0	11.207519	11.207519	25.0	350	0.8760581	0.28385293	2.1780899	0.33938617	-1.1953255	0.05787732	257.44344186782837
15	10.542693	0.0	10.542693	10.542693	25.0	375	0.93923694	0.27415842	2.295896	0.38343394	-1.1093632	0.055206046	276.1090500354767
16	1.036206	0.0	1.036206	1.036206	25.0	400	0.9874061	0.28170788	2.3997643	0.41937724	-1.1770835	0.05433854	294.1369640827179
17	5.0839167	0.0	5.0839167	5.0839167	25.0	425	1.0489879	0.2787823	2.5029595	0.4950801	-1.2391375	0.055811916	312.6197159290314
18	6.6534553	0.0	6.6534553	6.6534553	25.0	450	1.1369084	0.2775377	2.6321714	0.5489297	-1.1811647	0.053826917	331.04897117614746
19	3.367162	0.0	3.367162	3.367162	25.0	475	1.2198105	0.276742	2.679272	0.6854774	-1.3109938	0.058897268	349.3498377799988
