Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	5.7982144	0.0	5.7982144	5.7982144	25.0	25	0.19436295	0.31495062	0.97838426	-1.2066559	-0.25837	0.06920909	19.442275285720825
2	4.494281	0.0	4.494281	4.494281	25.0	50	0.24101608	0.21425128	0.9485302	-0.44721094	-1.7058417	0.016035248	37.66808271408081
3	7.704965	0.0	7.704965	7.704965	25.0	75	0.34002462	0.23949906	1.3601214	-0.39157942	-4.4272194	0.02242921	55.8074631690979
4	11.007831	0.0	11.007831	11.007831	25.0	100	0.66846585	0.37397876	2.1980023	-0.060407296	-5.7256	0.036990855	74.66312193870544
5	19.935509	0.0	19.935509	19.935509	25.0	125	1.2899153	0.95048195	6.349013	0.22120081	-2.2782583	0.5477207	92.84651756286621
6	23.520575	0.0	23.520575	23.520575	25.0	150	1.9072093	0.8278253	3.2744842	0.609802	-3.199291	0.05831573	110.88344597816467
7	23.520575	0.0	23.520575	23.520575	25.0	175	2.492438	0.89861375	3.799425	0.98751575	-3.7295518	0.05664341	128.94198203086853
8	23.520575	0.0	23.520575	23.520575	25.0	200	2.8951607	0.84183484	3.9292097	1.3512194	-3.833121	0.031735662	146.9010238647461
9	23.520575	0.0	23.520575	23.520575	25.0	225	3.2021682	0.7415229	3.9662683	1.7556676	-3.903764	0.02084238	164.8367214202881
10	23.520575	0.0	23.520575	23.520575	25.0	250	3.369716	0.651136	4.037504	2.018614	-4.0057106	0.013147626	183.49200963974
11	23.520575	0.0	23.520575	23.520575	25.0	275	3.5229769	0.5934753	4.1495237	2.2349494	-4.0675864	0.009802426	201.42181134223938
12	23.520575	0.0	23.520575	23.520575	25.0	300	3.6923168	0.54803455	4.2230854	2.4139442	-4.2191267	0.006564006	219.2723171710968
13	23.520575	0.0	23.520575	23.520575	25.0	325	3.857829	0.49051127	4.347844	2.6338687	-4.280483	0.006024442	237.23902344703674
14	23.520575	0.0	23.520575	23.520575	25.0	350	3.9797506	0.4598235	4.4421287	2.8338068	-4.687032	0.005134676	255.64175391197205
15	23.520575	0.0	23.520575	23.520575	25.0	375	4.1048717	0.42581072	4.904331	2.9868395	-4.6810765	0.007112931	273.849632024765
16	23.520575	0.0	23.520575	23.520575	25.0	400	4.189894	0.40564737	4.6682243	3.1380281	-4.68203	0.004163826	291.7888300418854
