Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	1.4759445	0.0	1.4759445	1.4759445	25.0	25	0.041477967	0.12784757	0.31118447	-0.4376538	-0.062168296	0.017725484	19.4496808052063
2	0.49570915	0.0	0.49570915	0.49570915	25.0	50	0.044888068	0.08174123	0.37037647	-0.21210521	-0.17760138	0.004968429	37.55550146102905
3	0.97578895	0.0	0.97578895	0.97578895	25.0	75	0.061950278	0.0732572	0.40004233	-0.11463775	-0.36665353	0.0029004798	56.634124517440796
4	0.4872497	0.0	0.4872497	0.4872497	25.0	100	0.08342049	0.06462168	0.41733867	-0.056568075	-0.44717765	0.0026709158	74.75430798530579
5	0.97750264	0.0	0.97750264	0.97750264	25.0	125	0.120611675	0.08133637	0.47162536	-0.050348837	-0.17407018	0.0055548926	92.86574721336365
6	0.3840233	0.0	0.3840233	0.3840233	25.0	150	0.1484129	0.05528749	0.50707597	0.038319882	-0.17291786	0.0024414833	110.99338030815125
7	0.34488958	0.0	0.34488958	0.34488958	25.0	175	0.189928	0.050340455	0.55654866	0.085406765	-0.24179786	0.0024779877	129.38395309448242
8	0.58352363	0.0	0.58352363	0.58352363	25.0	200	0.21673857	0.0500904	0.61818343	0.13419324	-0.24237579	0.0021813696	147.45193481445312
9	0.049198616	0.0	0.049198616	0.049198616	25.0	225	0.23495926	0.052531347	0.65280247	0.15077758	-0.2447676	0.002558847	165.4819974899292
10	0.90818876	0.0	0.90818876	0.90818876	25.0	250	0.2519032	0.048512325	0.6711922	0.17479631	-0.30189368	0.0022790658	183.86411690711975
11	0.5665353	0.0	0.5665353	0.5665353	25.0	275	0.26473278	0.04891065	0.6853886	0.16736618	-0.29468206	0.0024925831	201.898455619812
12	1.512635	0.0	1.512635	1.512635	25.0	300	0.28053007	0.041445382	0.6956198	0.20944764	-0.32064447	0.003287674	219.91274571418762
13	0.6154127	0.0	0.6154127	0.6154127	25.0	325	0.29052582	0.037256096	0.7049404	0.22930619	-0.33013177	0.003104993	237.96018385887146
14	0.51949733	0.0	0.51949733	0.51949733	25.0	350	0.2996446	0.043007564	0.71584404	0.23518266	-0.3764757	0.0031566788	255.98438954353333
15	1.1532905	0.0	1.1532905	1.1532905	25.0	375	0.29974717	0.048693977	0.7341254	0.22494256	-0.4146644	0.00343409	274.0702152252197
16	0.45146245	0.0	0.45146245	0.45146245	25.0	400	0.30022597	0.043117855	0.71786904	0.21139447	-0.4809828	0.0039714146	292.0589973926544
17	1.6047122	0.0	1.6047122	1.6047122	25.0	425	0.33023545	0.053468995	0.75704634	0.20500311	-0.4220738	0.005356465	310.1292417049408
18	0.0	0.0	0.0	0.0	25.0	450	0.3554358	0.037083868	0.78341216	0.25456235	-0.380562	0.0045064096	328.2341539859772
