Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	4.289945	0.0	4.289945	4.289945	25.0	25	0.14579421	0.26245236	0.95166576	-0.9288428	-0.25584635	0.047138315	19.43816113471985
2	4.0415487	0.0	4.0415487	4.0415487	25.0	50	0.20026134	0.19537036	0.89118195	-0.51065546	-1.9548268	0.020930715	37.62029480934143
3	2.2355812	0.0	2.2355812	2.2355812	25.0	75	0.25138205	0.16909035	1.0692257	-0.40239587	-5.7147517	0.009261092	55.88392210006714
4	7.6349864	0.0	7.6349864	7.6349864	25.0	100	0.5450281	0.24776283	1.6971153	0.015327102	-8.026809	0.024954729	74.08810448646545
5	18.576658	0.0	18.576658	18.576658	25.0	125	1.1320403	1.1042147	8.6240835	-0.20314306	-2.353328	1.0047729	92.15500068664551
6	3.8779705	0.0	3.8779705	3.8779705	25.0	150	1.5825341	0.56786275	3.410205	0.70584935	-2.199407	0.32012692	110.33732342720032
7	4.9955897	0.0	4.9955897	4.9955897	25.0	175	1.9925958	0.4519808	4.315344	1.2110374	-2.699575	0.18227482	128.5058605670929
8	1.6360261	0.0	1.6360261	1.6360261	25.0	200	2.217044	0.46206185	4.3784385	1.4932777	-2.8124192	0.17245989	146.70842456817627
9	0.5831891	0.0	0.5831891	0.5831891	25.0	225	2.3401492	0.45901662	4.3380604	1.6706125	-2.7816458	0.105985306	164.88143825531006
10	0.2184248	0.0	0.2184248	0.2184248	25.0	250	2.4152246	0.4194057	4.1072903	1.7290846	-2.822014	0.08185128	183.38206934928894
11	0.88141334	0.0	0.88141334	0.88141334	25.0	275	2.4923759	0.35973945	3.9163458	1.8924316	-2.9285307	0.060273968	201.60479712486267
12	0.75645983	0.0	0.75645983	0.75645983	25.0	300	2.5481987	0.30947492	3.7622921	2.1074934	-3.0377088	0.041162282	219.63073229789734
13	0.32242414	0.0	0.32242414	0.32242414	25.0	325	2.6001697	0.28127083	3.7862628	2.0484118	-2.8194442	0.034478836	237.6837601661682
14	0.88152766	0.0	0.88152766	0.88152766	25.0	350	2.6062768	0.24372576	3.7027686	2.2525916	-2.7867646	0.023256913	255.8267114162445
15	0.41008523	0.0	0.41008523	0.41008523	25.0	375	2.680987	0.26186123	3.6705976	2.3168092	-3.0915484	0.020718215	273.9045875072479
16	0.60729986	0.0	0.60729986	0.60729986	25.0	400	2.7332053	0.23993275	3.6892595	2.3957515	-3.3122373	0.023141649	291.9394941329956
17	0.2431309	0.0	0.2431309	0.2431309	25.0	425	2.7974887	0.23608679	3.662693	2.4252603	-3.4792068	0.025659317	310.06684279441833
18	2.8216515	0.0	2.8216515	2.8216515	25.0	450	2.8742492	0.22529256	3.7135043	2.47357	-3.6171703	0.026502322	328.10684752464294
19	2.7408574	0.0	2.7408574	2.7408574	25.0	475	2.9910662	0.2109938	3.868044	2.6798851	-3.5808485	0.022705734	346.2132830619812
20	1.8047141	0.0	1.8047141	1.8047141	25.0	500	3.1461425	0.21503845	4.094809	2.8209188	-3.617483	0.018144678	364.7616980075836
21	12.751388	0.0	12.751388	12.751388	25.0	525	3.3424497	0.23557782	4.3023295	3.030312	-4.279515	0.024158308	382.761821269989
22	4.286084	0.0	4.286084	4.286084	25.0	550	3.5205646	0.23587707	4.530353	3.187098	-4.113522	0.03101481	400.82333302497864
23	1.1651093	0.0	1.1651093	1.1651093	25.0	575	3.6759048	0.2280847	4.677427	3.2807958	-4.217703	0.021235561	418.96941661834717
24	0.645504	0.0	0.645504	0.645504	25.0	600	3.8205132	0.2427221	4.8802147	3.391165	-4.0815306	0.030715277	437.00353240966797
25	8.0167265	0.0	8.0167265	8.0167265	25.0	625	3.9606724	0.23705614	5.007385	3.6591191	-4.6954355	0.024528563	455.0425021648407
26	1.4727505	0.0	1.4727505	1.4727505	25.0	650	4.0739565	0.23760064	5.068675	3.6627514	-4.4119344	0.03095911	473.3135075569153
27	2.6854918	0.0	2.6854918	2.6854918	25.0	675	4.1819277	0.23674229	5.2471714	3.9020636	-4.4870157	0.02272027	491.6625075340271
28	2.5177336	0.0	2.5177336	2.5177336	25.0	700	4.2649703	0.22830972	5.328277	3.979809	-4.6576877	0.021706706	509.73740911483765
29	1.230981	0.0	1.230981	1.230981	25.0	725	4.3480983	0.2302314	5.401826	4.000663	-4.658143	0.024330048	527.8920767307281
30	6.915852	0.0	6.915852	6.915852	25.0	750	4.4157176	0.2213179	5.4827714	4.094814	-4.821184	0.024923094	546.2573165893555
31	1.8715872	0.0	1.8715872	1.8715872	25.0	775	4.5075793	0.25145307	5.6301465	4.130556	-4.931128	0.02676664	564.3075416088104
