Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	1.8923986	0.0	1.8923986	1.8923986	25.0	25	0.04581728	0.23337479	0.47582698	-1.1343701	-0.2153796	0.04973178	20.743717908859253
2	2.8522742	0.0	2.8522742	2.8522742	25.0	50	0.12281591	0.14878702	1.03093	-0.3960192	-1.4953601	0.016994856	39.87717962265015
3	4.6153584	0.0	4.6153584	4.6153584	25.0	75	0.22179917	0.15835306	0.8384546	-0.617785	-5.0945854	0.014792584	59.423027992248535
4	2.1408434	0.0	2.1408434	2.1408434	25.0	100	0.41413268	0.18788025	1.2709479	-0.22088127	-6.8830633	0.00996349	78.49571466445923
5	0.44512266	0.0	0.44512266	0.44512266	25.0	125	0.843732	0.96519643	7.2004232	-0.8430045	-1.3363098	0.959021	97.65734601020813
6	0.65770835	0.0	0.65770835	0.65770835	25.0	150	1.0390552	0.2389728	2.1014993	0.5266022	-1.1178501	0.025586152	116.70085644721985
7	0.029202685	0.0	0.029202685	0.029202685	25.0	175	1.2207357	0.18904261	2.2778327	0.9036927	-1.2767979	0.0032689166	135.79784655570984
8	0.47923923	0.0	0.47923923	0.47923923	25.0	200	1.1963801	0.177314	2.2776437	1.007661	-1.2495544	0.0025147686	155.28469824790955
9	0.38378122	0.0	0.38378122	0.38378122	25.0	225	1.0975741	0.15303935	2.083585	0.9276699	-1.1998883	0.002899878	174.72718501091003
10	0.35583746	0.0	0.35583746	0.35583746	25.0	250	1.0324336	0.13944955	1.8552384	0.88483423	-1.1442578	0.0032365527	194.5455024242401
11	0.0	0.0	0.0	0.0	25.0	275	0.9639714	0.12624554	1.713428	0.8353553	-1.0842282	0.0022778874	213.92808294296265
12	0.12360122	0.0	0.12360122	0.12360122	25.0	300	0.8904065	0.12543042	1.5866921	0.764407	-1.0041789	0.002896247	233.23753881454468
13	1.1617692	0.0	1.1617692	1.1617692	25.0	325	0.85784304	0.110499494	1.4566877	0.7412678	-1.0132506	0.0026001814	252.46292066574097
14	0.19010027	0.0	0.19010027	0.19010027	25.0	350	0.841143	0.1063938	1.3988664	0.72050375	-1.0564303	0.004444732	271.7599263191223
15	0.24606709	0.0	0.24606709	0.24606709	25.0	375	0.8326809	0.099865854	1.3961909	0.73606414	-0.90675807	0.0023280776	291.0052492618561
16	0.21214713	0.0	0.21214713	0.21214713	25.0	400	0.83893657	0.09305854	1.3780575	0.7496313	-0.9136028	0.0017907307	310.19905972480774
17	0.8062559	0.0	0.8062559	0.8062559	25.0	425	0.86041903	0.09140282	1.4101545	0.7710498	-1.0274011	0.001873276	329.3775408267975
18	0.37197006	0.0	0.37197006	0.37197006	25.0	450	0.9121173	0.090738505	1.4671211	0.8045605	-1.1765078	0.0026039798	348.3834750652313
19	0.53606665	0.0	0.53606665	0.53606665	25.0	475	0.9650584	0.09893453	1.5131726	0.8285812	-1.297625	0.0042105587	367.6326868534088
20	0.13858396	0.0	0.13858396	0.13858396	25.0	500	1.0150537	0.09358493	1.5410744	0.8169963	-1.3318226	0.004570126	387.2080340385437
21	1.0043558	0.0	1.0043558	1.0043558	25.0	525	1.0772276	0.09829056	1.7374659	0.79244256	-1.3895112	0.0063264845	406.646856546402
22	0.48336273	0.0	0.48336273	0.48336273	25.0	550	1.1703111	0.08675026	1.7345004	0.9729085	-1.7892963	0.0041358415	426.049635887146
23	1.9653273	0.0	1.9653273	1.9653273	25.0	575	1.2937618	0.112061426	2.252208	0.9351418	-1.648503	0.009555563	445.45086884498596
24	0.29593736	0.0	0.29593736	0.29593736	25.0	600	1.4167633	0.0887893	1.9967782	1.1696916	-1.6358734	0.005925538	464.9048993587494
25	0.21746106	0.0	0.21746106	0.21746106	25.0	625	1.4942816	0.08794694	2.077526	1.2263864	-1.883224	0.005612936	484.31670808792114
26	0.4477321	0.0	0.4477321	0.4477321	25.0	650	1.5704633	0.09675512	2.1865327	1.2754545	-1.8276237	0.0066305315	503.8838155269623
27	0.21358421	0.0	0.21358421	0.21358421	25.0	675	1.6653473	0.081887215	2.2233493	1.4913893	-1.8225764	0.003924414	523.5953233242035
28	0.08114087	0.0	0.08114087	0.08114087	25.0	700	1.8318126	0.088753894	2.4902127	1.6027353	-2.0458255	0.0034952774	543.026305437088
29	0.2280364	0.0	0.2280364	0.2280364	25.0	725	2.0075912	0.085763186	2.5994925	1.8094522	-2.2389743	0.004508787	562.7991683483124
