Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.1544198	0.0	0.1544198	0.1544198	25.0	25	0.006882346	0.059428237	0.24305809	-0.38942504	-0.027815403	0.0030921854	21.87455105781555
2	0.5730158	0.0	0.5730158	0.5730158	25.0	50	0.017244762	0.057642277	0.34474486	-0.27123836	-0.100167505	0.0027293582	41.92301082611084
3	0.99999654	0.0	0.99999654	0.99999654	25.0	75	0.03533719	0.050629348	0.23326069	-0.10483868	-0.20957844	0.0029399565	61.8911669254303
4	0.48848414	0.0	0.48848414	0.48848414	25.0	100	0.051369734	0.05087678	0.30748612	-0.10479389	-0.27389345	0.0013222407	81.85678339004517
5	0.42615807	0.0	0.42615807	0.42615807	25.0	125	0.070810534	0.06894044	0.36772156	-0.080144	-0.096810095	0.003411078	101.94680166244507
6	0.069077976	0.0	0.069077976	0.069077976	25.0	150	0.081807576	0.045204226	0.3436226	-0.021495368	-0.13179308	0.0012659936	121.86186003684998
7	0.124848835	0.0	0.124848835	0.124848835	25.0	175	0.095344335	0.042025752	0.36753237	0.010929994	-0.13506112	0.00083234237	141.86548614501953
8	0.6248536	0.0	0.6248536	0.6248536	25.0	200	0.10348729	0.03959159	0.38433287	0.027123448	-0.17642035	0.0011088119	161.9147174358368
9	0.030317407	0.0	0.030317407	0.030317407	25.0	225	0.11840221	0.04793248	0.39252907	0.02928405	-0.1485902	0.0017865126	181.86381101608276
10	0.09086494	0.0	0.09086494	0.09086494	25.0	250	0.1269025	0.03624522	0.39053345	0.05775153	-0.1581586	0.0011092587	202.33139562606812
11	0.55195916	0.0	0.55195916	0.55195916	25.0	275	0.14243734	0.037757386	0.38857856	0.06488678	-0.22009584	0.0011387017	222.58120155334473
12	0.28519782	0.0	0.28519782	0.28519782	25.0	300	0.15644	0.040341284	0.44513065	0.07474545	-0.17141065	0.0009867166	242.72004008293152
13	0.16608416	0.0	0.16608416	0.16608416	25.0	325	0.17756341	0.03273035	0.45856896	0.113922074	-0.2021332	0.0011316091	262.7004497051239
14	0.16833411	0.0	0.16833411	0.16833411	25.0	350	0.19288166	0.039846517	0.4797795	0.1385556	-0.1915666	0.0009097161	282.77877855300903
15	0.8065251	0.0	0.8065251	0.8065251	25.0	375	0.2006736	0.033767838	0.49601516	0.14975297	-0.20701523	0.0009495454	302.8922791481018
16	0.16637479	0.0	0.16637479	0.16637479	25.0	400	0.20880544	0.030823989	0.5011028	0.15528516	-0.21877472	0.001101553	323.04249358177185
17	0.33623254	0.0	0.33623254	0.33623254	25.0	425	0.21986449	0.033380143	0.5026972	0.15545201	-0.22818832	0.0012161991	343.1721079349518
18	0.0	0.0	0.0	0.0	25.0	450	0.22178778	0.02975476	0.5112805	0.17943782	-0.23031335	0.00082056166	363.3518102169037
19	0.37027022	0.0	0.37027022	0.37027022	25.0	475	0.23179032	0.037478995	0.5229091	0.17058674	-0.24072963	0.0013482969	383.53167486190796
20	0.64863575	0.0	0.64863575	0.64863575	25.0	500	0.23246464	0.0324281	0.5202818	0.17989783	-0.26104155	0.0010523229	404.19278359413147
21	0.46700203	0.0	0.46700203	0.46700203	25.0	525	0.23923697	0.027070897	0.5236005	0.1922481	-0.27556968	0.0016429297	424.61016273498535
22	0.20358062	0.0	0.20358062	0.20358062	25.0	550	0.24643391	0.028415421	0.5231948	0.19407696	-0.28488874	0.0014724773	444.733775138855
23	0.11188241	0.0	0.11188241	0.11188241	25.0	575	0.25251725	0.028492732	0.5366827	0.18777566	-0.288885	0.0017342737	464.9186899662018
24	0.5194918	0.0	0.5194918	0.5194918	25.0	600	0.26073128	0.029790642	0.54322034	0.2123898	-0.28706983	0.0021092952	485.05947732925415
25	0.9493478	0.0	0.9493478	0.9493478	25.0	625	0.26683557	0.030898215	0.5507335	0.21045245	-0.3029276	0.0020075783	505.38785886764526
26	1.2601395	0.0	1.2601395	1.2601395	25.0	650	0.27484092	0.027909854	0.5672373	0.22084752	-0.41212514	0.0016654857	525.6558771133423
27	0.20552796	0.0	0.20552796	0.20552796	25.0	675	0.2793692	0.03639092	0.549123	0.18626286	-0.29834893	0.0023781124	545.8973622322083
28	0.9584291	0.0	0.9584291	0.9584291	25.0	700	0.2894413	0.028307479	0.56336725	0.2110815	-0.32003716	0.0021173079	566.2586829662323
29	0.6586273	0.0	0.6586273	0.6586273	25.0	725	0.29154876	0.02856545	0.5655912	0.23240548	-0.3188517	0.0022960452	586.5008010864258
30	0.92638093	0.0	0.92638093	0.92638093	25.0	750	0.3021596	0.029354265	0.5800597	0.22943395	-0.33184138	0.0023204037	607.3613359928131
31	0.17734016	0.0	0.17734016	0.17734016	25.0	775	0.32977235	0.028264716	0.6031734	0.26809335	-0.3550194	0.0027660253	627.9242858886719
32	0.22239979	0.0	0.22239979	0.22239979	25.0	800	0.35271308	0.027287679	0.60716355	0.29050288	-0.3570794	0.0024918495	648.1004061698914
33	0.38140282	0.0	0.38140282	0.38140282	25.0	825	0.36476883	0.02930586	0.62616277	0.30375847	-0.37687933	0.0023617486	668.2365067005157
34	0.50298613	0.0	0.50298613	0.50298613	25.0	850	0.3662981	0.028501833	0.6401896	0.3095809	-0.37438244	0.0020686863	688.4446632862091
35	0.31857935	0.0	0.31857935	0.31857935	25.0	875	0.36511436	0.026559647	0.6331807	0.30844373	-0.3715	0.002261297	708.750424861908
36	0.058363825	0.0	0.058363825	0.058363825	25.0	900	0.3648169	0.028391954	0.6357251	0.3130849	-0.36993912	0.0019901078	728.9589412212372
37	0.0	0.0	0.0	0.0	25.0	925	0.36948985	0.030206984	0.6469006	0.3105807	-0.37660453	0.002363673	749.1009187698364
38	0.29641283	0.0	0.29641283	0.29641283	25.0	950	0.37546718	0.030953383	0.6624145	0.31739396	-0.3841783	0.0027993133	769.3700075149536
39	0.19902927	0.0	0.19902927	0.19902927	25.0	975	0.37525123	0.027678676	0.67031944	0.31937736	-0.40835965	0.0022623371	789.6031849384308
40	0.47620192	0.0	0.47620192	0.47620192	25.0	1000	0.38324586	0.02747235	0.66670203	0.31087705	-0.38567185	0.0025307485	810.4654021263123
41	0.7112408	0.0	0.7112408	0.7112408	25.0	1025	0.3844201	0.03136308	0.6671306	0.3200841	-0.38525105	0.0024232839	831.0150876045227
42	0.0	0.0	0.0	0.0	25.0	1050	0.389468	0.02954041	0.6631777	0.3250449	-0.4047718	0.002723238	851.1693634986877
43	0.25962663	0.0	0.25962663	0.25962663	25.0	1075	0.3931629	0.028902242	0.7031944	0.3324852	-0.39598033	0.002071269	871.3870098590851
44	0.0	0.0	0.0	0.0	25.0	1100	0.40031648	0.02828299	0.6979043	0.3463789	-0.4026405	0.0022186236	891.6258375644684
45	0.0	0.0	0.0	0.0	25.0	1125	0.40600547	0.028499208	0.68452066	0.3445402	-0.4105581	0.0023593225	911.8827192783356
46	0.38019234	0.0	0.38019234	0.38019234	25.0	1150	0.40377578	0.025757326	0.6986427	0.34252763	-0.4865422	0.0019221323	932.1059429645538
47	0.0	0.0	0.0	0.0	25.0	1175	0.39938232	0.032112602	0.66238564	0.2853486	-0.40052044	0.0028258183	952.374655008316
48	0.78753865	0.0	0.78753865	0.78753865	25.0	1200	0.40670317	0.032970965	0.70829004	0.3115635	-0.46584105	0.0026664843	972.6103401184082
49	0.34184128	0.0	0.34184128	0.34184128	25.0	1225	0.41067514	0.028706908	0.687315	0.3027547	-0.49606887	0.0026023663	992.8793172836304
50	0.06897545	0.0	0.06897545	0.06897545	25.0	1250	0.42659423	0.031235503	0.7622516	0.30361563	-0.46370986	0.0023135259	1013.8438382148743
51	0.3268549	0.0	0.3268549	0.3268549	25.0	1275	0.46324813	0.02813167	0.76220596	0.362157	-0.4684787	0.0021661697	1034.6617765426636
52	0.57681704	0.0	0.57681704	0.57681704	25.0	1300	0.49664074	0.02838656	0.81817144	0.41245717	-0.62108046	0.0020976388	1054.9313383102417
