Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	2.735279	0.0	2.735279	2.735279	25.0	25	0.09952232	0.13065699	0.6014409	-0.30077246	-0.06425865	0.02445397	22.624982118606567
2	15.254638	0.0	15.254638	15.254638	25.0	50	0.31829956	0.19556382	0.87096184	-0.17891063	-0.2817825	0.112920456	40.736040353775024
3	11.16661	0.0	11.16661	11.16661	25.0	75	0.4096602	0.26089704	1.2014799	-0.009327631	-0.8346505	0.046747785	58.846359968185425
4	12.016819	0.0	12.016819	12.016819	25.0	100	0.4602955	0.2819226	1.1832623	-0.042205017	-1.3321973	0.048498873	77.07648754119873
5	22.062988	0.0	22.062988	22.062988	25.0	125	0.6799022	0.3715665	1.5799663	-0.12090837	-1.1230944	0.038988315	95.12109661102295
6	22.062988	0.0	22.062988	22.062988	25.0	150	0.83979005	0.4156304	1.4763236	-0.018992621	-1.3336807	0.02107267	113.23473238945007
7	14.228797	0.0	14.228797	14.228797	25.0	175	0.9511776	0.4321986	1.6714876	0.106212996	-1.1217748	0.033098426	131.3084635734558
8	7.6707706	0.0	7.6707706	7.6707706	25.0	200	1.0523484	0.45713845	1.825297	0.13671154	-1.1370753	0.03171787	149.51390528678894
9	3.5561128	0.0	3.5561128	3.5561128	25.0	225	1.0972126	0.4742411	1.9788678	0.29206443	-1.1266646	0.033199154	167.6646490097046
10	2.0696611	0.0	2.0696611	2.0696611	25.0	250	1.1454425	0.50545865	2.0819323	0.35961482	-1.143627	0.025430903	186.15699124336243
11	10.973025	0.0	10.973025	10.973025	25.0	275	1.2083058	0.49248666	2.2073896	0.43105975	-1.3103076	0.039190117	204.48813939094543
12	8.515876	0.0	8.515876	8.515876	25.0	300	1.2491062	0.5063445	2.4408998	0.44880685	-1.2818024	0.04465612	222.64459371566772
13	9.397561	0.0	9.397561	9.397561	25.0	325	1.3418665	0.5104899	2.3170366	0.5229658	-1.403503	0.04485539	240.9999177455902
14	10.009986	0.0	10.009986	10.009986	25.0	350	1.3619672	0.49494416	2.3901238	0.6013824	-1.4759266	0.046493612	259.2122874259949
15	8.322089	0.0	8.322089	8.322089	25.0	375	1.3849738	0.49922305	2.4853947	0.62607986	-1.4542177	0.04638595	277.36533975601196
16	11.54657	0.0	11.54657	11.54657	25.0	400	1.4533005	0.5043224	2.5367038	0.71424425	-1.5287559	0.053752147	295.5343165397644
17	13.901917	0.0	13.901917	13.901917	25.0	425	1.4760607	0.49910143	2.633149	0.76565623	-1.541032	0.0611435	313.6735107898712
18	14.80731	0.0	14.80731	14.80731	25.0	450	1.5632813	0.51562726	2.758388	0.81890476	-1.609933	0.06393771	331.92376804351807
19	5.999763	0.0	5.999763	5.999763	25.0	475	1.624249	0.54454446	2.8366807	0.82998395	-1.9128318	0.06918065	350.14456582069397
20	11.702282	0.0	11.702282	11.702282	25.0	500	1.665638	0.55190766	3.0418906	0.84650457	-2.01629	0.08376435	368.67515325546265
21	11.369509	0.0	11.369509	11.369509	25.0	525	1.7317184	0.55241984	3.0903978	0.9167659	-1.8796827	0.09085474	386.9459619522095
22	4.4438453	0.0	4.4438453	4.4438453	25.0	550	1.7658151	0.5654707	3.2813928	0.8912568	-1.8070427	0.08869463	405.1251573562622
23	6.7585106	0.0	6.7585106	6.7585106	25.0	575	1.8202939	0.5573297	3.252437	0.9548929	-2.1004624	0.09899084	423.5176293849945
24	23.289501	0.0	23.289501	23.289501	25.0	600	1.9335053	0.55750775	3.5496361	1.0365463	-2.1097116	0.09019817	441.6847789287567
25	23.289501	0.0	23.289501	23.289501	25.0	625	2.0725226	0.57316506	3.549105	1.1713068	-2.270716	0.07595461	459.8551881313324
26	23.289501	0.0	23.289501	23.289501	25.0	650	2.1826124	0.5638615	3.5776148	1.2298986	-2.3884597	0.08751321	477.8982274532318
27	23.289501	0.0	23.289501	23.289501	25.0	675	2.2397447	0.607954	3.7177877	1.3207244	-2.5036988	0.078387536	495.9375636577606
28	23.289501	0.0	23.289501	23.289501	25.0	700	2.4396203	0.6322603	3.8047435	1.3520823	-2.6984808	0.082335785	514.019647359848
29	23.289501	0.0	23.289501	23.289501	25.0	725	2.5205407	0.6480419	3.9119682	1.4338387	-2.8078408	0.08131607	532.137729883194
30	23.289501	0.0	23.289501	23.289501	25.0	750	2.6128461	0.65741384	4.014131	1.5419619	-2.893451	0.06915602	550.8042120933533
31	23.289501	0.0	23.289501	23.289501	25.0	775	2.7506187	0.68717605	4.119331	1.6518706	-3.0463068	0.06436722	568.8517525196075
32	23.289501	0.0	23.289501	23.289501	25.0	800	2.852542	0.68294454	4.3462124	1.7459291	-3.1256788	0.06768876	587.9839403629303
33	23.289501	0.0	23.289501	23.289501	25.0	825	2.973004	0.70223004	4.3766956	1.658791	-3.2856238	0.0738918	606.8323850631714
34	23.289501	0.0	23.289501	23.289501	25.0	850	3.1220856	0.7048314	4.567276	1.9305648	-3.4340231	0.06185518	625.1151344776154
35	23.289501	0.0	23.289501	23.289501	25.0	875	3.2694924	0.7231754	4.657427	2.0235934	-3.6028965	0.051936917	643.2147083282471
