Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	2.1451788	0.0	2.1451788	2.1451788	25.0	25	0.07991142	0.18981619	0.58241343	-0.99741334	-0.19786541	0.027367081	20.589865684509277
2	11.486898	0.0	11.486898	11.486898	25.0	50	0.28965735	0.3098777	1.2450937	-0.2912028	-1.8097427	0.032650545	39.63151025772095
3	5.5031743	0.0	5.5031743	5.5031743	25.0	75	0.3821141	0.2975432	1.4256957	-0.14676423	-5.18165	0.01183648	58.57569670677185
4	9.93276	0.0	9.93276	9.93276	25.0	100	0.68727326	0.3886527	2.1134067	-0.0024262778	-7.414287	0.027914431	77.67253041267395
5	18.904388	0.0	18.904388	18.904388	25.0	125	1.3122479	1.009164	8.059236	0.24420586	-2.5128105	0.7443397	96.74187445640564
6	24.16421	0.0	24.16421	24.16421	25.0	150	1.8490098	0.65757906	3.4383507	0.766016	-2.670833	0.056792207	115.71306228637695
7	24.16421	0.0	24.16421	24.16421	25.0	175	2.2297866	0.66762376	3.5315332	1.1291717	-3.0978644	0.03649808	134.52402210235596
8	24.16421	0.0	24.16421	24.16421	25.0	200	2.4614441	0.63767594	3.5768185	1.3636519	-3.3407743	0.024990842	153.47390961647034
9	8.665411	0.0	8.665411	8.665411	25.0	225	2.5762267	0.5360117	3.5715811	1.534319	-3.1105804	0.15475056	172.46223211288452
10	6.2449527	0.0	6.2449527	6.2449527	25.0	250	2.6065164	0.47850597	3.519935	1.667221	-2.8795865	0.11491552	191.75882244110107
11	2.4199498	0.0	2.4199498	2.4199498	25.0	275	2.7138684	0.5222186	3.7279103	1.8544848	-2.6153781	0.09468992	210.9858808517456
12	0.69405895	0.0	0.69405895	0.69405895	25.0	300	2.7624624	0.5174918	3.6784303	2.0102963	-2.7190073	0.043444023	230.07680082321167
13	0.22568575	0.0	0.22568575	0.22568575	25.0	325	2.8159254	0.49444756	3.7040184	2.0355682	-3.3483286	0.046929866	250.1634213924408
14	15.543675	0.0	15.543675	15.543675	25.0	350	2.9228363	0.5014983	4.931872	2.1124058	-4.3560166	0.073772535	269.1843340396881
15	24.160397	0.0	24.160397	24.160397	25.0	375	3.1041338	0.47933525	4.731462	2.2365656	-4.0815663	0.053340487	288.14730858802795
16	24.160397	0.0	24.160397	24.160397	25.0	400	3.3133097	0.48690054	4.5835657	2.5123076	-4.179703	0.040739574	307.1094353199005
17	24.160397	0.0	24.160397	24.160397	25.0	425	3.6347256	0.54237175	4.60313	2.6482222	-4.547211	0.03065856	326.1117534637451
18	24.160397	0.0	24.160397	24.160397	25.0	450	3.9904053	0.5875927	4.8815155	3.0073078	-4.8110666	0.030941863	345.0669934749603
19	24.160397	0.0	24.160397	24.160397	25.0	475	4.3672223	0.6118061	5.242847	3.2674935	-5.2001286	0.023571784	364.0576457977295
20	24.160397	0.0	24.160397	24.160397	25.0	500	4.6920667	0.6033875	5.6208262	3.605713	-5.541711	0.023423104	383.38143253326416
21	24.160397	0.0	24.160397	24.160397	25.0	525	4.9163647	0.568147	5.7293634	3.8592215	-5.7424297	0.02458105	402.5115342140198
22	24.160397	0.0	24.160397	24.160397	25.0	550	5.1213427	0.5597398	5.84958	4.101874	-5.814449	0.018057518	421.4946541786194
23	24.160397	0.0	24.160397	24.160397	25.0	575	5.329342	0.5520888	6.0104733	4.262163	-5.9512396	0.015382314	440.42986130714417
24	24.160397	0.0	24.160397	24.160397	25.0	600	5.543131	0.551862	6.391165	4.315175	-6.229591	0.01696373	459.3993012905121
25	24.160397	0.0	24.160397	24.160397	25.0	625	5.790125	0.54022443	6.543976	4.5974555	-6.4929714	0.01590914	478.38662695884705
26	24.160397	0.0	24.160397	24.160397	25.0	650	5.998348	0.5405901	6.5807905	4.836282	-6.6728816	0.013196805	497.3940923213959
27	24.160397	0.0	24.160397	24.160397	25.0	675	6.1665087	0.54460144	6.7784867	5.0505786	-6.807475	0.013770629	516.372528553009
28	24.160397	0.0	24.160397	24.160397	25.0	700	6.3499794	0.52389795	6.9663525	5.0675397	-6.9691505	0.014455311	535.376843214035
29	24.160397	0.0	24.160397	24.160397	25.0	725	6.514077	0.5304258	7.1772656	5.231476	-7.1917596	0.016837917	554.3318173885345
30	24.160397	0.0	24.160397	24.160397	25.0	750	6.7395635	0.53908795	7.425712	5.1564627	-7.326216	0.016385302	573.5829274654388
31	24.160397	0.0	24.160397	24.160397	25.0	775	6.9408226	0.55351555	7.5384183	4.8198915	-7.5217648	0.016772531	592.6463892459869
32	24.160397	0.0	24.160397	24.160397	25.0	800	7.101965	0.5636996	7.7918563	4.5475073	-7.7157683	0.023778277	611.7108707427979
33	24.160397	0.0	24.160397	24.160397	25.0	825	7.3057237	0.5512351	7.9162703	5.333832	-7.943023	0.0220255	630.6041779518127
34	24.160397	0.0	24.160397	24.160397	25.0	850	7.515976	0.53167826	8.076937	5.429313	-8.143077	0.0145971235	649.6944015026093
35	24.160397	0.0	24.160397	24.160397	25.0	875	7.720963	0.5273373	8.228926	5.7527523	-8.334252	0.014834017	668.5448424816132
36	24.160397	0.0	24.160397	24.160397	25.0	900	7.9050984	0.52593976	8.481231	6.2081356	-8.468191	0.016346788	687.3942408561707
37	24.160397	0.0	24.160397	24.160397	25.0	925	8.102292	0.5159411	8.658962	6.1040144	-8.642908	0.016264137	706.2562327384949
38	24.160397	0.0	24.160397	24.160397	25.0	950	8.263181	0.52375996	9.518323	6.7197514	-8.814373	0.023665207	725.3455548286438
39	24.160397	0.0	24.160397	24.160397	25.0	975	8.45481	0.51626545	9.027098	6.8998322	-8.99897	0.021452598	744.3963284492493
40	24.160397	0.0	24.160397	24.160397	25.0	1000	8.599131	0.52971995	9.262884	6.7861404	-9.192659	0.02258298	763.6853575706482
41	24.160397	0.0	24.160397	24.160397	25.0	1025	8.754361	0.49808717	9.330191	6.913676	-9.4009495	0.019635713	782.8028099536896
42	24.160397	0.0	24.160397	24.160397	25.0	1050	8.91258	0.49566785	10.248156	7.062198	-9.492131	0.023916995	801.8401484489441
43	24.160397	0.0	24.160397	24.160397	25.0	1075	9.0809145	0.49113354	9.754798	7.1790404	-9.633166	0.024512809	820.8913934230804
44	24.160397	0.0	24.160397	24.160397	25.0	1100	9.2368355	0.4956173	10.060112	6.5469313	-9.80557	0.019415015	839.9144108295441
45	24.160397	0.0	24.160397	24.160397	25.0	1125	9.405286	0.47962555	12.21609	7.6286635	-9.961412	0.021033073	858.9053611755371
46	24.160397	0.0	24.160397	24.160397	25.0	1150	9.575261	0.47951832	10.438057	7.645099	-10.194734	0.019811504	877.989727973938
47	24.160397	0.0	24.160397	24.160397	25.0	1175	9.764026	0.47424465	10.519259	7.0066633	-10.409998	0.027733218	897.1482017040253
48	24.160397	0.0	24.160397	24.160397	25.0	1200	9.910633	0.49525723	10.60322	8.048875	-10.540754	0.016830515	916.1989364624023
49	24.160397	0.0	24.160397	24.160397	25.0	1225	10.080387	0.50386584	12.914023	8.172094	-10.637263	0.026617656	935.1628384590149
50	24.160397	0.0	24.160397	24.160397	25.0	1250	10.244007	0.49372703	10.995814	6.484159	-10.865953	0.032815777	954.5596730709076
51	24.160397	0.0	24.160397	24.160397	25.0	1275	10.426662	0.4894204	11.359469	7.79476	-11.114169	0.02449136	973.757860660553
52	24.160397	0.0	24.160397	24.160397	25.0	1300	10.5834055	0.49632445	11.401483	8.709635	-11.339983	0.027640121	992.7159717082977
53	24.160397	0.0	24.160397	24.160397	25.0	1325	10.776031	0.49229726	12.003479	8.653885	-11.438905	0.021610325	1011.6184673309326
54	24.160397	0.0	24.160397	24.160397	25.0	1350	10.955161	0.47872108	11.764829	8.642808	-11.569806	0.019702183	1030.523199081421
55	24.160397	0.0	24.160397	24.160397	25.0	1375	11.134465	0.4982297	12.027712	8.642204	-11.796062	0.02812324	1049.4582369327545
56	24.160397	0.0	24.160397	24.160397	25.0	1400	11.339648	0.48383322	12.187987	9.166801	-12.032313	0.025382215	1068.4274933338165
57	24.160397	0.0	24.160397	24.160397	25.0	1425	11.549056	0.500129	14.057301	8.420504	-12.215096	0.0483896	1087.2390160560608
58	24.160397	0.0	24.160397	24.160397	25.0	1450	11.725037	0.5621752	12.619873	3.194905	-12.3690195	0.09321403	1106.0225019454956
59	24.160397	0.0	24.160397	24.160397	25.0	1475	11.908586	0.5494705	16.407547	8.344093	-12.509931	0.081624225	1124.8394532203674
60	24.160397	0.0	24.160397	24.160397	25.0	1500	12.097622	0.49506545	12.952005	7.318303	-12.754877	0.052927293	1144.563509941101
61	24.160397	0.0	24.160397	24.160397	25.0	1525	12.295483	0.4796328	13.143823	8.824269	-13.05832	0.038098026	1163.7442984580994
62	24.160397	0.0	24.160397	24.160397	25.0	1550	12.447271	0.52491444	14.700992	9.620843	-13.238508	0.033025853	1183.3940405845642
63	24.160397	0.0	24.160397	24.160397	25.0	1575	12.643247	0.48194155	13.5011015	9.80404	-13.399183	0.025424933	1202.3128790855408
64	24.160397	0.0	24.160397	24.160397	25.0	1600	12.800898	0.5009165	13.784617	10.456149	-13.517608	0.024196155	1221.1648287773132
65	24.160397	0.0	24.160397	24.160397	25.0	1625	12.988718	0.5009574	13.919316	10.686569	-13.633763	0.023557737	1240.0050127506256
66	24.160397	0.0	24.160397	24.160397	25.0	1650	13.187148	0.4748944	14.073002	9.975452	-13.949676	0.020640016	1258.8808541297913
67	24.160397	0.0	24.160397	24.160397	25.0	1675	13.368548	0.49620953	14.450176	11.397909	-14.174292	0.019391228	1277.6960310935974
68	24.160397	0.0	24.160397	24.160397	25.0	1700	13.594355	0.4763241	14.473645	11.4745245	-14.328946	0.01907952	1296.546911239624
69	24.160397	0.0	24.160397	24.160397	25.0	1725	13.766658	0.48768955	14.528262	10.587774	-14.504451	0.020850534	1315.4762630462646
70	24.160397	0.0	24.160397	24.160397	25.0	1750	13.945	0.48398015	14.805779	11.870521	-14.705339	0.01855713	1335.5334692001343
71	24.160397	0.0	24.160397	24.160397	25.0	1775	14.145923	0.4918458	14.8670845	12.008211	-14.985989	0.020393867	1354.5854532718658
72	24.160397	0.0	24.160397	24.160397	25.0	1800	14.360661	0.47702533	15.170076	12.400893	-15.248102	0.016996723	1373.537887096405
73	24.160397	0.0	24.160397	24.160397	25.0	1825	14.584194	0.46835592	15.573999	12.577386	-15.377358	0.022586884	1392.5810992717743
74	24.160397	0.0	24.160397	24.160397	25.0	1850	14.7957325	0.46912247	16.213165	12.032997	-15.667035	0.028273826	1411.4404861927032
75	24.160397	0.0	24.160397	24.160397	25.0	1875	15.0080595	0.46627986	15.969442	12.922968	-15.886941	0.025411444	1430.363286972046
76	24.160397	0.0	24.160397	24.160397	25.0	1900	15.223098	0.47164956	16.24066	12.929561	-16.003403	0.026305899	1449.2512967586517
77	24.160397	0.0	24.160397	24.160397	25.0	1925	15.411428	0.48827934	16.26475	13.040471	-16.222418	0.024901299	1468.1997487545013
78	24.160397	0.0	24.160397	24.160397	25.0	1950	15.644619	0.44857928	16.665892	11.884518	-16.440466	0.031064397	1487.1484882831573
79	24.160397	0.0	24.160397	24.160397	25.0	1975	15.805857	0.47995695	16.935076	13.064815	-16.602167	0.03197822	1506.0248775482178
80	24.160397	0.0	24.160397	24.160397	25.0	2000	15.997354	0.4946971	17.438597	11.814467	-16.79856	0.056989204	1525.8291747570038
81	24.160397	0.0	24.160397	24.160397	25.0	2025	16.182835	0.5288962	17.496494	11.845717	-16.97318	0.060860828	1544.8309218883514
82	24.160397	0.0	24.160397	24.160397	25.0	2050	16.417042	0.5078007	17.981852	13.279658	-17.198492	0.045466423	1563.6259710788727
83	24.160397	0.0	24.160397	24.160397	25.0	2075	16.66275	0.50209326	19.559196	12.9781275	-17.437834	0.058476616	1582.4162528514862
84	24.160397	0.0	24.160397	24.160397	25.0	2100	16.855415	0.5408034	17.804745	13.508135	-17.674376	0.048079558	1601.2584774494171
85	24.160397	0.0	24.160397	24.160397	25.0	2125	17.070599	0.53995013	19.399845	12.157741	-17.850481	0.06567356	1620.1101417541504
86	24.160397	0.0	24.160397	24.160397	25.0	2150	17.251532	0.5463608	18.847078	13.628696	-18.093273	0.06834749	1638.9935314655304
87	24.160397	0.0	24.160397	24.160397	25.0	2175	17.464592	0.48103538	19.294697	13.793046	-18.402044	0.050967604	1657.7738525867462
88	24.160397	0.0	24.160397	24.160397	25.0	2200	17.648436	0.5106733	19.212713	13.4704	-18.66001	0.05976035	1676.6436109542847
89	24.160397	0.0	24.160397	24.160397	25.0	2225	17.843433	0.51555467	20.68488	13.872624	-19.134798	0.06668618	1695.4595642089844
90	24.160397	0.0	24.160397	24.160397	25.0	2250	17.986912	0.5567961	23.541376	14.508492	-19.289347	0.09316433	1715.335522890091
91	24.160397	0.0	24.160397	24.160397	25.0	2275	18.264925	0.5250969	19.367416	15.280827	-19.474228	0.04492535	1734.3580312728882
92	2.4676292	0.0	2.4676292	2.4676292	25.0	2300	18.53955	0.5369886	19.446886	15.338254	-19.725475	0.057705607	1753.4337046146393
93	10.215734	0.0	10.215734	10.215734	25.0	2325	18.822962	0.6114262	19.693325	15.162822	-20.139263	0.054507352	1772.4392058849335
94	24.00713	0.0	24.00713	24.00713	25.0	2350	19.108635	0.66144764	21.260107	15.239915	-20.563396	0.07257938	1791.2437767982483
95	24.00713	0.0	24.00713	24.00713	25.0	2375	19.362745	0.6716918	22.759811	16.200188	-21.004065	0.06687032	1810.1069068908691
96	24.00713	0.0	24.00713	24.00713	25.0	2400	19.613642	0.6252122	20.50043	16.836432	-20.48469	0.054671492	1828.9662630558014
97	24.00713	0.0	24.00713	24.00713	25.0	2425	19.791683	0.6028872	20.432467	11.422452	-22.349949	0.07650355	1847.828268289566
98	24.00713	0.0	24.00713	24.00713	25.0	2450	20.027266	0.5711233	23.503729	16.355093	-21.23612	0.09509734	1866.8057322502136
99	24.00713	0.0	24.00713	24.00713	25.0	2475	20.458565	0.49092928	21.792763	16.575178	-22.22578	0.06878302	1885.6308724880219
