Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	1.7171817	0.0	1.7171817	1.7171817	25.0	0.0015243716	0.015444164	0.056638196	-0.04050293	25	-1.14440915e-07	1.0777795	-0.05668743	-0.18561602	9.804028	-0.013339863	0.04	4.0	19.427849769592285
1	2.532585	0.0	2.532585	2.532585	25.0	0.10704901	0.024023183	0.19991346	0.08236018	50	5.7220458e-08	2.0193746	-0.03912166	-0.34963727	10.223488	0.0071784593	0.0	4.0	38.03725624084473
2	5.001467	0.0	5.001467	5.001467	25.0	0.273112	0.1274188	0.7734638	0.18245949	75	-4.7683717e-08	6.404831	-0.026768003	-0.69030714	10.040648	-0.009169025	0.04	4.0	56.54852271080017
3	4.653014	0.0	4.653014	4.653014	25.0	0.4118907	0.08893229	0.68223816	0.3158638	100	1.04904174e-07	7.5365157	-0.026458148	-1.1004958	10.779027	0.01911255	0.04	4.0	75.08923006057739
4	5.143846	0.0	5.143846	5.143846	25.0	0.64860916	0.10642884	0.9539658	0.54720217	125	-2.3841858e-08	6.6120358	-0.03442553	-1.2496967	10.459301	-0.023638096	0.0	4.0	93.89737629890442
5	8.54749	0.0	8.54749	8.54749	25.0	0.9729211	0.15858042	1.4534819	0.8023039	150	-6.67572e-08	22.135204	-0.03549945	-3.260582	10.128544	0.00094451907	0.0	4.0	112.36886310577393
6	3.8389187	0.0	3.8389187	3.8389187	25.0	1.3354553	0.30918106	2.4032083	1.1906421	175	5.7220458e-08	5.8181443	-0.031797204	-1.546999	9.795964	0.0058964347	0.04	4.0	131.07079315185547
7	4.0542474	0.0	4.0542474	4.0542474	25.0	1.7585994	0.23533177	2.4674742	1.6004204	200	-2.3841858e-07	5.978977	-0.031898927	-2.0923893	10.764324	0.0013629913	0.04	4.0	149.649995803833
8	1.28961	0.0	1.28961	1.28961	25.0	2.1134865	0.08146214	2.4338849	2.0784092	225	4.7683715e-09	0.18413143	-0.013805825	-0.035506174	9.873654	-0.005888691	0.0	4.0	168.0938904285431
9	2.7093332	0.0	2.7093332	2.7093332	25.0	2.6823838	0.41293627	4.020179	2.5041091	250	3.0994414e-08	0.15067539	-0.05858123	0.15299317	10.010884	-0.0118279075	0.08	4.0	186.49344992637634
10	0.9783854	0.0	0.9783854	0.9783854	25.0	2.7838027	0.08036428	3.1068156	2.756399	275	-5.2452087e-08	0.0939131	-0.024127306	-0.051242698	10.026374	0.014642144	0.0	4.0	205.06280183792114
11	6.4778314	0.0	6.4778314	6.4778314	25.0	3.3017197	0.5798669	4.806012	2.7971277	300	-5.7220458e-08	12.197932	-0.056863237	-2.9809866	10.366202	0.023261184	0.04	4.0	223.5656065940857
12	5.8928723	0.0	5.8928723	5.8928723	25.0	3.7071185	0.44963676	5.0396833	3.1260643	325	-5.2452087e-08	9.551512	-0.037936646	-3.7750154	10.234445	0.0013181305	0.04	4.0	242.29632353782654
13	3.298398	0.0	3.298398	3.298398	25.0	4.3790755	0.46270847	5.6142664	4.124614	350	-1.5735627e-07	1.3358706	-0.03274652	-0.8055686	9.543454	0.0069387434	0.0	4.0	260.7272095680237
14	7.411425	0.0	7.411425	7.411425	25.0	5.6175785	0.86758786	8.01847	4.8628335	375	1.9073486e-08	16.105457	-0.045688063	-5.361189	10.556313	0.010508652	0.0	4.0	279.45924949645996
15	0.5945826	0.0	0.5945826	0.5945826	25.0	5.79385	0.13185258	6.4396806	5.766416	400	-1.9073486e-08	0.57398415	-0.01437624	1.239223	9.706705	0.0007380867	0.0	4.0	297.91464853286743
16	1.7342349	0.0	1.7342349	1.7342349	25.0	6.5485606	0.45039973	8.448749	6.3962955	425	5.9604646e-09	0.2687505	-0.029434973	0.15664843	9.716699	0.007109299	0.0	4.0	316.39713621139526
