Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	13.447402	0.0	13.447402	13.447402	25.0	0.0312505	0.07840603	0.18513116	-0.12396381	25	-9.536743e-07	60.21118	-0.14945938	-2.7183113	153.37773	0.032904662	0.52	2.0	23.53513216972351
1	16.610823	0.0	16.610823	16.610823	25.0	0.05474652	0.11266001	0.40774953	-0.07961912	50	-1.4972687e-06	93.80215	-0.16131677	-3.418419	151.74655	0.0031072998	0.76	4.0	46.22501254081726
2	17.257975	0.0	17.257975	17.257975	25.0	0.2844913	0.19788165	0.7417616	-0.09797856	75	6.2465665e-07	96.01246	-0.15226763	-3.907692	151.90752	-0.02293457	0.76	4.0	69.0551245212555
3	15.419299	0.0	15.419299	15.419299	25.0	0.5083427	0.18653744	1.025726	0.1441606	100	-1.2207031e-06	85.24929	-0.11172122	-3.8639374	151.83893	0.030239869	0.28	2.0	91.78037452697754
4	18.06034	0.0	18.06034	18.06034	25.0	0.87092644	0.38851538	1.5126952	0.119247936	125	5.483627e-07	84.140305	-0.14486876	-5.765892	154.30734	-0.049863283	0.56	4.0	114.29604864120483
5	14.210371	0.0	14.210371	14.210371	25.0	0.9284488	0.45098165	1.9626675	0.28454423	150	-6.67572e-08	45.752106	-0.12501413	-3.886158	155.46239	-0.019980468	0.4	4.0	136.99520564079285
6	18.380829	0.0	18.380829	18.380829	25.0	1.4012384	0.4976996	2.6342485	0.84294945	175	4.196167e-07	115.45712	-0.1564659	-7.976486	155.40916	-0.030233765	0.6	4.0	159.88406658172607
7	14.983384	0.0	14.983384	14.983384	25.0	1.6054983	0.61365914	3.355886	0.79937077	200	1.3399124e-06	56.719677	-0.15109593	-5.597622	155.31659	-0.021819457	0.52	4.0	182.41615915298462
8	12.567097	0.0	12.567097	12.567097	25.0	1.9886888	0.6176068	4.0178423	1.3507264	225	-1.3780594e-06	37.883114	-0.10018685	-5.099579	156.18495	0.0271167	0.16	2.0	204.96274065971375
9	16.783167	0.0	16.783167	16.783167	25.0	2.5261016	0.4634403	3.4055946	1.7702178	250	1.0871887e-06	66.78131	-0.1509605	-8.610809	157.5276	-0.0038543702	0.52	4.0	227.27780747413635
10	15.9741	0.0	15.9741	15.9741	25.0	2.7860672	0.72474885	4.5010614	1.3457084	275	2.374649e-06	86.7576	-0.14792635	-11.532402	156.78336	0.0030822754	0.52	4.0	249.94790315628052
11	14.888605	0.0	14.888605	14.888605	25.0	3.6382973	0.4778556	4.628227	2.759397	300	2.002716e-07	69.00092	-0.14528248	-12.225746	156.03693	-0.026503906	0.56	4.0	272.7278850078583
12	14.154136	0.0	14.154136	14.154136	25.0	4.861492	1.1426355	7.9827843	3.574836	325	-1.3685226e-06	44.73148	-0.13699488	-10.5648155	154.41174	-0.0005657959	0.44	4.0	295.26620841026306
13	13.597784	0.0	13.597784	13.597784	25.0	5.2932825	0.9022898	7.480168	4.039505	350	1.7499924e-06	47.271896	-0.11602245	-10.994122	154.51715	0.0035571288	0.24	4.0	317.64067244529724
14	14.839639	0.0	14.839639	14.839639	25.0	6.4083266	0.8436119	8.026244	4.7592497	375	7.343292e-07	40.26436	-0.15098517	-10.522688	155.13234	-0.037719727	0.64	4.0	340.19655895233154
