Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	14.12638	0.0	14.12638	14.12638	25.0	25	0.5744525	0.45891201	1.9984918	-0.51800984	0.57554966	0.4673559	1.9535376	-0.5967616	-0.5179478	0.15637624	25.81642985343933
2	14.3937845	0.0	14.3937845	14.3937845	25.0	50	0.59464794	0.39916998	1.7442713	-0.24000499	0.59792703	0.39074102	1.6668525	-0.1969338	-2.731277	0.051059496	48.821154832839966
3	13.900026	0.0	13.900026	13.900026	25.0	75	0.6114025	0.37618387	1.5056927	-0.25486752	0.60870266	0.3783802	1.5259985	-0.26672134	-4.609364	0.03716793	71.76869797706604
4	14.422152	0.0	14.422152	14.422152	25.0	100	0.6361118	0.3612109	2.2581174	-0.04421189	0.6375405	0.3631394	2.241351	-0.08560089	-4.828221	0.030471675	95.11263728141785
5	17.28713	0.0	17.28713	17.28713	25.0	125	0.6592764	0.34923583	1.9058559	-0.09331422	0.65705323	0.34626794	1.8569081	-0.028176937	-5.0536366	0.028026955	118.75515055656433
6	12.945225	0.0	12.945225	12.945225	25.0	150	0.67397827	0.33531415	2.0900645	-0.10335298	0.67269725	0.33551672	1.993135	-0.015250682	-4.897992	0.02753422	141.962735414505
7	11.005452	0.0	11.005452	11.005452	25.0	175	0.6725836	0.3343763	2.0072925	-0.06083932	0.6737079	0.3369684	2.038718	-0.023210654	-4.743227	0.027077962	165.035964012146
8	17.233042	0.0	17.233042	17.233042	25.0	200	0.76307243	0.34893417	2.1786737	-0.04004947	0.76398623	0.34884664	2.1504486	-0.0026089125	-4.867726	0.029056268	189.37212872505188
9	13.694003	0.0	13.694003	13.694003	25.0	225	0.8109639	0.374385	2.343289	0.032625604	0.8105681	0.37455317	2.2950454	0.042899705	-4.9681582	0.030530332	212.7914674282074
10	15.330692	0.0	15.330692	15.330692	25.0	250	0.92884785	0.3785961	2.2934446	0.044970524	0.9278585	0.38111147	2.2913895	0.08868147	-5.1090326	0.03457948	235.9743835926056
11	3.1551054	0.0	3.1551054	3.1551054	25.0	275	0.92940605	0.476584	5.159522	-0.45262915	0.9373406	0.42335132	2.5053198	-0.14714195	-0.56605005	0.15966631	258.77120900154114
12	0.3945859	0.0	0.3945859	0.3945859	25.0	300	0.82400274	0.42030504	2.3847542	-0.114403196	0.8226569	0.41608155	2.3961446	0.13753435	-0.35449308	0.03510174	281.8157832622528
13	0.3661625	0.0	0.3661625	0.3661625	25.0	325	0.6845099	0.39382273	2.1046958	0.09417695	0.6883244	0.394973	2.1244364	0.078844726	-0.23915711	0.01675754	304.7958605289459
14	0.7914927	0.0	0.7914927	0.7914927	25.0	350	0.5719447	0.38129073	1.9624908	0.05088566	0.57087034	0.38268712	1.9621367	0.0067095254	-0.17565528	0.019035898	327.5245020389557
15	0.5732654	0.0	0.5732654	0.5732654	25.0	375	0.517444	0.38926637	1.945316	0.04732894	0.51487446	0.3916055	1.9363433	0.027152112	-0.13158116	0.014230323	351.4812321662903
16	0.391853	0.0	0.391853	0.391853	25.0	400	0.47052652	0.3909847	1.9516091	0.03510635	0.47072548	0.38984406	1.9382654	0.032632656	-0.1370334	0.014528656	374.8300018310547
17	0.51536584	0.0	0.51536584	0.51536584	25.0	425	0.45614737	0.37703106	1.900137	0.020205893	0.4571342	0.37712097	1.9044722	-0.02607093	-0.14844157	0.012718014	397.9044187068939
18	8.011045	0.0	8.011045	8.011045	25.0	450	0.48246884	0.37715805	1.9082909	0.02538583	0.4830147	0.37692338	1.9102442	-0.013925137	-0.3702657	0.02924771	420.97146677970886
19	0.3561431	0.0	0.3561431	0.3561431	25.0	475	0.45850098	0.3657684	1.9661669	-0.006870975	0.45763075	0.36738658	1.9353015	0.007586062	-0.31910685	0.031064607	444.2275741100311
20	0.3034575	0.0	0.3034575	0.3034575	25.0	500	0.4539089	0.36527804	1.9684603	0.0632082	0.45488623	0.36546704	1.9960076	0.07029277	-0.2762117	0.024715988	467.76776695251465
21	0.0	0.0	0.0	0.0	25.0	525	0.46182823	0.36859095	2.020732	0.041355733	0.4628422	0.37230876	2.0432785	0.012510885	-0.32400766	0.025073536	490.9652442932129
22	18.484804	0.0	18.484804	18.484804	25.0	550	0.47325078	0.35410857	2.054348	0.03461639	0.47284403	0.35934994	2.0477993	-0.124862865	-1.191406	0.047825612	515.0047988891602
23	2.0290778	0.0	2.0290778	2.0290778	25.0	575	0.49431044	0.35870224	2.0451336	0.05286882	0.49438584	0.3688108	2.028974	-0.031033022	-0.4849337	0.04530884	538.1333537101746
24	0.6819284	0.0	0.6819284	0.6819284	25.0	600	0.48964867	0.36247674	2.0249386	-0.01227865	0.48971182	0.36352187	2.0449665	-0.027283974	-0.54634404	0.030495672	561.2286047935486
25	4.273605	0.0	4.273605	4.273605	25.0	625	0.48178056	0.35830393	2.056183	-0.15370429	0.47938046	0.36143333	2.001819	-0.03206613	-0.6345817	0.03581111	584.6604998111725
26	5.676589	0.0	5.676589	5.676589	25.0	650	0.5011081	0.34783953	2.0267127	0.03361317	0.5037624	0.35009533	2.0359168	-0.089295544	-0.7113602	0.04312207	608.0496456623077
27	2.8339283	0.0	2.8339283	2.8339283	25.0	675	0.56356174	0.33744597	2.0810208	0.14593212	0.56250626	0.3404292	2.0787113	0.08594259	-0.5779078	0.043600254	630.9184744358063
28	0.5396489	0.0	0.5396489	0.5396489	25.0	700	0.6465512	0.35159633	2.1956618	0.20799984	0.6450472	0.3530999	2.2213504	0.1890443	-0.47701657	0.03980533	654.3218026161194
29	1.0814883	0.0	1.0814883	1.0814883	25.0	725	0.7460823	0.36691743	2.3452067	0.22690943	0.7496844	0.36941278	2.396453	0.14798158	-0.7055536	0.048164345	677.2675178050995
30	0.9715802	0.0	0.9715802	0.9715802	25.0	750	0.7488276	0.35264337	2.4554372	0.22724985	0.74733347	0.35714343	2.4306777	0.3214168	-0.642411	0.047385737	700.6001751422882
31	1.3078817	0.0	1.3078817	1.3078817	25.0	775	0.75442344	0.36401197	2.4382305	0.3147607	0.7528244	0.36438116	2.4013796	0.29602355	-0.80654943	0.042961992	723.4530320167542
32	0.53956103	0.0	0.53956103	0.53956103	25.0	800	0.7544964	0.34384793	2.3501773	0.28556627	0.755167	0.34512508	2.454557	0.38623053	-0.7942182	0.042759515	746.6554210186005
33	0.6277674	0.0	0.6277674	0.6277674	25.0	825	0.770206	0.3451698	2.3968315	0.27658978	0.77034414	0.3451757	2.4147594	0.3285935	-0.7252849	0.036239494	769.3366062641144
34	3.6787095	0.0	3.6787095	3.6787095	25.0	850	0.81404054	0.35511714	2.393645	0.36745277	0.8138837	0.35734102	2.4279256	0.36143604	-0.82518387	0.050629765	792.6743988990784
35	2.122897	0.0	2.122897	2.122897	25.0	875	0.861685	0.38149717	2.5809898	0.4485051	0.86128634	0.3828026	2.5588894	0.4431728	-0.9494213	0.046388373	815.8721158504486
36	0.5929439	0.0	0.5929439	0.5929439	25.0	900	0.8532271	0.37407526	2.5713909	0.38722754	0.85197747	0.37920123	2.626741	0.38893315	-0.9290289	0.048072148	839.1972019672394
37	1.429271	0.0	1.429271	1.429271	25.0	925	0.8590628	0.3796607	2.6484795	0.43611792	0.8594331	0.37951267	2.655632	0.46176475	-0.80804527	0.044100627	862.1119809150696
38	0.0	0.0	0.0	0.0	25.0	950	0.83174026	0.37146485	2.6366959	0.44773677	0.8321983	0.37472793	2.5800624	0.4429265	-0.6964111	0.046428546	885.1287677288055
39	0.58588296	0.0	0.58588296	0.58588296	25.0	975	0.8163768	0.37308136	2.517483	0.39345768	0.81675243	0.37289554	2.5463295	0.37081218	-0.8091618	0.04736973	908.0550181865692
40	0.5004758	0.0	0.5004758	0.5004758	25.0	1000	0.7915028	0.3600625	2.5359716	0.3977597	0.789701	0.36350712	2.5120687	0.43160173	-0.9495741	0.045094967	931.2585957050323
41	1.3180423	0.0	1.3180423	1.3180423	25.0	1025	0.76622134	0.35577035	2.2052503	0.34359354	0.767194	0.35578167	2.185514	0.29827285	-0.8009152	0.039970268	954.302481174469
42	1.2731305	0.0	1.2731305	1.2731305	25.0	1050	0.76729256	0.36924562	2.5075023	0.3185415	0.76725096	0.37191173	2.5521853	0.35845998	-0.6876659	0.04574311	977.038544178009
43	1.833323	0.0	1.833323	1.833323	25.0	1075	0.74662197	0.36279282	2.5311651	0.40663564	0.74539566	0.36334267	2.4999647	0.39156958	-0.7464761	0.038248934	999.703022480011
44	2.166392	0.0	2.166392	2.166392	25.0	1100	0.7268813	0.3336842	2.4602308	0.35585108	0.7262154	0.33641422	2.4561512	0.3756833	-0.7428948	0.040675484	1023.0770721435547
45	2.0854073	0.0	2.0854073	2.0854073	25.0	1125	0.74308264	0.3430427	2.5027707	0.413304	0.7421395	0.34566897	2.4880793	0.38048506	-0.7847703	0.04343441	1046.0849862098694
46	0.0	0.0	0.0	0.0	25.0	1150	0.7486831	0.33684093	2.5434716	0.42116892	0.7489074	0.33618867	2.5167851	0.39958546	-0.80586696	0.039903596	1068.827584028244
47	0.36019486	0.0	0.36019486	0.36019486	25.0	1175	0.7643712	0.33336413	2.1352174	0.4343088	0.766227	0.33606002	2.1471548	0.32323778	-0.7248529	0.04296086	1091.4182024002075
48	0.96899235	0.0	0.96899235	0.96899235	25.0	1200	0.7713859	0.33212003	2.1847916	0.45409518	0.7715538	0.33499983	2.2406092	0.42983317	-0.85619164	0.04313033	1114.894745349884
49	0.0	0.0	0.0	0.0	25.0	1225	0.8006515	0.3551256	2.6848955	0.4500831	0.7993423	0.35743088	2.8099418	0.334683	-0.9194829	0.045931574	1137.7613263130188
50	4.894773	0.0	4.894773	4.894773	25.0	1250	0.81143886	0.34290448	2.7289653	0.39888042	0.8117585	0.34378937	2.6650097	0.4284959	-0.9215587	0.046819538	1160.5713124275208
51	0.88140416	0.0	0.88140416	0.88140416	25.0	1275	0.80786276	0.32887402	2.6642277	0.47389588	0.80798775	0.32935527	2.6624725	0.44085634	-0.91595274	0.04328505	1184.1067996025085
52	2.0500183	0.0	2.0500183	2.0500183	25.0	1300	0.8297742	0.34193474	2.6229625	0.41062647	0.8264789	0.34678024	2.7253041	0.36988288	-0.7927234	0.0497601	1206.7755048274994
53	1.2217039	0.0	1.2217039	1.2217039	25.0	1325	0.8328322	0.3308446	2.740172	0.50698835	0.8320792	0.3317228	2.7933075	0.43062574	-0.8377059	0.05088998	1229.3852972984314
54	2.1055872	0.0	2.1055872	2.1055872	25.0	1350	0.83913046	0.32046503	2.6942532	0.5422199	0.8397293	0.32253885	2.70203	0.50770646	-0.88408387	0.04187247	1252.176572561264
55	0.5942135	0.0	0.5942135	0.5942135	25.0	1375	0.86358917	0.3334669	2.6991243	0.5597458	0.86411935	0.3328631	2.7018278	0.53038996	-0.8606926	0.037673965	1274.775685787201
56	1.4469998	0.0	1.4469998	1.4469998	25.0	1400	0.8681714	0.32085213	2.6972935	0.48219985	0.8694461	0.3207428	2.723777	0.45110023	-0.9142988	0.041594066	1297.6580374240875
57	0.34698275	0.0	0.34698275	0.34698275	25.0	1425	0.89458215	0.32968605	2.1265664	0.49290442	0.89293104	0.3316175	2.1518395	0.43932945	-0.91666263	0.04262483	1320.283185005188
58	0.75297654	0.0	0.75297654	0.75297654	25.0	1450	0.92742753	0.34241024	2.803332	0.56107146	0.9273668	0.3449212	2.8300328	0.48864144	-0.8529263	0.04843916	1342.883803844452
59	1.8841238	0.0	1.8841238	1.8841238	25.0	1475	0.9216589	0.3111847	2.8110666	0.59682596	0.92126095	0.3135416	2.8054404	0.5854736	-1.0235074	0.0514024	1365.5820524692535
60	0.34975958	0.0	0.34975958	0.34975958	25.0	1500	0.9565924	0.31522134	2.850602	0.62808377	0.95658904	0.31715012	2.7869568	0.5646216	-0.9869003	0.04809387	1388.3734686374664
61	7.6088862	0.0	7.6088862	7.6088862	25.0	1525	0.9801963	0.30825728	2.8556716	0.62181336	0.9798572	0.30825365	2.827026	0.568128	-1.4439044	0.057350107	1411.407286643982
62	1.8506086	0.0	1.8506086	1.8506086	25.0	1550	1.0086613	0.29916137	2.762377	0.6785151	1.0090348	0.30414966	2.7921016	0.61431843	-1.1132195	0.056816634	1434.6203269958496
63	6.2098885	0.0	6.2098885	6.2098885	25.0	1575	1.0516932	0.3149038	2.9446974	0.71807706	1.0510852	0.3182961	2.956052	0.6963404	-1.3420656	0.06345892	1457.6752638816833
64	0.4158938	0.0	0.4158938	0.4158938	25.0	1600	1.0901495	0.3375803	3.1480634	0.71587974	1.0887647	0.34106115	3.1004894	0.648955	-1.1142198	0.07828696	1481.0660500526428
65	0.58725166	0.0	0.58725166	0.58725166	25.0	1625	1.0818809	0.3263705	2.6722064	0.7097521	1.0829861	0.32563704	2.6811702	0.70567775	-1.1047552	0.06698861	1504.2850546836853
66	0.63154393	0.0	0.63154393	0.63154393	25.0	1650	1.1219724	0.36191583	3.648888	0.7100666	1.1226326	0.36585107	3.5271468	0.7133061	-1.1236851	0.07059751	1527.6957757472992
67	1.7503374	0.0	1.7503374	1.7503374	25.0	1675	1.1340828	0.36153865	2.9168947	0.6967068	1.13281	0.36197796	2.9354675	0.71117055	-1.1764274	0.071764596	1550.878089427948
68	7.8455834	0.0	7.8455834	7.8455834	25.0	1700	1.141354	0.34096768	3.313598	0.7639676	1.1418124	0.3443686	3.346163	0.76476246	-1.2612349	0.08140775	1574.3245844841003
69	2.2095296	0.0	2.2095296	2.2095296	25.0	1725	1.1497358	0.34813678	3.2976468	0.73529357	1.1500863	0.34914654	3.3250318	0.7540032	-1.3235748	0.06984342	1597.8323185443878
70	2.152237	0.0	2.152237	2.152237	25.0	1750	1.1574306	0.34363914	3.0070605	0.8028588	1.1560585	0.3450403	2.9838457	0.74979824	-1.4871074	0.062019207	1621.0083072185516
71	0.8885755	0.0	0.8885755	0.8885755	25.0	1775	1.1709607	0.34624976	3.1497056	0.7960155	1.1716764	0.34917346	3.1917725	0.80064505	-1.3776958	0.06445601	1643.5774366855621
72	2.1710272	0.0	2.1710272	2.1710272	25.0	1800	1.1872686	0.33088753	3.1717038	0.8069608	1.185557	0.33685908	3.1998167	0.82163244	-1.5850569	0.06446039	1666.410489320755
73	0.18569759	0.0	0.18569759	0.18569759	25.0	1825	1.2216722	0.3384751	3.2046762	0.77057475	1.2229196	0.3369631	3.2150633	0.86079645	-1.5782027	0.07808149	1689.5353164672852
74	0.5981233	0.0	0.5981233	0.5981233	25.0	1850	1.2930423	0.3574156	3.4785469	0.90719724	1.2938533	0.35836327	3.5884373	0.9355105	-1.6336385	0.07851388	1712.270123720169
75	2.0040965	0.0	2.0040965	2.0040965	25.0	1875	1.3641363	0.361567	3.0427895	0.90807277	1.3642328	0.36317	3.0904925	0.8961763	-1.7075744	0.08362461	1735.0941259860992
76	0.051023148	0.0	0.051023148	0.051023148	25.0	1900	1.4489881	0.3602467	3.1620865	1.0250504	1.4477377	0.36536726	3.2397435	1.0358568	-1.6135949	0.09073626	1757.8260579109192
77	0.512756	0.0	0.512756	0.512756	25.0	1925	1.490107	0.3571857	4.089639	1.1126894	1.4900392	0.35889646	4.0878115	1.0545244	-1.5226471	0.090842284	1780.6054136753082
78	1.362822	0.0	1.362822	1.362822	25.0	1950	1.5635408	0.3598151	3.730003	1.1648579	1.5644605	0.36244008	3.6715715	1.1805468	-1.5990813	0.090752564	1804.178022146225
79	1.5299402	0.0	1.5299402	1.5299402	25.0	1975	1.6096143	0.36725348	3.94153	1.0160332	1.6079668	0.3691363	3.8684666	1.1230808	-1.6169425	0.09254718	1827.0541594028473
80	0.30181736	0.0	0.30181736	0.30181736	25.0	2000	1.640142	0.34473887	3.8998194	1.2690471	1.6397005	0.3473812	3.9342346	1.2374879	-1.6514779	0.06588385	1849.6415894031525
81	1.6142745	0.0	1.6142745	1.6142745	25.0	2025	1.7192098	0.33565232	3.8315265	1.3896677	1.7190078	0.33880466	3.854946	1.3358123	-1.732129	0.07541024	1872.8676340579987
82	0.14431019	0.0	0.14431019	0.14431019	25.0	2050	1.7842373	0.33087656	3.5968108	1.396435	1.7849017	0.33377236	3.5403728	1.3864143	-1.8054619	0.082340576	1895.60644698143
83	0.93054056	0.0	0.93054056	0.93054056	25.0	2075	1.8504094	0.3462849	4.4678483	1.2523375	1.8497614	0.3438348	4.476582	1.3925109	-1.9389559	0.08025442	1917.9427003860474
84	0.0	0.0	0.0	0.0	25.0	2100	1.9518305	0.36404854	4.3254995	1.3811997	1.9511008	0.36450803	4.2757525	1.4945786	-1.9646523	0.09527105	1940.9832203388214
85	0.7841905	0.0	0.7841905	0.7841905	25.0	2125	2.0577266	0.36470315	4.9747114	1.6669593	2.058404	0.366706	5.327782	1.5285261	-2.03715	0.10203181	1963.7680475711823
