Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	8.31929	0.0	8.31929	8.31929	25.0	25	0.27424493	0.32167155	1.1633106	-0.43655553	0.27669218	0.3218695	1.2520194	-0.39145043	-0.1631776	0.07941566	27.557643175125122
2	11.173931	0.0	11.173931	11.173931	25.0	50	0.35548782	0.29228163	1.0751604	-0.22079143	0.3531514	0.29728657	1.115251	-0.17792247	-0.4385311	0.06385723	52.95716404914856
3	16.323673	0.0	16.323673	16.323673	25.0	75	0.44338483	0.3080312	1.1941444	-0.13605998	0.4413049	0.30079028	1.1961707	-0.12601095	-1.0145959	0.06665589	78.88422536849976
4	17.825026	0.0	17.825026	17.825026	25.0	100	0.5319702	0.3322312	1.3069077	-0.15465325	0.5284093	0.31683478	1.2328091	-0.121507525	-1.4925722	0.047818743	104.7851972579956
5	15.723486	0.0	15.723486	15.723486	25.0	125	0.5797509	0.34070435	1.4321094	-0.13564682	0.5800861	0.3327522	1.4193369	-0.114122935	-1.618568	0.04720198	130.81022095680237
6	7.5394883	0.0	7.5394883	7.5394883	25.0	150	0.5802704	0.3562496	1.4412739	-0.14925925	0.5819704	0.3542539	1.4817461	-0.11064677	-1.3807005	0.046295494	156.91202116012573
7	14.824707	0.0	14.824707	14.824707	25.0	175	0.61540264	0.3576929	1.5283709	-0.1480356	0.6157553	0.35357645	1.8299396	-0.25322375	-1.2095008	0.058387786	182.71969366073608
8	10.997717	0.0	10.997717	10.997717	25.0	200	0.6591203	0.3635697	1.6177635	-0.006913474	0.65755665	0.3603202	1.6749359	-0.07897023	-1.2289981	0.046303652	208.2313961982727
9	12.956984	0.0	12.956984	12.956984	25.0	225	0.731101	0.38181025	1.7755711	-0.1411073	0.73142827	0.37206057	1.671087	-0.024730751	-1.112503	0.03939521	234.33844184875488
10	15.09888	0.0	15.09888	15.09888	25.0	250	0.7969	0.39777383	1.8672233	-0.060967043	0.7957074	0.38742697	1.841958	0.008556539	-0.8348265	0.043816324	260.2417199611664
11	8.620679	0.0	8.620679	8.620679	25.0	275	0.85120136	0.41060457	1.954695	-0.016077267	0.8501731	0.40801597	1.9784644	0.013201367	-0.6855765	0.05042284	285.62579011917114
12	6.113338	0.0	6.113338	6.113338	25.0	300	0.87620217	0.41988087	2.0883512	0.0724998	0.87534016	0.41745472	2.109026	0.04654312	-0.69445187	0.051740233	310.62644720077515
13	5.5684175	0.0	5.5684175	5.5684175	25.0	325	0.90388924	0.4116286	2.1368322	0.18869847	0.90459824	0.41374093	2.1342497	0.14263767	-0.79419553	0.053508624	333.99462699890137
14	5.142066	0.0	5.142066	5.142066	25.0	350	0.92596424	0.41696474	2.1570542	0.10828039	0.92810625	0.41371128	2.1816492	0.09638595	-0.76155245	0.081499204	357.1175584793091
15	13.193954	0.0	13.193954	13.193954	25.0	375	0.94855154	0.38028893	2.171478	0.3041539	0.9442758	0.37736568	2.1185687	0.28833398	-1.0751462	0.09502092	380.2502236366272
16	8.220769	0.0	8.220769	8.220769	25.0	400	0.99462557	0.3887506	2.1903918	0.2871711	0.9936383	0.39002013	2.1548517	0.23881865	-1.0098727	0.10159561	403.499226808548
17	14.457512	0.0	14.457512	14.457512	25.0	425	1.0853271	0.3788129	2.2455344	0.37775695	1.0839443	0.37177077	2.3244054	0.37500522	-1.1128957	0.119689554	426.69840121269226
18	9.755419	0.0	9.755419	9.755419	25.0	450	1.1377536	0.37439317	2.2975504	0.45038027	1.1381134	0.37271044	2.2850118	0.39588073	-1.1832747	0.13373747	450.18709993362427
19	7.896008	0.0	7.896008	7.896008	25.0	475	1.2101464	0.36590835	2.3905833	0.48233193	1.2112544	0.3622646	2.3262618	0.5113909	-1.2150468	0.14813891	473.14819049835205
20	15.771176	0.0	15.771176	15.771176	25.0	500	1.2949862	0.38372403	2.5930896	0.5897362	1.295023	0.379164	2.5217533	0.60800844	-1.3207436	0.14879869	495.71132493019104
21	14.744249	0.0	14.744249	14.744249	25.0	525	1.3321326	0.38525155	2.6715908	0.5716223	1.3318487	0.38194123	2.6626892	0.5854269	-1.5873301	0.16709696	518.5741562843323
22	15.521458	0.0	15.521458	15.521458	25.0	550	1.3970172	0.39876217	2.6792467	0.6337942	1.3963538	0.39338884	2.7074895	0.61895823	-1.4846171	0.1496998	541.9840095043182
23	15.672289	0.0	15.672289	15.672289	25.0	575	1.4245214	0.38977847	2.7276275	0.6144776	1.4252602	0.38691342	2.713318	0.59353906	-1.5194385	0.15884145	565.3546423912048
24	15.123521	0.0	15.123521	15.123521	25.0	600	1.4829022	0.39680225	2.7696059	0.6995179	1.4811773	0.3922635	2.7865677	0.71571505	-1.5789585	0.17833136	588.3967230319977
25	12.555073	0.0	12.555073	12.555073	25.0	625	1.5171032	0.3861545	2.7874513	0.7172807	1.5178391	0.3788203	2.7971754	0.7493822	-1.6402937	0.1761593	611.8347816467285
26	15.189343	0.0	15.189343	15.189343	25.0	650	1.5606447	0.38619488	2.8011887	0.69560343	1.5588217	0.37998813	2.8794045	0.7563497	-1.6920011	0.20920609	635.1200368404388
27	8.667888	0.0	8.667888	8.667888	25.0	675	1.6064899	0.3811646	2.7635214	0.6860697	1.608674	0.37419993	2.79281	0.7033534	-2.5273123	0.20595337	658.3751122951508
28	8.364509	0.0	8.364509	8.364509	25.0	700	1.6626937	0.41095793	3.205329	0.55362844	1.6635908	0.39986584	2.9909	0.69108796	-2.244934	0.2306425	682.094215631485
29	16.71995	0.0	16.71995	16.71995	25.0	725	1.7370802	0.40556216	3.1298487	0.70885247	1.7377722	0.39779404	3.204731	0.7332115	-2.0043936	0.22538139	705.5273580551147
