Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	5.4007654	0.0	5.4007654	5.4007654	25.0	25	0.19413179	0.21603727	0.8500703	-0.18630472	0.18938798	0.20572303	0.8438236	-0.20720947	-0.10956575	0.098427124	22.72072696685791
2	12.65002	0.0	12.65002	12.65002	25.0	50	0.33267447	0.26407444	1.0846969	-0.12607096	0.33354625	0.2577735	1.0412655	-0.11620877	-0.29060265	0.11475968	45.117934465408325
3	7.559617	0.0	7.559617	7.559617	25.0	75	0.3582417	0.26347947	1.0179011	-0.27696928	0.3544539	0.2690691	1.1098256	-0.36873803	-0.36153698	0.11862304	67.361074924469
4	15.236439	0.0	15.236439	15.236439	25.0	100	0.43955433	0.27222446	1.2971119	-0.12507911	0.4373614	0.2779619	1.266756	-0.11156707	-0.53934073	0.12508357	89.90027022361755
5	10.677978	0.0	10.677978	10.677978	25.0	125	0.45957783	0.2729281	1.2606244	-0.10409528	0.45846152	0.26632908	1.2231606	-0.108460724	-0.76987416	0.11470791	112.31249451637268
6	12.595302	0.0	12.595302	12.595302	25.0	150	0.50090504	0.28951526	1.4192578	-0.07787074	0.49874493	0.28908342	1.405203	-0.051740464	-1.0043256	0.10276698	134.59085869789124
7	10.146157	0.0	10.146157	10.146157	25.0	175	0.5295417	0.29003668	1.4777764	-0.044139206	0.5281504	0.28868353	1.4220972	-0.042210303	-1.1868986	0.105832465	157.01280760765076
8	10.546386	0.0	10.546386	10.546386	25.0	200	0.5329005	0.3069123	1.4488542	-0.060693912	0.53316075	0.3077259	1.4095277	-0.058508374	-1.5508639	0.09448341	179.41303491592407
9	10.160117	0.0	10.160117	10.160117	25.0	225	0.5761445	0.33060297	1.6828723	-0.0741267	0.5751558	0.33081374	1.6380368	-0.14098792	-1.762066	0.086511925	201.76622223854065
10	9.503515	0.0	9.503515	9.503515	25.0	250	0.6000489	0.34422687	1.840712	-0.24197765	0.5991087	0.3448711	1.7814993	-0.27827284	-1.9038652	0.09541972	224.1336579322815
11	3.5726266	0.0	3.5726266	3.5726266	25.0	275	0.6168155	0.37951502	1.9522972	-0.20825472	0.6164474	0.38231006	2.0194802	-0.2384586	-0.61823833	0.17617895	246.47881078720093
12	5.232989	0.0	5.232989	5.232989	25.0	300	0.6758376	0.35814333	1.9497396	-0.065716214	0.67568904	0.3565439	1.9239588	-0.08148585	-0.65161157	0.1096737	268.9340772628784
13	4.209325	0.0	4.209325	4.209325	25.0	325	0.692562	0.36261994	2.0345373	-0.279435	0.6922407	0.35912105	2.006356	-0.21864389	-0.705833	0.10729616	291.17066192626953
14	9.748942	0.0	9.748942	9.748942	25.0	350	0.7576444	0.3763905	2.115162	0.00045148656	0.7525372	0.37517914	2.0895345	0.0018773563	-0.7474531	0.11474108	313.62800788879395
15	10.336679	0.0	10.336679	10.336679	25.0	375	0.77558815	0.38451836	2.1191156	-0.02626811	0.77963185	0.38456488	2.1275964	-0.039898604	-0.7851994	0.12718348	336.01632595062256
16	11.533974	0.0	11.533974	11.533974	25.0	400	0.8626258	0.38717765	2.2447975	0.13241503	0.8578672	0.386993	2.2165241	0.09457953	-0.95238864	0.14691661	358.5093641281128
17	11.642518	0.0	11.642518	11.642518	25.0	425	0.8988568	0.40859097	2.3585804	0.16494823	0.90403146	0.40592933	2.3194482	0.16060007	-1.198372	0.15933155	380.96304178237915
18	14.554749	0.0	14.554749	14.554749	25.0	450	0.95570636	0.40120476	2.2164497	0.20752704	0.94976336	0.39819777	2.1863308	0.21884117	-1.2076087	0.16616508	403.49548053741455
19	13.871616	0.0	13.871616	13.871616	25.0	475	0.9927491	0.39213476	2.3825436	0.22311933	0.9939023	0.38888314	2.3437712	0.21345031	-1.2548635	0.15332565	425.918336391449
20	14.891327	0.0	14.891327	14.891327	25.0	500	1.0371526	0.40944833	2.3266935	0.21357436	1.0361568	0.406299	2.323971	0.26836455	-1.292792	0.15736489	448.4781925678253
21	17.441729	0.0	17.441729	17.441729	25.0	525	1.0863264	0.39734244	2.3789144	-0.19728659	1.0861874	0.39161196	2.3375702	-0.2478104	-1.3268248	0.20691775	471.06165170669556
22	15.570571	0.0	15.570571	15.570571	25.0	550	1.1476861	0.39944437	2.3926585	-0.08646494	1.1480645	0.39615893	2.3699608	0.1860008	-1.3653464	0.18936731	493.50931119918823
23	14.893512	0.0	14.893512	14.893512	25.0	575	1.1831533	0.39676636	2.3914597	0.19051555	1.1822743	0.39360717	2.359392	0.18655242	-1.4216276	0.19606674	515.986930847168
24	13.687575	0.0	13.687575	13.687575	25.0	600	1.2362443	0.392027	2.406855	0.4292183	1.2358272	0.39027825	2.3876889	0.45099863	-1.4477048	0.20653427	538.4585263729095
25	8.631879	0.0	8.631879	8.631879	25.0	625	1.2474668	0.39250737	2.429239	0.41974673	1.2496053	0.39049652	2.4093602	0.46911213	-1.5609723	0.19346666	560.8315362930298
