Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	13.7329235	0.0	13.7329235	13.7329235	25.0	25	0.49442846	0.37756678	1.3161026	-0.7826352	0.48910126	0.4129605	1.6816983	-0.8700479	-0.440622	0.13926493	22.04529309272766
2	14.771011	0.0	14.771011	14.771011	25.0	50	0.5422039	0.35383943	1.4494575	-0.65604764	0.53122234	0.40244	1.9703035	-0.40408564	-1.4517436	0.114340395	43.428279876708984
3	16.289505	0.0	16.289505	16.289505	25.0	75	0.5617399	0.32842878	1.3546947	-0.2658772	0.565196	0.32845986	1.2827394	-0.34065458	-3.230438	0.07488015	64.9790472984314
4	13.923856	0.0	13.923856	13.923856	25.0	100	0.58109254	0.33759966	1.4814938	-0.54540277	0.57742244	0.31855074	1.4495618	-0.45944515	-4.636756	0.07901372	86.16778182983398
5	13.21029	0.0	13.21029	13.21029	25.0	125	0.6033814	0.32120195	1.2862102	-0.41840065	0.60241455	0.32218742	1.3926399	-0.44136196	-5.73102	0.07398025	106.99710464477539
6	13.405515	0.0	13.405515	13.405515	25.0	150	0.6042387	0.31593898	1.903684	-0.28698984	0.60738814	0.31066352	1.3373014	-0.22755937	-6.116443	0.062491633	128.04941296577454
7	15.943448	0.0	15.943448	15.943448	25.0	175	0.6521917	0.33158857	1.4759679	-0.08173911	0.6484135	0.32646975	1.4476664	-0.13522793	-6.214327	0.06107834	148.7508668899536
8	14.572324	0.0	14.572324	14.572324	25.0	200	0.6879528	0.32040632	1.7464705	-0.06453605	0.68967474	0.31748283	1.6280521	-0.09434044	-6.2288337	0.058233038	169.52491235733032
9	13.697165	0.0	13.697165	13.697165	25.0	225	0.75038695	0.3254358	1.5103977	-0.116671175	0.7495015	0.31698924	1.4909178	-0.051889013	-6.0784802	0.060094845	189.8627152442932
10	14.804558	0.0	14.804558	14.804558	25.0	250	0.8126638	0.316545	1.62406	-0.03587879	0.812443	0.31823218	1.6113931	-0.078946136	-6.090589	0.06514467	210.63937783241272
11	4.62714	0.0	4.62714	4.62714	25.0	275	0.84466875	0.68697524	6.152375	-3.0213978	0.85816056	0.4087419	2.3028731	-0.98399365	-0.3978688	0.5102919	231.0837423801422
12	12.246251	0.0	12.246251	12.246251	25.0	300	0.8812897	0.34560686	2.1667333	-0.12695709	0.8744695	0.34148252	2.2134695	0.10953373	-0.8802381	0.11119947	252.53256225585938
13	8.171574	0.0	8.171574	8.171574	25.0	325	0.8655748	0.336667	2.1348643	0.1972921	0.8657575	0.34313637	2.0891201	0.12940493	-0.90595603	0.10862994	273.1731858253479
14	5.0680184	0.0	5.0680184	5.0680184	25.0	350	0.8485719	0.32640055	2.0000308	0.19979961	0.85273504	0.34041283	1.9718492	0.13775589	-0.7560759	0.116042286	294.10185289382935
15	14.74032	0.0	14.74032	14.74032	25.0	375	0.8698715	0.32725897	2.1328728	0.25097162	0.86785954	0.34274626	2.1848323	0.17238839	-1.016856	0.12971935	315.54653120040894
16	5.3568397	0.0	5.3568397	5.3568397	25.0	400	0.8666213	0.33215696	2.1606443	0.11696054	0.8701037	0.32995668	2.2055793	0.19297461	-0.96265167	0.15053785	336.19788432121277
17	8.571418	0.0	8.571418	8.571418	25.0	425	0.87703407	0.309998	2.1401682	0.25318947	0.8725578	0.3247992	2.1791942	0.1887772	-0.8853463	0.1414145	356.6793076992035
18	3.7778683	0.0	3.7778683	3.7778683	25.0	450	0.8577723	0.3172324	2.1247463	0.27688694	0.85228026	0.34360793	2.13923	0.15423246	-0.82744193	0.15228622	376.8760361671448
19	8.32751	0.0	8.32751	8.32751	25.0	475	0.8723623	0.3229555	2.2129445	0.22757572	0.8699024	0.3407213	2.2347603	0.11628428	-0.8669909	0.16929115	398.76277136802673
20	5.753927	0.0	5.753927	5.753927	25.0	500	0.8919445	0.32627022	2.2479825	0.24778691	0.89679337	0.3309935	2.210711	0.24297154	-0.9813884	0.18297082	419.9225928783417
21	3.6231062	0.0	3.6231062	3.6231062	25.0	525	0.8952676	0.32982868	2.228084	0.33768964	0.8954668	0.3347609	2.2306352	0.3489823	-0.9546193	0.17124577	440.42414021492004
22	1.7091424	0.0	1.7091424	1.7091424	25.0	550	0.8859146	0.34315813	2.2263315	0.20841104	0.8852635	0.3537614	2.2098036	0.14551593	-0.9576384	0.17509876	460.49656414985657
23	2.6639478	0.0	2.6639478	2.6639478	25.0	575	0.89301807	0.3446813	2.298459	0.21711293	0.8911653	0.35267782	2.329204	0.24079953	-0.9082403	0.17711124	481.15039682388306
24	3.6730015	0.0	3.6730015	3.6730015	25.0	600	0.91406816	0.33387083	2.3364074	0.2991801	0.91644514	0.3353967	2.3497303	0.3394988	-0.9254173	0.17716482	501.52669167518616
25	2.5350752	0.0	2.5350752	2.5350752	25.0	625	0.9359068	0.33219925	2.3951213	0.28890255	0.934892	0.33460045	2.409581	0.39127755	-1.0241638	0.165408	522.049920797348
26	15.040638	0.0	15.040638	15.040638	25.0	650	0.9832204	0.34246206	2.454825	0.41979843	0.9825955	0.35608706	2.4420602	0.30105156	-1.4482977	0.18741493	543.7273335456848
27	7.336947	0.0	7.336947	7.336947	25.0	675	1.004634	0.33606103	2.5277643	0.3931269	1.0031931	0.33433113	2.496941	0.3643731	-1.4036893	0.18579178	564.0500540733337
28	6.1423945	0.0	6.1423945	6.1423945	25.0	700	1.0480225	0.34220976	2.5313048	0.3487878	1.0439175	0.349975	2.5204875	0.41277578	-1.2045983	0.17568606	584.2987830638885
29	14.4568615	0.0	14.4568615	14.4568615	25.0	725	1.0980984	0.34024796	2.574485	0.46015832	1.098377	0.34316263	2.5534174	0.51834995	-1.5251244	0.16359402	605.2056922912598
30	16.987516	0.0	16.987516	16.987516	25.0	750	1.1929871	0.34731808	2.6502	0.5865297	1.1973132	0.35001764	2.6058571	0.5753319	-1.845655	0.19457455	626.8959486484528
31	15.88169	0.0	15.88169	15.88169	25.0	775	1.2585154	0.34421265	2.7174065	0.64482826	1.2569523	0.3565322	2.7647736	0.5950873	-1.901357	0.19395332	648.6582646369934
32	16.007637	0.0	16.007637	16.007637	25.0	800	1.3447465	0.34646323	2.7819173	0.71079195	1.3466063	0.35770452	2.7754934	0.65145403	-1.8080451	0.20394252	669.8917610645294
33	9.372842	0.0	9.372842	9.372842	25.0	825	1.4012625	0.3464754	2.8494313	0.7821417	1.403723	0.35950756	2.833995	0.6925541	-1.770087	0.2033618	691.511723279953
34	6.4176364	0.0	6.4176364	6.4176364	25.0	850	1.4923499	0.34988672	2.9754727	0.90129364	1.4901044	0.35798267	2.953872	0.8485078	-1.692553	0.198158	712.4806942939758
35	16.01282	0.0	16.01282	16.01282	25.0	875	1.5534524	0.35605344	3.0419157	0.9208353	1.5514599	0.36216784	3.0551116	0.91103923	-2.0115483	0.18919207	733.5213394165039
36	25.36924	0.0	25.36924	25.36924	25.0	900	1.6866988	0.4209291	3.1217923	0.9781866	1.6835002	0.4266584	3.09262	0.8903232	-2.4194272	0.19113865	756.6665301322937
37	8.357324	0.0	8.357324	8.357324	25.0	925	1.762441	0.3746768	3.1213214	1.0896106	1.7664844	0.37476707	3.1196132	1.1164591	-2.2951112	0.20817167	777.7620165348053
38	11.770385	0.0	11.770385	11.770385	25.0	950	1.8352777	0.39126244	3.3373585	1.169665	1.8354055	0.40286222	3.3287835	1.0788486	-2.1480088	0.2132144	798.8032495975494
39	25.234863	0.0	25.234863	25.234863	25.0	975	1.934034	0.4243772	3.3533766	1.2348315	1.9357842	0.42702198	3.3540692	1.1804862	-2.5314798	0.20395583	822.7280457019806
40	23.775013	0.0	23.775013	23.775013	25.0	1000	2.0423784	0.45114332	3.3672335	1.2970276	2.0439293	0.45202997	3.3840706	1.2657307	-2.8219848	0.21049348	845.729156255722
41	5.8301706	0.0	5.8301706	5.8301706	25.0	1025	2.1137602	0.43197092	3.4018393	1.3985218	2.1117911	0.44032148	3.4104474	1.334794	-2.5709622	0.246784	866.6050007343292
42	15.959414	0.0	15.959414	15.959414	25.0	1050	2.2114651	0.4607753	3.5368342	1.4215922	2.2075217	0.46619877	3.5406504	1.3635569	-2.5913064	0.24122287	888.2922897338867
43	14.273472	0.0	14.273472	14.273472	25.0	1075	2.2789934	0.47876224	3.6728694	1.42551	2.2813	0.47792467	3.6538613	1.4289879	-2.7562814	0.28546023	909.4414441585541
44	14.488416	0.0	14.488416	14.488416	25.0	1100	2.3754864	0.45022523	3.7331653	1.565925	2.376519	0.4590528	3.7323704	1.520862	-2.885789	0.27287748	930.4726283550262
45	22.556395	0.0	22.556395	22.556395	25.0	1125	2.4554493	0.4735101	3.9193351	1.6530089	2.4572902	0.47999343	4.0861583	1.6215338	-3.2863238	0.2722286	953.1536560058594
46	6.0653343	0.0	6.0653343	6.0653343	25.0	1150	2.5339851	0.46133035	3.8771524	1.6487122	2.530939	0.4687005	3.8405378	1.63033	-3.102989	0.2874962	974.0790956020355
47	3.5236433	0.0	3.5236433	3.5236433	25.0	1175	2.5914266	0.47344178	3.8979082	1.7890759	2.5917404	0.4821398	3.9104345	1.72815	-2.7401996	0.2664969	996.4284658432007
48	2.7280874	0.0	2.7280874	2.7280874	25.0	1200	2.643258	0.4843112	3.947006	1.7985195	2.6447926	0.48460653	3.971823	1.8369925	-2.630679	0.24792866	1017.4596471786499
