Node Number,x,y,z,angle,
Node1,2.701366853,2.5,1.500000139,97.0,
Node2,3.220982135,2.5,1.200000209,314.0,
Node3,3.22098211,2.5,-0.000781059, 243.0,
Node4,2.18175161,2.5,0.600000139,51.0,
Node5,2.18175161,2.5,-0.599999861,258.0,
Node6,1.662136368,2.5,0.300000139,273.0,
Node7,1.662136368,2.5,-0.899999861,0.0,
Node8,1.142521126,2.5,0,309.0,
Node9,1.143429034,2.5,-1.19999975,35.0,
Node10,0.622905884,2.5,-0.299999861,262.0,
Node11,-0.41632471,2.5,-0.300781015,165.0,
Node12,0.103290641,2.5,0,224.0,
Node13,-0.41632463,2.5,-1.499999681,186.0,
Node14,-0.935939796,2.5,-0.599999913,141.0,
Node15,-1.455555085,2.5,-1.500000139,287.0,
Node16,-1.455554972,2.5,-0.300000028,233.0,
Node17,-1.975170328,2.5,-1.199999861,330.0,
Node18,-2.494786101,2.5,-0.299999832,117.0,
Node19,-1.975170438,2.5,0.599218872,197.0,
Node20,-1.455555085,2.5,0.300000139,262.0,
Node21,-3.013724822,2.5,0.599608455,36.0,
Node22,-2.49478557,2.5,0.900000139,359.0,
Node23,-3.014400846,2.5,-0.599999681,59.0,
Node24,-3.534016135,2.5,0.300000139,205.0,
