Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	25.0	25	-0.090988174	0.16697861	0.9361337	-0.8126679	-0.09277083	0.14186405	0.67030025	-0.7410114	-0.092662916	0.071506746	2.67460036277771
2	0.0	0.0	0.0	0.0	25.0	50	-0.08777243	0.14418796	0.733932	-0.7218283	-0.08831049	0.12498756	0.7193266	-0.8179476	-0.33000594	0.059172343	3.5917978286743164
3	0.0	0.0	0.0	0.0	25.0	75	-0.08987137	0.12410864	0.5401471	-0.72485155	-0.089637175	0.115859956	0.53591275	-0.6362177	-0.70480686	0.05099613	4.531008243560791
4	0.0	0.0	0.0	0.0	25.0	100	-0.07689441	0.099991135	0.37865338	-0.5268507	-0.07911045	0.10471645	0.24952868	-0.77023345	-1.3983945	0.04281269	5.4442138671875
5	0.0	0.0	0.0	0.0	25.0	125	-0.07172199	0.08818645	0.4357336	-0.63273823	-0.069157444	0.11251662	0.6029074	-0.97543913	-2.3317318	0.041342277	6.364420175552368
6	1.1247056	0.0	1.1247056	1.1247056	25.0	150	-0.044034243	0.1268835	1.3410903	-1.0717678	-0.046726078	0.13236289	1.419689	-0.65389824	-3.1964517	0.0484948	7.277625799179077
7	2.1602683	0.0	2.1602683	2.1602683	25.0	175	-0.022135258	0.16194645	1.6568639	-0.54888004	-0.022099566	0.17747214	1.5588856	-0.6938434	-3.9773512	0.050795026	8.191831111907959
8	20.629309	0.0	20.629309	20.629309	25.0	200	0.09440091	0.3354618	1.7375954	-0.48796567	0.09580604	0.34436095	1.6104648	-0.41694176	-4.6148105	0.097440764	9.137043237686157
9	1.1125553	0.0	1.1125553	1.1125553	25.0	225	0.11406247	0.3816731	1.5972617	-0.30442253	0.11466488	0.38511828	1.4591686	-0.5253821	-4.766277	0.043453697	10.057250738143921
10	6.8687143	0.0	6.8687143	6.8687143	25.0	250	0.119312406	0.3677283	1.3788583	-0.3765824	0.1185603	0.36859402	1.3771467	-0.4150896	-4.8482327	0.048227075	10.977456331253052
