Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	10.921874	0.0	10.921874	10.921874	25.0	25	0.25257772	0.42628098	1.4422965	-1.0896118	0.26660517	0.34088612	1.4259353	-0.7213345	-0.2992158	0.17453603	22.664154052734375
2	12.82893	0.0	12.82893	12.82893	25.0	50	0.33218154	0.3840414	1.6595439	-0.81885624	0.33981994	0.35482216	1.4916164	-0.54649913	-1.0969781	0.10939066	43.8689169883728
3	12.265684	0.0	12.265684	12.265684	25.0	75	0.34544712	0.33835256	1.283044	-0.7698129	0.34589216	0.3482033	1.3190424	-0.6799214	-2.5313063	0.07732522	65.11407017707825
4	12.462825	0.0	12.462825	12.462825	25.0	100	0.3877625	0.3300426	1.3631015	-0.9402964	0.3925983	0.32075748	1.3502696	-0.39264533	-4.3985105	0.075260974	86.3930196762085
5	13.209912	0.0	13.209912	13.209912	25.0	125	0.42083535	0.32325125	1.4703853	-0.44795406	0.42408124	0.31702793	1.4102713	-0.34004897	-5.6966734	0.06822565	107.63119888305664
6	14.844338	0.0	14.844338	14.844338	25.0	150	0.45443842	0.3004221	1.6914098	-0.4919958	0.45385703	0.29412246	1.5768727	-0.3643492	-6.048322	0.071369916	129.17399954795837
7	9.666655	0.0	9.666655	9.666655	25.0	175	0.43346035	0.31503448	1.8006674	-0.38850695	0.43351954	0.317514	2.0183408	-0.2799418	-6.1077323	0.06164033	150.34678411483765
8	11.044542	0.0	11.044542	11.044542	25.0	200	0.418031	0.300359	1.683822	-0.22911362	0.41588598	0.3015997	1.618954	-0.58296907	-5.9441814	0.05427667	171.73703455924988
9	11.470617	0.0	11.470617	11.470617	25.0	225	0.40719613	0.29651868	1.576298	-0.45121506	0.40785834	0.30128077	1.6082883	-0.3201415	-5.8583117	0.05369682	192.90038537979126
10	11.953209	0.0	11.953209	11.953209	25.0	250	0.3724226	0.2804585	1.5917137	-0.32807782	0.37468785	0.28127968	1.5872438	-0.30709895	-5.8850307	0.058597207	214.35875010490417
