Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	7.738487	0.0	7.738487	7.738487	25.0	-0.016802529	0.041265167	0.09949947	-0.10641201	25	3.5095215e-06	26.18327	-0.1581415	-1.5387669	152.59003	-0.004318848	0.76	4.0	24.063927173614502
1	15.652841	0.0	15.652841	15.652841	25.0	0.27286252	0.11755628	0.45836258	0.07929178	50	-4.7683716e-07	74.643486	-0.16372006	-3.458435	152.89328	0.0020532226	0.68	4.0	45.82106065750122
2	10.700134	0.0	10.700134	10.700134	25.0	0.29285243	0.11165442	0.64214295	0.12726885	75	3.2615662e-06	36.313763	-0.13958943	-2.1990776	155.21843	0.01076355	0.48	4.0	67.5759789943695
3	13.766182	0.0	13.766182	13.766182	25.0	0.625901	0.28858513	1.7719315	0.40604112	100	-3.7288667e-06	52.553238	-0.14702909	-3.6805344	154.82498	-0.024663085	0.56	4.0	89.19231176376343
4	12.070262	0.0	12.070262	12.070262	25.0	0.8957114	0.2957204	1.5752748	0.56223047	125	9.813309e-06	36.227345	-0.13687503	-3.9675293	154.31892	-0.013613892	0.48	4.0	110.73277473449707
5	13.780692	0.0	13.780692	13.780692	25.0	1.182898	0.33161148	1.8658481	0.72664416	150	1.5497208e-06	48.814198	-0.14233594	-5.3304214	154.4557	-0.035998534	0.44	4.0	132.57010316848755
6	10.649999	0.0	10.649999	10.649999	25.0	1.5954704	0.42723006	2.6306489	0.9406834	175	-1.2125969e-05	32.176506	-0.12736006	-4.421198	151.09633	-0.0049591064	0.28	4.0	154.2131052017212
7	12.542315	0.0	12.542315	12.542315	25.0	2.1593878	0.45518252	2.9524016	1.4576364	200	1.1348725e-06	45.23577	-0.13411576	-7.3734665	155.93352	0.011931152	0.48	4.0	175.94717812538147
8	10.409234	0.0	10.409234	10.409234	25.0	2.5529776	0.66098714	4.369148	1.5486908	225	-2.6226044e-06	37.37822	-0.07752648	-7.047634	154.5788	0.04517456	0.16	2.0	197.62000131607056
9	13.142447	0.0	13.142447	13.142447	25.0	3.6471848	0.88360184	5.5144243	2.4747865	250	-5.7554244e-06	50.1341	-0.14029309	-10.502571	153.09418	0.017594604	0.44	4.0	219.275386095047
10	12.641683	0.0	12.641683	12.641683	25.0	4.2966046	0.8856215	6.7690425	3.160043	275	5.455017e-06	45.721924	-0.10564403	-10.630356	155.7945	0.019343263	0.24	3.0	241.10308480262756
11	12.431711	0.0	12.431711	12.431711	25.0	5.48645	1.0888704	7.464121	3.9691913	300	1.2521744e-05	54.458603	-0.08677148	-13.952923	152.92137	0.0320343	0.16	2.0	262.92564630508423
