Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.6646018	0.21282773	1.4000001	0.3	17.650442	0.74548775	0.7590296	2.3737473	-1.2466938	4000	-5.030632e-08	4.4845233	-0.011764683	-4.3533564	1.8458614	0.006641945	0.06775	79.0	22.469780206680298
1	0.64104813	0.21386594	1.1	-0.39999998	17.41048	-1.028619	0.46334976	-0.009269676	-2.0223634	8000	1.859665e-08	0.114309244	-0.011833132	-0.03800954	1.801027	0.012388879	0.08525	79.0	43.36052227020264
2	0.65814984	0.24756454	2.4	-0.5	17.581497	-1.0177124	0.49291086	0.049319014	-1.9555581	12000	5.2452087e-09	0.08684753	-0.013132316	-0.019537225	1.8457627	0.006484926	0.1105	79.0	63.35972547531128
3	0.68654704	0.24731418	2.0	-0.39999998	17.86547	-1.0196149	0.5132713	0.08471618	-1.988665	16000	-1.3351441e-08	0.06321518	-0.011887731	-0.017974664	1.8252585	0.012572941	0.11425	79.0	83.4722809791565
4	0.7173516	0.26598713	1.7	-0.8	18.173515	-0.9994885	0.54114574	0.15289792	-1.9924531	20000	2.861023e-09	0.052777916	-0.005797266	-0.014928069	1.7991619	0.01034478	0.17175	4.0	103.08647465705872
5	0.7058824	0.29106104	2.3	-1.0	18.058823	-1.005207	0.54827833	0.24248214	-1.9530616	24000	-1.6689301e-09	0.057223305	-0.005083458	-0.016555183	1.8065633	0.019984074	0.27	4.0	122.66991090774536
6	0.8124402	0.34229493	2.6000001	1.4901161e-08	19.124401	-0.9538656	0.5671706	0.7072456	-2.144368	28000	-7.629395e-09	0.110976115	-0.0038574615	-0.041785188	1.8164691	0.023610106	0.33625	3.0	142.29434156417847
7	1.0326203	0.4819247	3.5	0.3	21.326202	-0.8647008	0.5831567	0.5014815	-2.1510675	32000	1.2874604e-08	0.21536295	-0.005234858	-0.07479343	1.8151692	0.03732432	0.4075	3.0	162.0438153743744
8	1.1988506	0.58220637	4.0	0.3	22.988506	-0.7683224	0.5797598	0.5453497	-2.2390966	36000	4.7683715e-09	0.29839653	-0.0044711763	-0.09469263	1.8211175	0.027499177	0.3005	2.0	181.57217001914978
9	1.5456955	0.8379836	5.0	0.3	26.456953	-0.60426795	0.62617683	0.7367459	-2.3624754	40000	6.6757204e-09	0.52818537	-0.002152091	-0.14858425	1.8393055	0.018807614	0.224	3.0	201.1135971546173
10	1.7255319	1.0421884	6.8	0.3	28.25532	-0.45131025	0.73819965	0.90431297	-2.4610538	44000	-5.2452087e-09	0.63678956	-0.0059186914	-0.10655445	1.7915754	0.022764105	0.30125	4.0	220.74241948127747
11	2.2605042	1.5168089	7.8	-0.29999998	33.60504	-0.26137334	0.7934427	1.1501724	-2.577165	48000	-4.887581e-09	1.2101762	-0.0065353904	-0.28401607	1.791636	0.018985791	0.23075	5.0	240.39338660240173
12	3.1967385	2.3172066	12.3	0.6	42.967392	0.15150645	0.95078653	2.5336337	-2.6152446	52000	1.6093255e-08	2.4545147	-0.018416008	-0.60762286	1.8048574	0.0061997767	0.1475	79.0	260.5318121910095
13	4.226667	2.5744557	11.900001	0.70000005	53.266666	0.88530314	1.2277739	3.2908576	-2.6913095	56000	-2.861023e-09	2.4011166	-0.022352325	-0.30463076	1.7930496	0.01382279	0.15825	79.0	280.81324195861816
14	4.67971	3.3390784	14.1	0.40000004	57.7971	1.0991101	1.2862048	4.802683	-2.6481347	60000	-9.059906e-09	3.101353	-0.0066471584	-0.5001626	1.7822406	0.019171296	0.19075	4.0	301.2778766155243
15	6.746	6.6715283	26.7	0.70000005	78.46	1.7865906	1.4275548	4.3436484	-3.1510155	64000	-1.9073487e-09	8.609063	-0.017766282	-2.0756474	1.7852546	0.009071837	0.1105	79.0	321.57077980041504
16	14.384	13.112885	54.7	1.1	154.84	3.4254253	1.3884821	6.369889	-2.2406855	68000	3.0875206e-08	12.3487835	-0.016250845	-3.6098442	1.7311512	0.008713387	0.0895	79.0	341.9264004230499
17	15.963635	9.038431	33.3	3.5	170.63637	5.2847633	1.6368271	8.145472	-2.5198786	72000	-6.437302e-09	8.180349	-0.015520894	-0.89003086	1.7306608	0.0108935665	0.10775	79.0	361.9590141773224
18	37.699997	33.513912	100.0	0.1	384.33334	5.67279	1.4231293	8.495545	-4.45123	76000	2.3007393e-08	13.138112	-0.017224263	-7.263243	1.715442	0.0052767033	0.10625	79.0	382.09365153312683
19	34.59	43.704567	100.0	0.1	350.3	8.436345	0.88928723	10.500125	0.40865186	80000	6.7949295e-09	4.1115713	-0.017245144	-1.3459918	1.6608341	0.011621362	0.1275	79.0	402.6930294036865
