Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	1.2666667	0.69304943	4.6	0.5	23.690475	1000	0.4178328	0.41771966	1.623927	-1.4502457	-0.5088825	0.017679408	6.726561784744263
2	1.1636363	0.74195415	3.9	0.3	22.636364	2000	0.88732064	0.6953076	2.5996983	-1.8180035	-0.9920179	0.016676754	12.261901140213013
3	1.019149	0.5080787	3.0	0.3	21.19149	3000	1.3233029	1.0180776	3.707447	-2.0891564	-1.4665632	0.022549545	17.70610284805298
4	0.9979167	0.46255162	3.1000001	0.40000004	20.979166	4000	1.923995	1.3092048	4.6879582	-2.7384412	-2.1735754	0.036181312	23.14185094833374
5	0.9937501	0.42051867	2.3	0.40000004	20.9375	5000	2.6894236	1.7076293	6.3330097	-2.8435037	-2.9987023	0.049296852	28.665484189987183
6	1.0652175	0.40605068	2.3	0.40000004	21.652174	6000	3.5259087	2.191344	7.503053	-2.8913672	-3.9338846	0.0681001	34.123021602630615
7	1.1522727	0.48780054	2.3	0.40000004	22.522728	7000	4.4429502	2.6852257	8.7308035	-2.8898668	-4.938556	0.084726974	39.846853256225586
8	0.9714285	0.509902	3.2	0.40000004	20.714285	8000	5.3489532	3.1967099	10.260332	-3.0671751	-5.885136	0.10820361	45.37993383407593
9	1.0666667	0.53416604	3.5	0.40000004	21.666666	9000	5.970595	3.698569	11.60127	-3.2196305	-6.512488	0.1296086	50.95018792152405
10	1.0608696	0.5092527	3.0	0.3	21.608696	10000	6.5689363	4.116671	12.988081	-3.2326608	-7.1635966	0.1544985	56.71711754798889
