Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	18.349268	0.0	18.349268	18.349268	25.0	25	0.4793244	0.37967962	1.4519278	-0.557023	-0.43273774	0.3833523	35.767751932144165
2	19.754276	0.0	19.754276	19.754276	25.0	50	0.7999606	0.3269354	2.0371625	0.05233002	-1.9442943	0.07399683	69.31633639335632
3	18.720154	0.0	18.720154	18.720154	25.0	75	0.86670744	0.3455196	2.2685268	0.048438534	-3.387493	0.06980507	102.71087980270386
4	19.299875	0.0	19.299875	19.299875	25.0	100	1.0346857	0.3692319	2.4140503	0.048812512	-4.0097556	0.072383516	135.99883818626404
5	17.555	0.0	17.555	17.555	25.0	125	1.253661	0.39275742	2.8405426	0.1797787	-4.6237717	0.06204392	169.73726892471313
6	20.544695	0.0	20.544695	20.544695	25.0	150	1.6324182	0.45181018	3.400771	0.43125376	-5.392543	0.0763353	203.68394446372986
7	20.26142	0.0	20.26142	20.26142	25.0	175	2.0987601	0.5039048	4.311742	0.80909777	-6.1503716	0.09108441	237.10485458374023
8	16.924818	0.0	16.924818	16.924818	25.0	200	2.643981	0.5702776	5.116921	1.2641269	-6.906444	0.088841476	270.42156314849854
9	23.491943	0.0	23.491943	23.491943	25.0	225	3.28645	0.61890936	5.7239523	1.5852522	-7.440698	0.0784736	303.7379148006439
10	19.996721	0.0	19.996721	19.996721	25.0	250	3.8956888	0.6102647	6.074812	2.1325495	-8.024616	0.08419554	337.5469343662262
11	20.084753	0.0	20.084753	20.084753	25.0	275	4.322335	0.72453153	8.575907	2.159048	-4.7119713	0.32994583	370.8530042171478
12	20.068567	0.0	20.068567	20.068567	25.0	300	4.6420593	0.5420726	6.6638813	2.9646418	-4.7626877	0.093322426	404.1446998119354
13	21.199242	0.0	21.199242	21.199242	25.0	325	4.86519	0.51717615	6.864002	3.4481618	-5.233582	0.08458154	438.24416184425354
14	19.344616	0.0	19.344616	19.344616	25.0	350	5.0407085	0.50960636	7.0304775	3.6356027	-5.5706	0.097204424	471.79976081848145
15	24.130234	0.0	24.130234	24.130234	25.0	375	5.205445	0.517798	7.5827055	3.780694	-5.894486	0.12786111	505.0351746082306
16	14.47454	0.0	14.47454	14.47454	25.0	400	5.306431	0.49562737	7.3314695	3.8715534	-5.7004466	0.112121	538.2667427062988
17	22.121681	0.0	22.121681	22.121681	25.0	425	5.4794717	0.49527037	7.488803	4.085752	-5.9993935	0.11335817	571.5002565383911
18	19.2342	0.0	19.2342	19.2342	25.0	450	5.6391683	0.4959514	7.5800066	4.302984	-5.896947	0.12191148	604.7788107395172
